note_id,original_id,printed_bar
ncae0e7ec3634d539,n1,1
n47423a65b3e37960,n2,1
n3ca50797f2d5e67f,n3,1
na3645d3416ff89ba,r1,1
n0492a10c66216e08,n4,1
nae6fec32be5a0499,n5,1
n6e5ecca6ce2d78cb,n6,1
n6d673c6cae98d257,n7,1
n5faa98224d804397,n8,1
n18e8fbf7068b3841,n9,1
n3c9bc91b4457f0e1,n10,1
ne4eaf18ed3e06c61,n11,2
nbeee8bee6c0231a9,n12,2
n7e73af2982d29453,n13,2
n0bc7273135f431a4,n14,2
necbc3c326b153905,n15,2
n8345fedd6eba1593,n16,2
n9c158528cf79a573,n17,2
nae5acb0fb936e54b,n18,2
n6fdb672058de4c90,n19,2
nb2cb00f2d66705c2,n20,2
n53e7e54d6f601a66,n21,2
nbd39e41640e59437,n22,2
n57f00c640fba6d33,n23,2
n8614ae213e26de6a,n24,2
nf3c9a6c245fff1f0,n25,2
nb27ca05947a26fd6,n26,3
n63885617c01f5920,n27,3
n3977514d99d3e38e,n28,3
n4309cd6a0fb7e9fb,n29,3
n197316d9ca7c3d22,n30,3
nd5b0420ed110a16c,n31,3
n18385ba1f4831536,n32,3
n8f728a36c2108c35,n33,3
n434eec59379ae802,n34,3
n24374ab8ff7b804d,n35,3
n92a1877abaedd781,n36,3
n59b0aa51e7b98a8f,n37,3
n03a2e028cb3c6477,n38,3
ne7c2c869a76d2115,n39,3
nb0ba9e563024333c,n40,3
nb3a0ec32fc3be36e,n41,3
n1055043a2517ea01,n42,3
n1f82ec778b8ac1f4,n43,3
na26a0d51ef719514,n44,3
nc1baa9ad38094f24,n45,3
n29ef039c2d685290,n46,4
n989776ead9cae73b,n47,4
n298596ce69665c69,n48,4
nb2a19cb82ecd0135,n49,4
nf125b7771bf02b0c,n50,4
n0fff4cfa3bd63873,n51,4
nada2c72a987cec44,n52,4
n0d95d856aa8d104e,n53,4
ndb002cc0fcee09c7,n54,4
na7162275765a331c,n55,4
n014d08c3586cf6ce,n56,4
ndf4a26dc23655acd,n57,4
nf651d163fb972a31,n58,4
nc7cf90c0dc449fdd,n59,4
n8cff5b21053aa777,n60,4
n072b32894de6c352,n61,4
n6dfaef3e97eb1501,n62,5
n3bae5225fa59d0cb,n63,5
n4b8ff78d78c384f3,n64,5
ncf36ccc07522048c,n65,5
n0084eabb005300c7,n66,5
n84056ea11c8910ca,n67,5
nbd2d8386a1741c59,n68,5
ndc8a19b8bb2adb5a,n69,5
n3f1298285cb33e29,n70,5
nfc764921be52ead6,n71,5
n7d2bfdacb75caee6,n72,5
n2fb6d326308aba28,n73,6
n0c45896c6d8a046b,n74,6
nefd68efd37580d35,n75,6
nef5db852644de311,n76,6
ne3f65869a15aaa84,n77,6
nb132147671f0692a,n78,6
n6fea75bbc6534a45,n79,6
nd8077f3c87c86c56,n80,6
na4f8e97ae7ade265,n81,6
na076a78cb2a522f4,n82,6
n1bef3812339ff269,n83,6
n89fb6d63bbad0192,n84,6
nfef688bad49b5bda,n85,6
nadf7c5df3702d50d,n86,6
n7cd33677b4568214,n87,6
nb35b9a9727a2c1b4,n88,7
n960252debfffe1a7,n89,7
n5b72b4d44ea881dd,n90,7
nc3f3cd9ba869f397,n91,7
n59707782210d288d,n92,7
nc29386d6192c142f,n93,7
ne26e16e1d916e26a,n94,7
n408a3b14d044d0fe,n95,7
nd98f519f770552a4,n96,7
ne75ffb55ffe79385,n97,7
nad85ef7de33c8fbd,n98,7
nc302cc7048c65502,n99,7
n37d4b5e908b14e6b,n100,7
n689bd6f542d36ce8,n101,7
n7371b578a81f1f37,n102,7
n9b51fd555d1ef9b0,n103,7
nef4f5f399daddebe,n104,7
ne72e6d2cb6625032,n105,7
n8a40aa3b81999513,n106,7
