element_id,tag,carrier,host_or_staff
n2--tuplet--start--1,tuplet,stamp,n2
n5--tuplet--stop--1,tuplet,stamp,n5
n6--tuplet--start--1,tuplet,stamp,n6
n6--slur--start--1,slur,stamp,n6
n12--tuplet--stop--1,tuplet,stamp,n12
n12--slur--stop--1,slur,stamp,n12
n13--tuplet--start--1,tuplet,stamp,n13
n13--slur--start--1,slur,stamp,n13
n19--tuplet--stop--1,tuplet,stamp,n19
n19--slur--stop--1,slur,stamp,n19
n20--tuplet--start--1,tuplet,stamp,n20
n20--slur--start--1,slur,stamp,n20
n26--tuplet--stop--1,tuplet,stamp,n26
n26--slur--stop--1,slur,stamp,n26
md-1-1-1-1,words,md,1
md-1-1-1-2,words,md,1
md-1-1-1-3,dynamics,md,1
md-1-1-2-1,words,md,2
md-1-1-2-2,pedal,md,2
md-1-1-2-3,pedal,md,2
n28--tuplet--start--1,tuplet,stamp,n28
n34--tuplet--stop--1,tuplet,stamp,n34
n35--tuplet--start--1,tuplet,stamp,n35
n41--tuplet--stop--1,tuplet,stamp,n41
n42--tuplet--start--1,tuplet,stamp,n42
n48--tuplet--stop--1,tuplet,stamp,n48
n49--tuplet--start--1,tuplet,stamp,n49
n55--tuplet--stop--1,tuplet,stamp,n55
n57--slur--start--1,slur,stamp,n57
n62--slur--stop--1,slur,stamp,n62
md-1-2-2-1,words,md,2
n63--tuplet--start--1,tuplet,stamp,n63
n69--tuplet--stop--1,tuplet,stamp,n69
n70--tuplet--start--1,tuplet,stamp,n70
n76--tuplet--stop--1,tuplet,stamp,n76
n77--tuplet--start--1,tuplet,stamp,n77
n83--tuplet--stop--1,tuplet,stamp,n83
n84--tuplet--start--1,tuplet,stamp,n84
n90--tuplet--stop--1,tuplet,stamp,n90
n91--slur--start--1,slur,stamp,n91
n98--slur--stop--1,slur,stamp,n98
n99--tuplet--start--1,tuplet,stamp,n99
n105--tuplet--stop--1,tuplet,stamp,n105
n106--tuplet--start--1,tuplet,stamp,n106
n112--tuplet--stop--1,tuplet,stamp,n112
n113--tuplet--start--1,tuplet,stamp,n113
n119--tuplet--stop--1,tuplet,stamp,n119
n120--tuplet--start--1,tuplet,stamp,n120
n126--tuplet--stop--1,tuplet,stamp,n126
n127--slur--start--1,slur,stamp,n127
n132--slur--stop--1,slur,stamp,n132
n132--staccato--1,staccato,derive,n132
n133--slur--start--1,slur,stamp,n133
md-1-4-2-1,pedal,md,2
md-1-4-2-2,pedal,md,2
n134--tuplet--start--1,tuplet,stamp,n134
n140--tuplet--stop--1,tuplet,stamp,n140
n141--tuplet--start--1,tuplet,stamp,n141
n147--tuplet--stop--1,tuplet,stamp,n147
n148--tuplet--start--1,tuplet,stamp,n148
n154--tuplet--stop--1,tuplet,stamp,n154
n155--tuplet--start--1,tuplet,stamp,n155
n161--tuplet--stop--1,tuplet,stamp,n161
n167--slur--stop--1,slur,stamp,n167
n167--staccato--1,staccato,derive,n167
md-1-5-2-1,pedal,md,2
md-1-5-2-2,pedal,md,2
n169--tuplet--start--1,tuplet,stamp,n169
n175--tuplet--stop--1,tuplet,stamp,n175
n176--tuplet--start--1,tuplet,stamp,n176
n182--tuplet--stop--1,tuplet,stamp,n182
n183--tuplet--start--1,tuplet,stamp,n183
n189--tuplet--stop--1,tuplet,stamp,n189
n190--tuplet--start--1,tuplet,stamp,n190
n196--tuplet--stop--1,tuplet,stamp,n196
n198--slur--start--1,slur,stamp,n198
md-1-6-2-1,pedal,md,2
md-1-6-2-2,pedal,md,2
n205--tuplet--start--1,tuplet,stamp,n205
n211--tuplet--stop--1,tuplet,stamp,n211
n212--tuplet--start--1,tuplet,stamp,n212
n218--tuplet--stop--1,tuplet,stamp,n218
n219--tuplet--start--1,tuplet,stamp,n219
n225--tuplet--stop--1,tuplet,stamp,n225
n226--tuplet--start--1,tuplet,stamp,n226
n232--tuplet--stop--1,tuplet,stamp,n232
n242--slur--stop--1,slur,stamp,n242
n243--tuplet--start--1,tuplet,stamp,n243
n249--tuplet--stop--1,tuplet,stamp,n249
n250--tuplet--start--1,tuplet,stamp,n250
n256--tuplet--stop--1,tuplet,stamp,n256
n257--tuplet--start--1,tuplet,stamp,n257
n263--tuplet--stop--1,tuplet,stamp,n263
