element_id,original_id,tag,carrier,host_or_staff
ndfbdd638cf674630--slur--start--1,n3--slur--start--1,slur,stamp,ndfbdd638cf674630
n578bcd6ccb82932c--slur--stop--1,n4--slur--stop--1,slur,stamp,n578bcd6ccb82932c
n578bcd6ccb82932c--staccato--1,,staccato,derive,n578bcd6ccb82932c
n5219a1482173585a--slur--start--1,n5--slur--start--1,slur,stamp,n5219a1482173585a
nd45456c8cdbba521--slur--stop--1,n6--slur--stop--1,slur,stamp,nd45456c8cdbba521
nd45456c8cdbba521--staccato--1,,staccato,derive,nd45456c8cdbba521
n1918e8aa95f72fd6--slur--start--1,n8--slur--start--1,slur,stamp,n1918e8aa95f72fd6
n614ff22c485f8bfb--slur--stop--1,n9--slur--stop--1,slur,stamp,n614ff22c485f8bfb
n614ff22c485f8bfb--slur--start--2,n9--slur--start--2,slur,stamp,n614ff22c485f8bfb
n614ff22c485f8bfb--staccato--1,,staccato,derive,n614ff22c485f8bfb
naade370c5c3a01b8--slur--start--1,n11--slur--start--1,slur,stamp,naade370c5c3a01b8
nb1fe1d841d164a42--slur--stop--1,n12--slur--stop--1,slur,stamp,nb1fe1d841d164a42
nb1fe1d841d164a42--staccato--1,,staccato,derive,nb1fe1d841d164a42
n0b5d3a054d4b06dc--slur--start--1,n15--slur--start--1,slur,stamp,n0b5d3a054d4b06dc
nf2c25f1ec3d6b7c4--slur--stop--1,n16--slur--stop--1,slur,stamp,nf2c25f1ec3d6b7c4
nf2c25f1ec3d6b7c4--staccato--1,,staccato,derive,nf2c25f1ec3d6b7c4
e3abc2c7af74bcf7b,md-1-1-1-1,dynamics,md,1
eafc6293d70ffd692,md-1-1-1-2,words,md,1
e8ef73f1272eca152,md-1-1-2-1,words,md,2
n96ce0af9c740f191--slur--stop--1,n18--slur--stop--1,slur,stamp,n96ce0af9c740f191
n96ce0af9c740f191--slur--start--2,n18--slur--start--2,slur,stamp,n96ce0af9c740f191
nb5e20d607ebd9d72--slur--stop--1,n19--slur--stop--1,slur,stamp,nb5e20d607ebd9d72
nb5e20d607ebd9d72--staccato--1,,staccato,derive,nb5e20d607ebd9d72
