note_id,original_id,printed_bar
na3645d3416ff89ba,n1,1
nf32ac7ba4207450c,n2,1
ndfbdd638cf674630,n3,1
n578bcd6ccb82932c,n4,1
n5219a1482173585a,n5,1
nd45456c8cdbba521,n6,1
n3a3b9243e850cad2,n7,1
n1918e8aa95f72fd6,n8,1
n614ff22c485f8bfb,n9,1
n1f0c42452c7fba25,n10,1
naade370c5c3a01b8,n11,1
nb1fe1d841d164a42,n12,1
n49826f299104c60a,n13,1
n4ab5a8130eabd3f0,n14,1
n0b5d3a054d4b06dc,n15,1
nf2c25f1ec3d6b7c4,n16,1
nc914fdbaac7d113f,n17,1
n96ce0af9c740f191,n18,2
nb5e20d607ebd9d72,n19,2
n0bc7273135f431a4,n20,2
nbf90b0d7c1cf111f,n21,2
n520c04c18575bf8a,n22,2
nbd4c50d25835ccf7,n23,2
n28197d96aca33b1f,n24,2
necbc3c326b153905,n25,2
nbb19ec88a7d4e648,n26,2
na4e077740b5b068e,n27,2
n48056107b26ca97b,n28,2
n4510542291cfa9df,n29,2
naebcba789a222154,n30,2
nc3e221f1fbf9fc6b,n31,2
n5955725c12b6737e,n32,2
nc3dd4a6121824b30,n33,2
n6b1a6af4eadc2e96,n34,2
ndd201a180d3be862,n35,2
n30d9e305b6554e3d,n36,3
nbbc47cfc29be7d07,n37,3
n8d53bfbc7935dfd7,n38,3
n9914ed29e243a1b9,n39,3
nd1efa3ee9a457a15,n40,3
n8acc9cb33f94e435,n41,3
n1851a527a0f95c63,n42,3
n7e654cff449b6cf6,n43,3
nb1af14d4da976850,n44,3
n3f6d038e743f1fca,n45,3
n13af33fe30d02fa9,n46,3
n3c5f71045751990c,n47,3
neec22f02286c5677,n48,3
n79051ba7524c249e,n49,3
n067c59b04ae0825e,n50,3
n8d029adb07637ba9,n51,3
ncddc0f3f3531757a,n52,3
n7aa085601fb71f3e,n53,3
n8c2a8c50271bf2b9,n54,4
n191391bb763424a7,n55,4
nf125b7771bf02b0c,n56,4
n63f57c340d4e9c30,n57,4
n3be9ff47087df878,n58,4
n72b48b3b0d78c45b,n59,4
n3e7e6655141dfeb3,n60,4
ndb002cc0fcee09c7,n61,4
ndc2a33c5f1513f53,n62,4
na7162275765a331c,n63,4
n2d867a58e89a3647,n64,4
nfb11c7284ff87ed2,n65,4
n9b5aa4dc4eb98afd,n66,4
nad0189f8916dfe00,n67,4
ndd23f8b310290253,n68,4
n9ce9eee6e33382d0,n69,4
n05b3509049726436,n70,4
nc240b4ae6c7990a0,n71,5
n1336c9cae9b1fc7c,n72,5
n0197dc9e02620a40,n73,5
n48b1f48488ba08a7,n74,5
na1810d9951318bd7,n75,5
nee386b4a0d9f81c2,n76,5
n0a860a6189654d9a,n77,5
nd972705597a21540,n78,5
n12b0bb354cc5e93b,n79,5
n1f50dd0aa7c6550a,n80,5
n9e4f90c5c1d999a3,n81,5
n05c277b65cfd3b9e,n82,5
nc6b13317e4c19082,n83,5
n0527dd3055249605,n84,5
ne1c771ae7b2e0786,n85,5
n5ca4025b3e84df06,n86,5
n7c439a7d09f86af4,n87,5
