element_id,original_id,tag,carrier,host_or_staff
n51a5f380c6321cb0--staccato--1,,staccato,derive,n51a5f380c6321cb0
ndc2a5aa615e493c7--staccato--1,,staccato,derive,ndc2a5aa615e493c7
nae8dd53241c97d93--staccato--1,,staccato,derive,nae8dd53241c97d93
n8f139da63ffb8fb1--staccato--1,,staccato,derive,n8f139da63ffb8fb1
eff917f764b31fd44,md-1-1-1-1,words,md,1
e73c0008d48e1ae97,md-1-1-1-2,dynamics,md,1
eb062e038137b26ac,md-1-1-2-1,dynamics,md,2
nd3027e360fe3ce04--tie--1,,tie,derive,nd3027e360fe3ce04
nd3027e360fe3ce04--tied--start--1,n12--tied--start--1,tied,stamp,nd3027e360fe3ce04
nd3027e360fe3ce04--slur--start--1,n12--slur--start--1,slur,stamp,nd3027e360fe3ce04
n2c0a9ffb3aa80acc--tie--1,,tie,derive,n2c0a9ffb3aa80acc
n2c0a9ffb3aa80acc--tied--start--1,n13--tied--start--1,tied,stamp,n2c0a9ffb3aa80acc
n2c34275246bca334--tie--1,,tie,derive,n2c34275246bca334
n2c34275246bca334--tie--2,,tie,derive,n2c34275246bca334
n2c34275246bca334--tied--stop--1,n14--tied--stop--1,tied,stamp,n2c34275246bca334
n2c34275246bca334--tied--start--2,n14--tied--start--2,tied,stamp,n2c34275246bca334
n1650b69d2756612e--tie--1,,tie,derive,n1650b69d2756612e
n1650b69d2756612e--tie--2,,tie,derive,n1650b69d2756612e
n1650b69d2756612e--tied--stop--1,n15--tied--stop--1,tied,stamp,n1650b69d2756612e
n1650b69d2756612e--tied--start--2,n15--tied--start--2,tied,stamp,n1650b69d2756612e
ne7da678ed9f82061--slur--start--1,n20--slur--start--1,slur,stamp,ne7da678ed9f82061
e4a1ba2bb39bf7f46,md-1-2-1-1,wedge,md,1
e5b12f0463425231f,md-1-2-1-2,wedge,md,1
n8f8f80845fa982f3--tie--1,,tie,derive,n8f8f80845fa982f3
n8f8f80845fa982f3--tied--stop--1,n23--tied--stop--1,tied,stamp,n8f8f80845fa982f3
n58ff9ca564468df0--tie--1,,tie,derive,n58ff9ca564468df0
n58ff9ca564468df0--tied--stop--1,n24--tied--stop--1,tied,stamp,n58ff9ca564468df0
n37e35f9ce29d9c7e--slur--stop--1,n29--slur--stop--1,slur,stamp,n37e35f9ce29d9c7e
nf4e660f0c8124b2e--slur--stop--1,n33--slur--stop--1,slur,stamp,nf4e660f0c8124b2e
e0df9eb78de28b2ff,md-1-3-1-1,wedge,md,1
eb1686153ece981b5,md-1-3-1-2,wedge,md,1
ndff2dc5f0233e946--staccato--1,,staccato,derive,ndff2dc5f0233e946
nc13880c83b1d1697--staccato--1,,staccato,derive,nc13880c83b1d1697
n8a7c4f8934a1dfe9--staccato--1,,staccato,derive,n8a7c4f8934a1dfe9
nc64b6463209984eb--staccato--1,,staccato,derive,nc64b6463209984eb
n1cadde2e3b05aba9--tie--1,,tie,derive,n1cadde2e3b05aba9
n1cadde2e3b05aba9--tied--start--1,n45--tied--start--1,tied,stamp,n1cadde2e3b05aba9
n1cadde2e3b05aba9--slur--start--1,n45--slur--start--1,slur,stamp,n1cadde2e3b05aba9
ne946dcd28d13dd6c--tie--1,,tie,derive,ne946dcd28d13dd6c
ne946dcd28d13dd6c--tied--start--1,n46--tied--start--1,tied,stamp,ne946dcd28d13dd6c
n67be5fdc1dfd22ec--tie--1,,tie,derive,n67be5fdc1dfd22ec
n67be5fdc1dfd22ec--tie--2,,tie,derive,n67be5fdc1dfd22ec
n67be5fdc1dfd22ec--tied--stop--1,n47--tied--stop--1,tied,stamp,n67be5fdc1dfd22ec
n67be5fdc1dfd22ec--tied--start--2,n47--tied--start--2,tied,stamp,n67be5fdc1dfd22ec
n602c4aa05d551f1a--tie--1,,tie,derive,n602c4aa05d551f1a
n602c4aa05d551f1a--tie--2,,tie,derive,n602c4aa05d551f1a
n602c4aa05d551f1a--tied--stop--1,n48--tied--stop--1,tied,stamp,n602c4aa05d551f1a
n602c4aa05d551f1a--tied--start--2,n48--tied--start--2,tied,stamp,n602c4aa05d551f1a
n569ede1eba8605f4--slur--start--1,n53--slur--start--1,slur,stamp,n569ede1eba8605f4
ef369a6ea671b38ff,md-1-5-1-1,wedge,md,1
e316266d9970e4dd8,md-1-5-1-2,wedge,md,1
ned0422e66ad72c5b--tie--1,,tie,derive,ned0422e66ad72c5b
ned0422e66ad72c5b--tied--stop--1,n56--tied--stop--1,tied,stamp,ned0422e66ad72c5b
n7d74c1a09015b5b8--tie--1,,tie,derive,n7d74c1a09015b5b8
n7d74c1a09015b5b8--tied--stop--1,n57--tied--stop--1,tied,stamp,n7d74c1a09015b5b8
na8bfe585dad24afb--slur--stop--1,n62--slur--stop--1,slur,stamp,na8bfe585dad24afb
n050f2ba52a943441--slur--stop--1,n66--slur--stop--1,slur,stamp,n050f2ba52a943441
e6e8065fb8f69ec21,md-1-6-2-1,wedge,md,2
e337c8fb0a26bcb7d,md-1-6-2-2,wedge,md,2
n588063ae152a6ed1--staccato--1,,staccato,derive,n588063ae152a6ed1
n037d789c061d614b--staccato--1,,staccato,derive,n037d789c061d614b
n13c1f470a20fd7b6--staccato--1,,staccato,derive,n13c1f470a20fd7b6
n6662e8d8ee965794--staccato--1,,staccato,derive,n6662e8d8ee965794
