note_id,original_id,printed_bar
n5243892700411aee,n1,1
n51a5f380c6321cb0,n2,1
n87ccd8dc9a610c87,n3,1
na32f5481b67cf4bc,n4,1
ndc2a5aa615e493c7,n5,1
nc91a2d172c925a13,n6,1
n12c2890f5d328fc8,n7,1
nae8dd53241c97d93,n8,1
n7a43eb98431efbb2,n9,1
n8f139da63ffb8fb1,n10,1
n7e73af2982d29453,n11,2
nd3027e360fe3ce04,n12,2
n2c0a9ffb3aa80acc,n13,2
n2c34275246bca334,n14,2
n1650b69d2756612e,n15,2
n171474571203d7a5,n16,2
n2f91f452d79ba2e8,n17,2
n1656f9c428a8f827,n18,2
nf791bed87ed2611e,n19,2
ne7da678ed9f82061,n20,2
n49c11aa04b690ce6,n21,2
n8065e75b614f0129,n22,2
n8f8f80845fa982f3,n23,3
n58ff9ca564468df0,n24,3
nfc756304363755d6,n25,3
n221a10984cba0173,n26,3
n9a384376a2186006,n27,3
n013fd5f6ecc6822c,n28,3
n37e35f9ce29d9c7e,n29,3
ne5603c97fe156f91,n30,3
n90afa6cdf815da9b,n31,3
nccb66d31927f0ecf,n32,3
nf4e660f0c8124b2e,n33,3
n839561be0d85dbb3,n34,4
ndff2dc5f0233e946,n35,4
n092a3c3944b3ff60,n36,4
n94b3d152c8909140,n37,4
nc13880c83b1d1697,n38,4
n88e69c7b59f91aac,n39,4
n7e473b7eeb3f3974,n40,4
n8a7c4f8934a1dfe9,n41,4
nc7c434446dd11b64,n42,4
nc64b6463209984eb,n43,4
ne291feb268162aee,n44,5
n1cadde2e3b05aba9,n45,5
ne946dcd28d13dd6c,n46,5
n67be5fdc1dfd22ec,n47,5
n602c4aa05d551f1a,n48,5
n8eb035cadfff71d2,n49,5
n5f617e3f57d1762d,n50,5
n4c03d336a63ad621,n51,5
nea0f34daa5b8111d,n52,5
n569ede1eba8605f4,n53,5
n643e2ec74cf40a00,n54,5
nb746e673eaaac82f,n55,5
ned0422e66ad72c5b,n56,6
n7d74c1a09015b5b8,n57,6
n9e607b29b20775db,n58,6
na4d9415387e4e50e,n59,6
na74b9cb562acaf2c,n60,6
n50102b5a33cfc235,n61,6
na8bfe585dad24afb,n62,6
n4539b6cc6080e45e,n63,6
nb1d81599597ba947,n64,6
nd6af63d61c85b005,n65,6
n050f2ba52a943441,n66,6
n3385b4c76df2d62b,n67,7
n588063ae152a6ed1,n68,7
ncaa3995f7a21fb10,n69,7
n2176f9024ff8a5b3,n70,7
n037d789c061d614b,n71,7
n24dde710163ea995,n72,7
n8e9083443fc9adf9,n73,7
n13c1f470a20fd7b6,n74,7
n242517b76ae675d1,n75,7
n6662e8d8ee965794,n76,7
n5a2a2eb03721bb4c,n77,8
n2c8486663711e287,n78,8
nab4472bbbc45c147,n79,8
nd5a2ddfaf4cf1cf3,n80,8
n74cd890a225e374d,n81,8
n5081101ebd064bec,n82,8
n0c7dae1fddef86ed,n83,8
nc040b9b0f948d9d1,n84,8
nd80e66ee248372c1,n85,8
n33aed938c3e14315,n86,8
nbd22bd3530387bbe,n87,8
nace778bbc8382cb9,n88,8
nfd1c6168ef42d332,n89,8
ne18cfab5e929935d,n90,8
n7a5832f16c1c6bd7,n91,9
n25ffdf9f24040116,n92,9
ne368b87615f6755b,n93,9
n0b5a751de4a2f25f,n94,9
ne703431e367b73a9,n95,9
n5192abcfa1c9b692,n96,9
nf15d54a97c15b65f,n97,9
n046ca935712983a6,n98,9
ndb40113993b94ff5,n99,9
ne4e2c4f08bbe9e70,n100,9
nb889cd64e37ab40b,n101,9
n51d3c5bae0e577ed,n102,9
n4e057eb8034ea343,n103,10
n068a76dbae8f0142,n104,10
n1871f6cee77030fd,n105,10
ne0006f975f889079,n106,10
nc516181844c481eb,n107,10
naf88bc08e899f3ef,n108,10
ne334a21b93bbe85f,n109,10
