note_id,original_id,bar,voice,staff,ordinal
mn-1-1-1-1,r1,1,1,1,1
mn-1-1-1-2,n1,1,1,1,2
mn-1-1-1-3,n2,1,1,1,3
mn-1-1-1-4,r2,1,1,1,4
mn-1-1-1-5,n3,1,1,1,5
mn-1-1-1-6,n4,1,1,1,6
mn-1-1-1-7,n5,1,1,1,7
mn-1-1-1-8,n6,1,1,1,8
mn-1-1-1-9,n7,1,1,1,9
mn-1-1-1-10,n8,1,1,1,10
mn-1-1-1-11,n9,1,1,1,11
mn-1-1-1-12,n10,1,1,1,12
mn-1-1-1-13,n11,1,1,1,13
mn-1-1-1-14,n12,1,1,1,14
mn-1-1-1-15,n13,1,1,1,15
mn-1-1-1-16,n14,1,1,1,16
mn-1-1-1-17,n15,1,1,1,17
mn-1-1-1-18,n16,1,1,1,18
mn-1-1-1-19,n17,1,1,1,19
mn-1-1-1-20,n18,1,1,1,20
mn-1-1-1-21,n19,1,1,1,21
mn-1-1-1-22,n20,1,1,1,22
mn-1-1-1-23,n21,1,1,1,23
mn-1-1-1-24,n22,1,1,1,24
mn-1-1-1-25,n23,1,1,1,25
mn-1-1-1-26,n24,1,1,1,26
mn-1-1-1-27,n25,1,1,1,27
mn-1-1-1-28,n26,1,1,1,28
mn-1-1-1-29,n27,1,1,1,29
mn-1-2-2-1,n28,1,2,2,1
mn-1-2-2-2,n29,1,2,2,2
mn-1-2-1-1,n30,1,2,1,1
mn-1-2-1-2,n31,1,2,1,2
mn-1-5-2-1,r3,1,5,2,1
mn-1-5-2-2,n32,1,5,2,2
mn-1-5-2-3,r4,1,5,2,3
mn-1-5-2-4,n33,1,5,2,4
mn-1-5-2-5,n34,1,5,2,5
mn-1-5-2-6,n35,1,5,2,6
mn-1-5-2-7,n36,1,5,2,7
mn-1-5-2-8,n37,1,5,2,8
mn-1-5-2-9,n38,1,5,2,9
mn-1-5-2-10,n39,1,5,2,10
mn-1-5-2-11,n40,1,5,2,11
mn-2-1-1-1,n41,2,1,1,1
mn-2-1-1-2,n42,2,1,1,2
mn-2-1-1-3,n43,2,1,1,3
mn-2-1-1-4,n44,2,1,1,4
mn-2-1-1-5,n45,2,1,1,5
mn-2-1-1-6,n46,2,1,1,6
mn-2-1-1-7,n47,2,1,1,7
mn-2-1-1-8,n48,2,1,1,8
mn-2-1-1-9,n49,2,1,1,9
mn-2-1-1-10,n50,2,1,1,10
mn-2-1-1-11,n51,2,1,1,11
mn-2-1-1-12,n52,2,1,1,12
mn-2-1-1-13,n53,2,1,1,13
mn-2-1-1-14,n54,2,1,1,14
mn-2-1-1-15,n55,2,1,1,15
mn-2-1-1-16,n56,2,1,1,16
mn-2-2-1-1,n57,2,2,1,1
mn-2-2-1-2,n58,2,2,1,2
mn-2-2-1-3,n59,2,2,1,3
mn-2-2-1-4,n60,2,2,1,4
mn-2-2-1-5,n61,2,2,1,5
mn-2-2-1-6,n62,2,2,1,6
mn-2-2-1-7,n63,2,2,1,7
mn-2-2-1-8,n64,2,2,1,8
mn-2-5-2-1,n65,2,5,2,1
mn-2-5-2-2,n66,2,5,2,2
mn-2-5-2-3,n67,2,5,2,3
mn-2-5-2-4,n68,2,5,2,4
mn-2-5-2-5,n69,2,5,2,5
mn-2-5-2-6,n70,2,5,2,6
mn-2-5-2-7,n71,2,5,2,7
mn-3-1-1-1,n72,3,1,1,1
mn-3-1-1-2,n73,3,1,1,2
mn-3-1-1-3,n74,3,1,1,3
mn-3-1-1-4,n75,3,1,1,4
mn-3-1-1-5,r5,3,1,1,5
mn-3-1-1-6,n76,3,1,1,6
mn-3-1-1-7,n77,3,1,1,7
mn-3-1-1-8,n78,3,1,1,8
mn-3-1-1-9,n79,3,1,1,9
mn-3-1-1-10,n80,3,1,1,10
mn-3-1-1-11,n81,3,1,1,11
mn-3-1-1-12,n82,3,1,1,12
mn-3-1-1-13,n83,3,1,1,13
mn-3-1-1-14,n84,3,1,1,14
mn-3-1-1-15,n85,3,1,1,15
mn-3-1-1-16,n86,3,1,1,16
mn-3-1-1-17,n87,3,1,1,17
mn-3-1-1-18,n88,3,1,1,18
mn-3-1-1-19,n89,3,1,1,19
mn-3-1-1-20,n90,3,1,1,20
mn-3-1-1-21,n91,3,1,1,21
mn-3-1-1-22,n92,3,1,1,22
mn-3-1-1-23,n93,3,1,1,23
mn-3-1-1-24,n94,3,1,1,24
mn-3-1-1-25,n95,3,1,1,25
mn-3-1-1-26,n96,3,1,1,26
mn-3-1-1-27,n97,3,1,1,27
mn-3-1-1-28,n98,3,1,1,28
mn-3-1-1-29,n99,3,1,1,29
mn-3-1-1-30,n100,3,1,1,30
mn-3-2-2-1,n101,3,2,2,1
mn-3-2-2-2,n102,3,2,2,2
mn-3-2-1-1,n103,3,2,1,1
mn-3-2-1-2,n104,3,2,1,2
mn-3-5-2-1,n105,3,5,2,1
mn-3-5-2-2,n106,3,5,2,2
mn-3-5-2-3,n107,3,5,2,3
mn-3-5-2-4,r6,3,5,2,4
mn-3-5-2-5,n108,3,5,2,5
mn-3-5-2-6,n109,3,5,2,6
mn-3-5-2-7,n110,3,5,2,7
mn-3-5-2-8,n111,3,5,2,8
mn-3-5-2-9,n112,3,5,2,9
mn-3-5-2-10,n113,3,5,2,10
mn-3-5-2-11,n114,3,5,2,11
mn-3-5-2-12,n115,3,5,2,12
mn-4-1-1-1,n116,4,1,1,1
mn-4-1-1-2,n117,4,1,1,2
mn-4-1-1-3,n118,4,1,1,3
mn-4-1-1-4,n119,4,1,1,4
mn-4-1-1-5,n120,4,1,1,5
