element_id,tag,carrier,host_or_staff
n3--tuplet--start--1,tuplet,stamp,n3
n9--tuplet--stop--1,tuplet,stamp,n9
n12--tuplet--start--1,tuplet,stamp,n12
n18--tuplet--stop--1,tuplet,stamp,n18
n21--tuplet--start--1,tuplet,stamp,n21
n27--tuplet--stop--1,tuplet,stamp,n27
md-1-1-1-1,words,md,1
md-1-1-2-1,dynamics,md,2
n31--tuplet--start--1,tuplet,stamp,n31
n37--tuplet--stop--1,tuplet,stamp,n37
n40--tuplet--start--1,tuplet,stamp,n40
n46--tuplet--stop--1,tuplet,stamp,n46
n49--tuplet--start--1,tuplet,stamp,n49
n55--tuplet--stop--1,tuplet,stamp,n55
n58--tuplet--start--1,tuplet,stamp,n58
n64--tuplet--stop--1,tuplet,stamp,n64
n68--tuplet--start--1,tuplet,stamp,n68
n68--slur--start--1,slur,stamp,n68
n68--accent--1,accent,derive,n68
n68--tenuto--1,tenuto,derive,n68
n70--tuplet--stop--1,tuplet,stamp,n70
n70--slur--stop--1,slur,stamp,n70
n73--tuplet--start--1,tuplet,stamp,n73
n73--slur--start--1,slur,stamp,n73
n73--accent--1,accent,derive,n73
n73--tenuto--1,tenuto,derive,n73
n75--tuplet--stop--1,tuplet,stamp,n75
n75--slur--stop--1,slur,stamp,n75
n77--tuplet--start--1,tuplet,stamp,n77
n77--slur--start--1,slur,stamp,n77
n80--tuplet--stop--1,tuplet,stamp,n80
n80--slur--stop--1,slur,stamp,n80
n81--tuplet--start--1,tuplet,stamp,n81
n84--tuplet--stop--1,tuplet,stamp,n84
n85--tuplet--start--1,tuplet,stamp,n85
n85--slur--start--1,slur,stamp,n85
n88--tuplet--stop--1,tuplet,stamp,n88
n88--slur--stop--1,slur,stamp,n88
n89--tuplet--start--1,tuplet,stamp,n89
n92--tuplet--stop--1,tuplet,stamp,n92
md-1-3-1-1,words,md,1
md-1-3-1-2,words,md,1
n95--slur--start--1,slur,stamp,n95
n97--tuplet--start--1,tuplet,stamp,n97
n99--tuplet--stop--1,tuplet,stamp,n99
n99--slur--stop--1,slur,stamp,n99
n100--tuplet--start--1,tuplet,stamp,n100
n103--slur--start--1,slur,stamp,n103
n106--tuplet--stop--1,tuplet,stamp,n106
n109--tuplet--start--1,tuplet,stamp,n109
n115--tuplet--stop--1,tuplet,stamp,n115
n118--tuplet--start--1,tuplet,stamp,n118
n124--tuplet--stop--1,tuplet,stamp,n124
md-1-4-2-1,wedge,md,2
n128--tuplet--start--1,tuplet,stamp,n128
