element_id,original_id,tag,carrier,host_or_staff
n5396daff7c18861f--staccatissimo--1,,staccatissimo,derive,n5396daff7c18861f
n5396daff7c18861f--arpeggiate--1,n3--arpeggiate--1,arpeggiate,stamp,n5396daff7c18861f
n92bd0fb81d2b39cb--arpeggiate--1,n4--arpeggiate--1,arpeggiate,stamp,n92bd0fb81d2b39cb
n7bbe2f7da2e5c075--arpeggiate--1,n5--arpeggiate--1,arpeggiate,stamp,n7bbe2f7da2e5c075
n1d77fc585e268d5f--arpeggiate--1,n6--arpeggiate--1,arpeggiate,stamp,n1d77fc585e268d5f
nd7c1eef36fe932b6--staccatissimo--1,,staccatissimo,derive,nd7c1eef36fe932b6
nd7c1eef36fe932b6--arpeggiate--1,n9--arpeggiate--1,arpeggiate,stamp,nd7c1eef36fe932b6
n9ad5e9c4330f3558--arpeggiate--1,n10--arpeggiate--1,arpeggiate,stamp,n9ad5e9c4330f3558
n25cae5d64e3c2593--arpeggiate--1,n11--arpeggiate--1,arpeggiate,stamp,n25cae5d64e3c2593
nf901515c9ec874a1--arpeggiate--1,n12--arpeggiate--1,arpeggiate,stamp,nf901515c9ec874a1
n932233e6ef0af307--staccatissimo--1,,staccatissimo,derive,n932233e6ef0af307
n932233e6ef0af307--arpeggiate--1,n16--arpeggiate--1,arpeggiate,stamp,n932233e6ef0af307
nd45456c8cdbba521--arpeggiate--1,n17--arpeggiate--1,arpeggiate,stamp,nd45456c8cdbba521
n614ff22c485f8bfb--arpeggiate--1,n18--arpeggiate--1,arpeggiate,stamp,n614ff22c485f8bfb
n6a3220d107a42644--arpeggiate--1,n19--arpeggiate--1,arpeggiate,stamp,n6a3220d107a42644
nb95df98bfd70efeb--staccatissimo--1,,staccatissimo,derive,nb95df98bfd70efeb
nb95df98bfd70efeb--arpeggiate--1,n22--arpeggiate--1,arpeggiate,stamp,nb95df98bfd70efeb
n9712c00b29d7600f--arpeggiate--1,n23--arpeggiate--1,arpeggiate,stamp,n9712c00b29d7600f
n14ecb9df1b5002df--arpeggiate--1,n24--arpeggiate--1,arpeggiate,stamp,n14ecb9df1b5002df
n0ef9da76af857e5e--arpeggiate--1,n25--arpeggiate--1,arpeggiate,stamp,n0ef9da76af857e5e
ece3c0e0da3b49aea,md-1-1-1-1,words,md,1
e0cfdf0dce65bc11e,md-1-1-2-1,octave-shift,md,2
eb98fe749fac75625,md-1-1-2-2,octave-shift,md,2
e9dc5391a839617ac,md-1-1-3-1,dynamics,md,3
nb5109c2dc92b023e--staccatissimo--1,,staccatissimo,derive,nb5109c2dc92b023e
nb5109c2dc92b023e--arpeggiate--1,n29--arpeggiate--1,arpeggiate,stamp,nb5109c2dc92b023e
ncac36fae67cf16a6--arpeggiate--1,n30--arpeggiate--1,arpeggiate,stamp,ncac36fae67cf16a6
nbae4d85cbc984d15--arpeggiate--1,n31--arpeggiate--1,arpeggiate,stamp,nbae4d85cbc984d15
n63f04a623276fcb1--arpeggiate--1,n32--arpeggiate--1,arpeggiate,stamp,n63f04a623276fcb1
nfe5843db95311008--staccatissimo--1,,staccatissimo,derive,nfe5843db95311008
nfe5843db95311008--arpeggiate--1,n34--arpeggiate--1,arpeggiate,stamp,nfe5843db95311008
n9dc7ea6a12092b33--arpeggiate--1,n35--arpeggiate--1,arpeggiate,stamp,n9dc7ea6a12092b33
n9908f6089408fd54--arpeggiate--1,n36--arpeggiate--1,arpeggiate,stamp,n9908f6089408fd54
n28197d96aca33b1f--arpeggiate--1,n37--arpeggiate--1,arpeggiate,stamp,n28197d96aca33b1f
n44ad3edf36ec628f--staccatissimo--1,,staccatissimo,derive,n44ad3edf36ec628f
n44ad3edf36ec628f--arpeggiate--1,n39--arpeggiate--1,arpeggiate,stamp,n44ad3edf36ec628f
nddd1a51f1a5e2fc0--arpeggiate--1,n40--arpeggiate--1,arpeggiate,stamp,nddd1a51f1a5e2fc0
n7059bd06a2e9427e--arpeggiate--1,n41--arpeggiate--1,arpeggiate,stamp,n7059bd06a2e9427e
n1edf2c6d4bd130ea--arpeggiate--1,n42--arpeggiate--1,arpeggiate,stamp,n1edf2c6d4bd130ea
n1656f9c428a8f827--staccatissimo--1,,staccatissimo,derive,n1656f9c428a8f827
n1656f9c428a8f827--arpeggiate--1,n46--arpeggiate--1,arpeggiate,stamp,n1656f9c428a8f827
neeb833b18b1c691f--arpeggiate--1,n47--arpeggiate--1,arpeggiate,stamp,neeb833b18b1c691f
n3307e3b4fb652962--arpeggiate--1,n48--arpeggiate--1,arpeggiate,stamp,n3307e3b4fb652962
n7e560098296c1d6d--arpeggiate--1,n49--arpeggiate--1,arpeggiate,stamp,n7e560098296c1d6d
n12304bc6d38083fb--staccatissimo--1,,staccatissimo,derive,n12304bc6d38083fb
n12304bc6d38083fb--arpeggiate--1,n51--arpeggiate--1,arpeggiate,stamp,n12304bc6d38083fb
n923c7f0ecfcd16f3--arpeggiate--1,n52--arpeggiate--1,arpeggiate,stamp,n923c7f0ecfcd16f3
ncce0f16ed7fddce5--arpeggiate--1,n53--arpeggiate--1,arpeggiate,stamp,ncce0f16ed7fddce5
ned370e1d5088ce71--arpeggiate--1,n54--arpeggiate--1,arpeggiate,stamp,ned370e1d5088ce71
nde999f219f0ba2bf--staccatissimo--1,,staccatissimo,derive,nde999f219f0ba2bf
nde999f219f0ba2bf--arpeggiate--1,n56--arpeggiate--1,arpeggiate,stamp,nde999f219f0ba2bf
n4d8177a934fe07d1--arpeggiate--1,n57--arpeggiate--1,arpeggiate,stamp,n4d8177a934fe07d1
na2ced6536b093371--arpeggiate--1,n58--arpeggiate--1,arpeggiate,stamp,na2ced6536b093371
n06eb2442156c8900--arpeggiate--1,n59--arpeggiate--1,arpeggiate,stamp,n06eb2442156c8900
na97dcd36a7f56f87--staccatissimo--1,,staccatissimo,derive,na97dcd36a7f56f87
na97dcd36a7f56f87--arpeggiate--1,n62--arpeggiate--1,arpeggiate,stamp,na97dcd36a7f56f87
nda66e966a095160d--arpeggiate--1,n63--arpeggiate--1,arpeggiate,stamp,nda66e966a095160d
n455a1cb4947ad8f3--arpeggiate--1,n64--arpeggiate--1,arpeggiate,stamp,n455a1cb4947ad8f3
n79bc37ecb91e5a0b--arpeggiate--1,n65--arpeggiate--1,arpeggiate,stamp,n79bc37ecb91e5a0b
ncab6cf1d09fa827c--staccatissimo--1,,staccatissimo,derive,ncab6cf1d09fa827c
ncab6cf1d09fa827c--arpeggiate--1,n67--arpeggiate--1,arpeggiate,stamp,ncab6cf1d09fa827c
n78dc35bd17a20dd1--arpeggiate--1,n68--arpeggiate--1,arpeggiate,stamp,n78dc35bd17a20dd1
nc88250e519aa6e23--arpeggiate--1,n69--arpeggiate--1,arpeggiate,stamp,nc88250e519aa6e23
nad433949a7d46829--arpeggiate--1,n70--arpeggiate--1,arpeggiate,stamp,nad433949a7d46829
n000117c0e4149f73--staccatissimo--1,,staccatissimo,derive,n000117c0e4149f73
n000117c0e4149f73--arpeggiate--1,n72--arpeggiate--1,arpeggiate,stamp,n000117c0e4149f73
n4fa578bab4bc2d2b--arpeggiate--1,n73--arpeggiate--1,arpeggiate,stamp,n4fa578bab4bc2d2b
n9ea659a6009558e6--arpeggiate--1,n74--arpeggiate--1,arpeggiate,stamp,n9ea659a6009558e6
n44a05ce84d7cde64--staccatissimo--1,,staccatissimo,derive,n44a05ce84d7cde64
n44a05ce84d7cde64--arpeggiate--1,n76--arpeggiate--1,arpeggiate,stamp,n44a05ce84d7cde64
nf36ce57d1f355918--arpeggiate--1,n77--arpeggiate--1,arpeggiate,stamp,nf36ce57d1f355918
ndeb50bd9e3012acf--arpeggiate--1,n78--arpeggiate--1,arpeggiate,stamp,ndeb50bd9e3012acf
nb3a0ec32fc3be36e--staccatissimo--1,,staccatissimo,derive,nb3a0ec32fc3be36e
nb3a0ec32fc3be36e--arpeggiate--1,n81--arpeggiate--1,arpeggiate,stamp,nb3a0ec32fc3be36e
n4fc7ada0eee628bc--arpeggiate--1,n82--arpeggiate--1,arpeggiate,stamp,n4fc7ada0eee628bc
n67dadcd0cddebd0a--arpeggiate--1,n83--arpeggiate--1,arpeggiate,stamp,n67dadcd0cddebd0a
n9cfbaf2a8836aa1b--arpeggiate--1,n84--arpeggiate--1,arpeggiate,stamp,n9cfbaf2a8836aa1b
nd22b42d90aecfd28--staccatissimo--1,,staccatissimo,derive,nd22b42d90aecfd28
nd22b42d90aecfd28--arpeggiate--1,n86--arpeggiate--1,arpeggiate,stamp,nd22b42d90aecfd28
n6c4084c6f4b54d11--arpeggiate--1,n87--arpeggiate--1,arpeggiate,stamp,n6c4084c6f4b54d11
ncdc2bd026e922046--arpeggiate--1,n88--arpeggiate--1,arpeggiate,stamp,ncdc2bd026e922046
n1336933688dbb194--arpeggiate--1,n89--arpeggiate--1,arpeggiate,stamp,n1336933688dbb194
