note_id,original_id,part,bar,voice,staff,ordinal
mn-1-1-1-1-1,mn-1-1-1-1,1,1,1,1,1
mn-1-1-5-2-1,mn-1-5-2-1,1,1,5,2,1
mn-1-1-5-2-2,mn-1-5-2-2,1,1,5,2,2
mn-1-1-5-2-3,mn-1-5-2-3,1,1,5,2,3
mn-1-1-5-2-4,mn-1-5-2-4,1,1,5,2,4
mn-1-1-5-2-5,mn-1-5-2-5,1,1,5,2,5
mn-1-1-5-2-6,mn-1-5-2-6,1,1,5,2,6
mn-1-1-5-2-7,mn-1-5-2-7,1,1,5,2,7
mn-1-1-5-2-8,mn-1-5-2-8,1,1,5,2,8
mn-1-1-5-2-9,mn-1-5-2-9,1,1,5,2,9
mn-1-1-5-2-10,mn-1-5-2-10,1,1,5,2,10
mn-1-1-5-2-11,mn-1-5-2-11,1,1,5,2,11
mn-1-1-5-2-12,mn-1-5-2-12,1,1,5,2,12
mn-1-1-9-3-1,mn-1-9-3-1,1,1,9,3,1
mn-1-1-10-3-1,mn-1-10-3-1,1,1,10,3,1
mn-1-1-10-3-2,mn-1-10-3-2,1,1,10,3,2
mn-1-1-10-3-3,mn-1-10-3-3,1,1,10,3,3
mn-1-1-10-3-4,mn-1-10-3-4,1,1,10,3,4
mn-1-1-10-3-5,mn-1-10-3-5,1,1,10,3,5
mn-1-1-10-3-6,mn-1-10-3-6,1,1,10,3,6
mn-1-1-10-3-7,mn-1-10-3-7,1,1,10,3,7
mn-1-1-10-3-8,mn-1-10-3-8,1,1,10,3,8
mn-1-1-10-3-9,mn-1-10-3-9,1,1,10,3,9
mn-1-1-10-3-10,mn-1-10-3-10,1,1,10,3,10
mn-1-1-10-3-11,mn-1-10-3-11,1,1,10,3,11
mn-1-1-10-3-12,mn-1-10-3-12,1,1,10,3,12
mn-1-2-1-1-1,mn-2-1-1-1,1,2,1,1,1
mn-1-2-5-2-1,mn-2-5-2-1,1,2,5,2,1
mn-1-2-5-2-2,mn-2-5-2-2,1,2,5,2,2
mn-1-2-5-2-3,mn-2-5-2-3,1,2,5,2,3
mn-1-2-5-2-4,mn-2-5-2-4,1,2,5,2,4
mn-1-2-5-2-5,mn-2-5-2-5,1,2,5,2,5
mn-1-2-5-2-6,mn-2-5-2-6,1,2,5,2,6
mn-1-2-5-2-7,mn-2-5-2-7,1,2,5,2,7
mn-1-2-5-2-8,mn-2-5-2-8,1,2,5,2,8
mn-1-2-5-2-9,mn-2-5-2-9,1,2,5,2,9
mn-1-2-5-2-10,mn-2-5-2-10,1,2,5,2,10
mn-1-2-5-2-11,mn-2-5-2-11,1,2,5,2,11
mn-1-2-5-2-12,mn-2-5-2-12,1,2,5,2,12
mn-1-2-5-2-13,mn-2-5-2-13,1,2,5,2,13
mn-1-2-5-2-14,mn-2-5-2-14,1,2,5,2,14
mn-1-2-5-2-15,mn-2-5-2-15,1,2,5,2,15
mn-1-2-5-2-16,mn-2-5-2-16,1,2,5,2,16
mn-1-2-9-3-1,mn-2-9-3-1,1,2,9,3,1
mn-1-2-10-3-1,mn-2-10-3-1,1,2,10,3,1
mn-1-2-10-3-2,mn-2-10-3-2,1,2,10,3,2
mn-1-2-10-3-3,mn-2-10-3-3,1,2,10,3,3
mn-1-2-10-3-4,mn-2-10-3-4,1,2,10,3,4
mn-1-2-10-3-5,mn-2-10-3-5,1,2,10,3,5
mn-1-2-10-3-6,mn-2-10-3-6,1,2,10,3,6
mn-1-2-10-3-7,mn-2-10-3-7,1,2,10,3,7
mn-1-2-10-3-8,mn-2-10-3-8,1,2,10,3,8
mn-1-2-10-3-9,mn-2-10-3-9,1,2,10,3,9
