note_id,original_id,printed_bar
ncae0e7ec3634d539,n1,1
n1d41d64271c37c34,n2,1
n6dbd155f6125fa99,n3,1
nabfb9ab928e8e951,n4,1
ne743d42104129b12,n5,1
n008c50288dce74df,n6,1
nd588f7ef2e58c475,n7,1
nce5387cc4dc2e4e6,n8,1
nf9c36ed43c36a3c9,n9,1
n8d8d9d2c4993740e,n10,1
ne4eaf18ed3e06c61,n11,2
nf544c9cfce129b00,n12,2
nd260bb5483a7fee5,n13,2
n73ab13648df19954,n14,2
n755ac5c42570da7d,n15,2
n924d42b2bac085bc,n16,2
n3307e3b4fb652962,n17,2
n923c7f0ecfcd16f3,n18,2
nb7fa49dbb4c4c865,n19,2
n7e73af2982d29453,n20,2
n5ca3ed1786978c62,n21,2
ncce0f16ed7fddce5,n22,2
ne1ce7806b6eb793c,n23,2
n0bc7273135f431a4,n24,2
nf791bed87ed2611e,n25,2
n37f2281073b4b2eb,n26,2
n1796c1e00fe76e50,n27,2
n1e1749cd55bdf0f4,n28,2
necbc3c326b153905,n29,2
nced816cf8c1e1f30,n30,2
nb27ca05947a26fd6,n31,3
n85991facf5f4a26f,n32,3
na813c97a1e6d2a72,n33,3
ncdf304b4b3a5c889,n34,3
n49f3a1a83abaa4cb,n35,3
na9b3fff5f538b8be,n36,3
n70953c71601d3ea3,n37,3
n1af79e5eb53fab6e,n38,3
na0916a25f748da92,n39,3
n8d53bfbc7935dfd7,n40,3
n9dacb3df6be5ba62,n41,3
neac5eac9024549ef,n42,3
nbac836b928d83ef5,n43,3
n7e654cff449b6cf6,n44,3
n6c4084c6f4b54d11,n45,3
nd38a55d185132695,n46,3
n20cedeee86738745,n47,3
n13af33fe30d02fa9,n48,3
ndf3ae15ec11253a0,n49,3
n2400545a82b853df,n50,3
n09d9fb1a6e2dd12b,n51,4
n839561be0d85dbb3,n52,4
n94b3d152c8909140,n53,4
ncc0925376eac179f,n54,4
nabf41576c835026f,n55,4
n27f007ddf63d7da3,n56,4
n0fc1cb9704b4c7c0,n57,4
n1d89268d0a166ffe,n58,4
n16c79a54df616323,n59,4
n215103925480f472,n60,4
nbdff48a926b6cd7a,n61,4
n4d04e749c95de838,n62,4
nc0ebfcc162469f75,n63,4
nf4c5826284ce7200,n64,4
n95a5c997fd4db2af,n65,4
nd7344edc46895570,n66,4
nc59ca3590b40cd92,n67,4
nb1d45b024c895f68,n68,4
n26c65e22374ec57d,n69,4
n7e473b7eeb3f3974,n70,4
n01a6a32ae388baeb,n71,4
nc38c6f2b6e53a0c5,n72,4
n4b769a356d656770,n73,4
nd0777ca06f64594b,n74,4
n81ee5798689d7955,n75,4
ncb891cc6aacc2d2c,n76,4
ne291feb268162aee,n77,5
neeb8a40183631bb9,n78,5
nbf304a8d66a2dbe8,n79,5
nb28aaea0534e4f65,n80,5
n1dac546f1f16442e,n81,5
n84c18a044279c2f6,n82,5
n33a45a783856ba1d,n83,5
n2409cc84cb1e6722,n84,5
nf56b68b50cbe4e2f,n85,5
n318ac25e53f1ef55,n86,5
n48b1f48488ba08a7,n87,5
n9e4f90c5c1d999a3,n88,5
n9da628096f086543,n89,5
ndbf96aa97eb9e85b,n90,5
nea0f34daa5b8111d,n91,5
ncc04bd1085cbe471,n92,5
n208ad209f513bd21,n93,5
nc414e7380fbf47d9,n94,5
nb9d9ae13741cecc8,n95,5
n8311d8e10a1b007e,n96,5
nfbd0ffc54fdea1eb,n97,5
n62b7ab68a1604a89,n98,6
nefd68efd37580d35,n99,6
n24c1db7d4e5768f0,n100,6
nbebb8493c1bf7568,n101,6
ne924b118be90fa23,n102,6
nb9c9260c28ee1d08,n103,6
na8bfe585dad24afb,n104,6
n229de04720379e2d,n105,6
n40e2eb5fad72713d,n106,6
n640c0374b50ad5bb,n107,6
n6fea75bbc6534a45,n108,6
na4f8e97ae7ade265,n109,6
nfd406fc3c914ff59,n110,6
nbcfaac58670fc12b,n111,6
n59453d593a9d5c8d,n112,6
nc7c33ae84070be1f,n113,6
n0efbd62bbf29ee52,n114,6
nc0b8f75bac3660f7,n115,6
n518978566cc1fc1a,n116,6
n4c14728c674a9cbc,n117,6
n78d131a1c0d85dcf,n118,6
na74b9cb562acaf2c,n119,6
n36dd49865d6146e5,n120,6
n8dec5ef14cae0a12,n121,6
n59152f20a7a54c54,n122,6
neebc902dbcca0b29,n123,6
nb35b9a9727a2c1b4,n124,7
na7c2e61e775d1091,n125,7
na4582fa7e3921bbb,n126,7
nbb7b2da44f923bca,n127,7
ncab51a27380f1d8b,n128,7
n1c1430cb4db935bd,n129,7
nf93873a4b61ba5be,n130,7
n3385b4c76df2d62b,n131,7
n070ffd277d6955c1,n132,7
ne5dea43b3730317e,n133,7
n588063ae152a6ed1,n134,7
n8355a503a2d146a7,n135,7
n2176f9024ff8a5b3,n136,7
n037d789c061d614b,n137,7
nb04187637ca6dc4f,n138,7
nb0eed1f78847f7c4,n139,7
n2522b4cc23a32a9c,n140,7
n67fab4089750ba9f,n141,8
n9f7b3fab2a6e832f,n142,8
n81d3e749ed0191e5,n143,8
n20d5e12ffbce073a,n144,8
n5f4ae8a015e3a4cf,n145,8
nae1afee9f4569a6d,n146,8
n7e09cd6c05f25ce9,n147,8
n6041389f7d08a321,n148,8
nf516ed633314f194,n149,8
nfb25bc524d8c568b,n150,8
n32e4a81c61cba897,n151,8
n5963bd2bf5b82384,n152,8
n831da31669876b4a,n153,8
nef93f8e265e470bd,n154,8
n557a911c710ec643,n155,8
ndb0626b0b3996f9b,n156,8
na7a8af578236bbe9,n157,8
n735ed2f3969d043e,n158,8
n6c380fac86f8cc42,n159,8
n29eaaf9d77b8e248,n160,8
nb11d7362c18e7d39,n161,8
n535ae97fcb082fa6,n162,9
n4aac0465ca5969be,n163,9
nfe5748610a518bea,n164,9
na9f5f4aba7b667e7,n165,9
n7443911e2235bba4,n166,9
n3cf3032bfa898a3f,n167,9
nee8474916390e350,n168,9
n36c0029ef58c2518,n169,9
n84f3ade344fa8257,n170,9
nf4bb9247d3229a9e,n171,10
n265dadde49621f20,n172,10
ne334a21b93bbe85f,n173,10
nd285a2acd8725d0b,n174,10
nf188ff6ca56482f2,n175,10
n8a75517bbac66ddc,n176,10
n6659e544f2cf8ec1,n177,10
naf8e498f453b87b2,n178,10
n1f3a3566ed5264a9,n179,10
ndefd6a7b26a0873b,n180,10
n20f90f4ba3432d88,n181,10
nf8a9d7898d6cccdd,n182,10
nd002f852d04419d5,n183,10
nef3bd43410fcc7c4,n184,10
n3fc75e20ccf43cd3,n185,10
nd6be421ce13a050e,n186,10
nea6025dcf6f7a4e0,n187,10
nbc9930db466d9f18,n188,10
n79f205150d86f712,n189,10
ncdd872fbb1e5eedf,n190,10
n1cb4fbcc217cf31d,n191,10
nd4f72bf81256f3de,n192,10
n28ba1359c1034b3f,n193,10
n99061377b4341739,n194,10
n093bc9139d8d2f21,n195,10
n4c63139ddfd4e98d,n196,10
n65541c36c729a682,n197,10
ne252f934c9a53c56,n198,10
nb1e18c384857702e,n199,10
n7899c0a85a63f384,n200,10
ncc83f8e121a3dd15,n201,10
nd449adfac31adc9f,n202,10
n0f943b260b394ee0,n203,10
n48b4e666afd31412,n204,10
n6167bee2c9aaf092,n205,10
n09c1d0f8dbcc9f61,n206,10
naa6237c269654380,n207,10
nb6bf77289316e4e7,n208,10
n21ce2da961b8feb6,n209,10
n3c4265ea9a88f497,n210,10
ndee29c52a8d06875,n211,10
n862a8231703dfb46,n212,10
ne60539ef2bd1eb95,n213,10
n46d1051f70050263,n214,10
n135dcf3cf2a513de,n215,10
n2a0a68f2f0f6788b,n216,10
n6fa189c3599d7857,n217,10
nfcadbd80e647cc25,n218,10
n8384f9913a679209,n219,10
ne651c12639b1df1d,n220,10
n15467b39b68371e4,n221,10
n900ca07482a2b1b2,n222,10
ne8902d9b8d8c81ef,n223,10
n9a9527144cebeb0f,n224,10
nf5446a4637e59235,n225,10
n13885cb466b012be,n226,10
n36ab129fa1bae450,n227,10
n8e261084a08c8feb,n228,10
n53821d3a85394f9b,n229,10
n96f500653245b139,n230,10
nca7bb94c1b4b486b,n231,10
n95ff061d6bc4df2c,n232,10
n50f7b5243aa752be,n233,10
n7be475708ccce14d,n234,10
n0d91fd75de712b50,n235,10
n63ebd013b67dd2a5,n236,10
ncfbcf7dedfc909af,n237,10
n633e06ce68a0422d,n238,10
nce232c2c9cce54b7,n239,10
n27101db9a043b585,n240,10
nc0626bca80a78ed9,n241,10
n98d8675387fb793e,n242,10
n5074f4d6e3348b56,n243,10
nc9be48af6c23f147,n244,10
n82c365725def611a,n245,10
n87f14044c498fb89,n246,10
n1d73537786e771c3,n247,10
n29b710e62c80366f,n248,10
n8092c1b57f3259f1,n249,10
ndc3c35d56ff5ecfd,n250,11
nc716fe0c3de26248,n251,11
n2781ee3aac4d04a9,n252,11
nac930f4efa18345f,n253,11
n0d1d363fa3fae81c,n254,11
n498d2448c46f5014,n255,11
ne1c356f2917aa24c,n256,11
n70973eec46717e86,n257,11
na400ddde36ef71db,n258,11
n06b70cc4611bd0af,n259,11
n966c4b57d7f253cc,n260,11
nd88b2af178a604b8,n261,11
n02fe674e8f45c3bc,n262,11
nb802e0c322be8e6e,n263,11
nd903afa769798941,n264,11
n8213078ec09311cc,n265,11
ne330255feee85c94,n266,11
nf4a2c76b2cf4bd8c,n267,11
n9881cd100eea8394,n268,11
n6fffd168b696c675,n269,11
ne492b4ec476c0b3c,n270,12
n44bf92618dcbfea7,n271,12
n2a4bbc6b8955b217,n272,12
n08b624ef11236b7d,n273,12
nf18a6c98e41c9c18,n274,12
nb1a50dafe43358a1,n275,12
n75a39bfa66343a8b,n276,12
n226b244aa73a4e33,n277,12
n7be9197076abec17,n278,12
n4f348917e5f45b05,n279,12
n2622709cfea5ce2f,n280,12
n29b212ec48bddd65,n281,12
ne41b8f6022ad24ec,n282,12
nb15ca29835dde08e,n283,12
n021b4fbb07e7acee,n284,12
nb36daf149de41fce,n285,12
n7a5f1e811ee0dd5b,n286,12
n4d426eb674c82aea,n287,12
n518820692ee1f75e,n288,12
nd6e1d77ebc65b2a7,n289,12
n5513203e8a44d4b2,n290,13
nf497971fd71b5e12,n291,13
n592f1ed8c9fd54ae,n292,13
nce4a5abaca43f112,n293,13
nbe742e1e2eb87618,n294,13
n03dc7bdba949ed4f,n295,13
n7863365a3cede993,n296,13
n249efca75a59841e,n297,13
nc3da1350aa358713,n298,13
ndbca12d5e2f1c86b,n299,13
n3abc31568d706b7f,n300,13
n195da761a6d8139d,n301,13
ne3361345a2e30fbd,n302,13
n08d6d626ef1faf4f,n303,13
n2eb56867990fc0c6,n304,13
n785b702f7deaf3c9,n305,13
n3673ebf36fdc4675,n306,13
n20b0f35aad14da99,n307,13
n20f1d4cf66e2839b,n308,13
n2e8a43ff26cc96df,n309,13
n74889cc8919719dc,n310,13
n68ca0f8ccbaf8b25,n311,13
n03deb443f2bd3ecc,n312,14
nfc86784bddb25eef,n313,14
n121f0e4d8cada3de,n314,14
n3cb9af2e1a419b15,n315,14
n47abc5afe8ac3c0f,n316,14
nfee22eada97800c9,n317,14
n2e6dfb44c0b9bcd2,n318,14
n796ab85921535ad9,n319,14
n8503b9c3365e4779,n320,14
neb8ef289c8db2485,n321,14
n49353c06f2cc96cd,n322,14
nd7e667912c8a3fc1,n323,14
n86b5f9c8cd734c9b,n324,14
n892a08223353ee00,n325,14
ndee2ac4bbc49d5e8,n326,14
n2374da27bcb98978,n327,14
n88c6f382de3acc11,n328,14
nf9e70d0410005742,n329,14
nb0fd7cc02d02bc19,n330,14
nda55eb699aee4c7b,n331,14
n52f497efd7beadce,n332,14
n7f5da61883bfffeb,n333,14
nd4f981206d51fad6,n334,14
n9b3472d562d63f2a,n335,14
n4fd7c3341d31b294,n336,14
n0d78fecf49d07628,n337,14
n4dcb5b26fba26048,n338,14
neff4055bf27362a0,n339,14
n2d7705c3d72a3db0,n340,14
n15cc229f0c827497,n341,14
n4dc08dc67a42ce64,n342,14
nd0ce521fbc521ef4,n343,14
n60200ff8ebf79575,n344,14
ncf37d2bf7fbe3b85,n345,14
n51453d08029ab790,n346,14
n57a496cb5ea520d3,n347,14
n113ffe454250b107,n348,14
n05bbd4f1e21d6afc,n349,14
n9d1c759d5b82f38c,n350,14
nae48caac8a0df165,n351,14
n7b248c44635a6c66,n352,14
n97b44b053146c41d,n353,14
n49827c9b7ef702d2,n354,14
n2cfa379e8125ebb9,n355,14
nee4583d094b53b81,n356,14
n1b0e92385389c017,n357,14
n547a7aeba9a24572,n358,14
nb6d0c25cf8d00c8f,n359,14
nac2e8c181601eab4,n360,14
nf5db1c1762648e3a,n361,14
n8fb14f3158a80b95,n362,14
nf5dabcb9ad58f9e1,n363,14
ne566786ac0f37920,n364,14
nd7d950a593d53619,n365,14
nf4bde9e01d24b99f,n366,14
n0a32f94f11b63a1e,n367,14
n0dabc45591924671,n368,14
n4816f39af8f8deab,n369,14
neecb02b8102909e4,n370,14
n36bc8628d7f36b06,n371,14
n31abd365033cfdcf,n372,14
n66f2923be7dd6ea9,n373,14
nb55c84a2fb320532,n374,14
ndce64ff5808c39fa,n375,14
n5006142c47e82fb7,n376,14
ne25a8793bc540fc2,n377,14
n5d8de9fa6a49b462,n378,14
n9418f8d505fb2f02,n379,14
n13e496d8b0df6e6e,n380,14
n48511285a5a972d7,n381,14
n2e7dd0bdd73c62a7,n382,14
na0f86274600da404,n383,14
nd3aa5fa85dbabb60,n384,14
naae88b45689ff85a,n385,14
n54e67270a6e1b3d1,n386,14
n988fb5eaf8b26bc2,n387,14
nd64f60ae3e2f17b7,n388,14
nba242774a945c977,n389,X1
n56e7d32d97b757fe,n390,X1
nbfdf22394929b481,n391,X1
nc22a6615ffac8965,n392,X1
n5d2d46c487946892,n393,X1
n5d3a88875a3a465d,n394,X1
nd1fb21b630f8c09a,n395,X1
nbfee91e1dc1e20cb,n396,X1
n4ba1f9c7f1f80188,n397,X1
n283dbd0953ffadf6,n398,X1
nb3ee5b24b5497731,n399,X1
n83c3299e8d2a946d,n400,X1
n258251a01b468288,n401,X1
nc1c1164ca14a7e67,n402,X1
ne97ecb3b49cea39a,n403,X1
n07527a22e401e9ba,n404,X1
n95bf9959bc3279f9,n405,X1
n2513100c7690cdd4,n406,X1
n6ba67eeec120362f,n407,X1
nbc8123ab82972a4f,n408,X1
n6d6f75447ad428f5,n409,X1
n363dc31391a23357,n410,X1
n6f508c0f9f275c93,n411,X1
n66cfe636eff4aa51,n412,X1
ndbf7bd358b43507b,n413,X1
n1c3fc95d83729325,n414,X1
n1321c591a6894b58,n415,X1
ne4fd738fb57035a4,n416,X1
n43fa55db7a8137cf,n417,X1
nf7d7495677304535,n418,X1
n916c24c7765c697f,n419,X1
n027a26b6cd2d5de9,n420,X1
nc67365cb2a43b49b,n421,X1
n4b719d24f7044096,n422,X1
n5ec290689dede1a3,n423,X1
n0069b484d74cf897,n424,X1
ne671fa5c755fc79f,n425,X1
nf8e9818d3c41b6f5,n426,X1
