element_id,tag,carrier,host_or_staff
n1--slur--start--1,slur,stamp,n1
md-1-0-1-1,dynamics,md,1
md-1-0-1-2,words,md,1
n6--slur--stop--1,slur,stamp,n6
n6--staccato--1,staccato,derive,n6
n8--slur--start--1,slur,stamp,n8
n19--slur--stop--1,slur,stamp,n19
n19--staccato--1,staccato,derive,n19
n21--slur--start--1,slur,stamp,n21
n46--slur--stop--1,slur,stamp,n46
n47--staccato--1,staccato,derive,n47
n48--staccato--1,staccato,derive,n48
n56--slur--start--1,slur,stamp,n56
n58--slur--stop--1,slur,stamp,n58
n58--staccato--1,staccato,derive,n58
n59--staccato--1,staccato,derive,n59
n61--staccato--1,staccato,derive,n61
n63--staccato--1,staccato,derive,n63
n72--slur--start--1,slur,stamp,n72
n74--slur--stop--1,slur,stamp,n74
n74--staccato--1,staccato,derive,n74
n75--staccato--1,staccato,derive,n75
n77--staccato--1,staccato,derive,n77
n79--staccato--1,staccato,derive,n79
n88--slur--start--1,slur,stamp,n88
n90--slur--stop--1,slur,stamp,n90
n90--staccato--1,staccato,derive,n90
n91--staccato--1,staccato,derive,n91
n93--staccato--1,staccato,derive,n93
n95--staccato--1,staccato,derive,n95
n104--staccato--1,staccato,derive,n104
n106--staccato--1,staccato,derive,n106
md-1-9-1-1,dynamics,md,1
n109--staccato--1,staccato,derive,n109
n111--staccato--1,staccato,derive,n111
n113--slur--start--1,slur,stamp,n113
n121--slur--stop--1,slur,stamp,n121
n122--staccato--1,staccato,derive,n122
n124--staccato--1,staccato,derive,n124
md-1-11-1-1,dynamics,md,1
n130--staccato--1,staccato,derive,n130
n132--staccato--1,staccato,derive,n132
n134--slur--start--1,slur,stamp,n134
n142--slur--stop--1,slur,stamp,n142
n144--staccato--1,staccato,derive,n144
n146--staccato--1,staccato,derive,n146
md-1-13-1-1,dynamics,md,1
n150--staccato--1,staccato,derive,n150
n152--staccato--1,staccato,derive,n152
n154--slur--start--1,slur,stamp,n154
n162--slur--stop--1,slur,stamp,n162
n163--staccato--1,staccato,derive,n163
n165--staccato--1,staccato,derive,n165
md-1-15-1-1,dynamics,md,1
n171--staccato--1,staccato,derive,n171
n173--staccato--1,staccato,derive,n173
n175--slur--start--1,slur,stamp,n175
n183--slur--stop--1,slur,stamp,n183
n185--slur--start--1,slur,stamp,n185
md-1-17-1-1,dynamics,md,1
n191--slur--stop--1,slur,stamp,n191
n191--staccato--1,staccato,derive,n191
n193--slur--start--1,slur,stamp,n193
n204--slur--stop--1,slur,stamp,n204
n204--staccato--1,staccato,derive,n204
n206--slur--start--1,slur,stamp,n206
md-1-20-1-1,dynamics,md,1
n231--slur--stop--1,slur,stamp,n231
n232--staccato--1,staccato,derive,n232
n233--staccato--1,staccato,derive,n233
md-1-21-1-1,dynamics,md,1
md-1-21-1-2,dynamics,md,1
n241--staccato--1,staccato,derive,n241
n242--staccato--1,staccato,derive,n242
n243--staccato--1,staccato,derive,n243
n244--staccato--1,staccato,derive,n244
n251--staccato--1,staccato,derive,n251
n252--staccato--1,staccato,derive,n252
n253--staccato--1,staccato,derive,n253
n254--staccato--1,staccato,derive,n254
n262--slur--start--1,slur,stamp,n262
n279--slur--stop--1,slur,stamp,n279
md-1-26-1-1,dynamics,md,1
n293--slur--start--1,slur,stamp,n293
n296--slur--stop--1,slur,stamp,n296
n308--slur--start--1,slur,stamp,n308
n311--slur--stop--1,slur,stamp,n311
n323--slur--start--1,slur,stamp,n323
n326--slur--stop--1,slur,stamp,n326
n328--slur--start--1,slur,stamp,n328
n331--slur--stop--1,slur,stamp,n331
n341--slur--start--1,slur,stamp,n341
n344--slur--stop--1,slur,stamp,n344
n354--slur--start--1,slur,stamp,n354
n357--slur--stop--1,slur,stamp,n357
n369--slur--start--1,slur,stamp,n369
n372--slur--stop--1,slur,stamp,n372
n384--slur--start--1,slur,stamp,n384
n387--slur--stop--1,slur,stamp,n387
n389--slur--start--1,slur,stamp,n389
n392--slur--stop--1,slur,stamp,n392
n397--slur--start--1,slur,stamp,n397
md-1-35-1-1,dynamics,md,1
md-1-38-1-1,wedge,md,1
md-1-38-1-2,wedge,md,1
md-1-39-1-1,wedge,md,1
md-1-39-1-2,wedge,md,1
n507--slur--stop--1,slur,stamp,n507
n510--slur--start--1,slur,stamp,n510
n513--slur--stop--1,slur,stamp,n513
md-1-44-1-1,dynamics,md,1
n515--slur--start--1,slur,stamp,n515
n522--slur--stop--1,slur,stamp,n522
n530--slur--start--1,slur,stamp,n530
n537--slur--stop--1,slur,stamp,n537
n544--slur--start--1,slur,stamp,n544
n560--slur--stop--1,slur,stamp,n560
n561--slur--start--1,slur,stamp,n561
n564--slur--stop--1,slur,stamp,n564
n572--slur--start--1,slur,stamp,n572
n579--slur--stop--1,slur,stamp,n579
