element_id,original_id,tag,carrier,host_or_staff
md-1-1-1-1,,words,md,1
md-1-1-2-1,,dynamics,md,2
md-1-2-1-1,,words,md,1
md-1-2-1-2,,words,md,1
md-1-3-1-1,,words,md,1
md-1-3-1-2,,words,md,1
md-1-3-1-3,,words,md,1
n80--slur--start--1,,slur,stamp,n80
n82--slur--stop--1,,slur,stamp,n82
n82--slur--start--2,,slur,stamp,n82
n83--slur--stop--1,,slur,stamp,n83
md-1-5-2-1,,dynamics,md,2
md-1-5-2-2,,dynamics,md,2
md-1-6-1-1,,dynamics,md,1
md-1-7-1-1,,dynamics,md,1
n179--slur--start--1,,slur,stamp,n179
n180--slur--stop--1,,slur,stamp,n180
n181--slur--start--1,,slur,stamp,n181
n182--slur--stop--1,,slur,stamp,n182
md-1-11-2-1,,dynamics,md,2
md-1-11-2-2,,dynamics,md,2
n183--slur--start--1,,slur,stamp,n183
n184--slur--stop--1,,slur,stamp,n184
n187--slur--start--1,,slur,stamp,n187
n188--slur--stop--1,,slur,stamp,n188
md-1-12-1-1,,dynamics,md,1
n197--slur--start--1,,slur,stamp,n197
n198--slur--stop--1,,slur,stamp,n198
n202--slur--start--1,,slur,stamp,n202
n205--slur--stop--1,,slur,stamp,n205
md-1-13-1-1,,dynamics,md,1
n213--slur--start--1,,slur,stamp,n213
n218--slur--stop--1,,slur,stamp,n218
md-1-14-1-1,,dynamics,md,1
n229--slur--start--1,,slur,stamp,n229
n230--tie--1,,tie,derive,n230
n230--tied--start--1,,tied,stamp,n230
n230--slur--stop--1,,slur,stamp,n230
n231--tie--1,,tie,derive,n231
n231--tied--stop--1,,tied,stamp,n231
n232--staccato--1,,staccato,derive,n232
n233--staccato--1,,staccato,derive,n233
md-1-15-1-1,,words,md,1
n245--slur--start--1,,slur,stamp,n245
n246--slur--stop--1,,slur,stamp,n246
n259--slur--start--1,,slur,stamp,n259
n260--tie--1,,tie,derive,n260
n260--tied--start--1,,tied,stamp,n260
n260--slur--stop--1,,slur,stamp,n260
n261--tie--1,,tie,derive,n261
n261--tied--stop--1,,tied,stamp,n261
n262--staccato--1,,staccato,derive,n262
n263--staccato--1,,staccato,derive,n263
n275--slur--start--1,,slur,stamp,n275
n276--slur--stop--1,,slur,stamp,n276
n290--slur--start--1,,slur,stamp,n290
n291--tie--1,,tie,derive,n291
n291--tied--start--1,,tied,stamp,n291
n291--slur--stop--1,,slur,stamp,n291
n292--tie--1,,tie,derive,n292
n292--tied--stop--1,,tied,stamp,n292
n293--staccato--1,,staccato,derive,n293
n294--staccato--1,,staccato,derive,n294
n307--tie--1,,tie,derive,n307
n307--tied--start--1,,tied,stamp,n307
n308--tie--1,,tie,derive,n308
n308--tied--stop--1,,tied,stamp,n308
n309--tie--1,,tie,derive,n309
n309--tied--start--1,,tied,stamp,n309
md-1-20-1-1,,dynamics,md,1
md-1-20-1-2,,dynamics,md,1
n321--tie--1,,tie,derive,n321
n321--tied--stop--1,,tied,stamp,n321
n322--tie--1,,tie,derive,n322
n322--tied--start--1,,tied,stamp,n322
n323--tie--1,,tie,derive,n323
n323--tied--stop--1,,tied,stamp,n323
md-1-21-1-1,,dynamics,md,1
n338--slur--start--1,,slur,stamp,n338
n339--slur--stop--1,,slur,stamp,n339
n340--staccato--1,,staccato,derive,n340
n341--staccato--1,,staccato,derive,n341
n346--slur--start--1,,slur,stamp,n346
n347--slur--stop--1,,slur,stamp,n347
n348--staccato--1,,staccato,derive,n348
n349--staccato--1,,staccato,derive,n349
md-1-22-1-1,,dynamics,md,1
n350--staccato--1,,staccato,derive,n350
n351--staccato--1,,staccato,derive,n351
n352--staccato--1,,staccato,derive,n352
n353--staccato--1,,staccato,derive,n353
n354--staccato--1,,staccato,derive,n354
n355--staccato--1,,staccato,derive,n355
n356--staccato--1,,staccato,derive,n356
n357--staccato--1,,staccato,derive,n357
n358--staccato--1,,staccato,derive,n358
n359--staccato--1,,staccato,derive,n359
n360--staccato--1,,staccato,derive,n360
n361--staccato--1,,staccato,derive,n361
n362--tie--1,,tie,derive,n362
n362--tied--start--1,,tied,stamp,n362
n363--tie--1,,tie,derive,n363
n363--tied--stop--1,,tied,stamp,n363
n364--slur--start--1,,slur,stamp,n364
n367--slur--stop--1,,slur,stamp,n367
n370--slur--start--1,,slur,stamp,n370
n370--slur--start--2,,slur,stamp,n370
n374--staccato--1,,staccato,derive,n374
n375--staccato--1,,staccato,derive,n375
n376--staccato--1,,staccato,derive,n376
n377--slur--start--1,,slur,stamp,n377
n379--slur--stop--1,,slur,stamp,n379
n381--slur--stop--1,,slur,stamp,n381
n381--slur--stop--2,,slur,stamp,n381
n386--slur--start--1,,slur,stamp,n386
n387--slur--stop--1,,slur,stamp,n387
md-1-25-1-1,,dynamics,md,1
n388--slur--start--1,,slur,stamp,n388
n390--slur--stop--1,,slur,stamp,n390
n394--tie--1,,tie,derive,n394
n394--tied--start--1,,tied,stamp,n394
n395--tie--1,,tie,derive,n395
n395--tied--stop--1,,tied,stamp,n395
n400--slur--start--1,,slur,stamp,n400
n401--slur--stop--1,,slur,stamp,n401
n402--staccato--1,,staccato,derive,n402
n403--staccato--1,,staccato,derive,n403
n408--slur--start--1,,slur,stamp,n408
n409--slur--stop--1,,slur,stamp,n409
n410--staccato--1,,staccato,derive,n410
n411--staccato--1,,staccato,derive,n411
md-1-27-1-1,,dynamics,md,1
n414--staccato--1,,staccato,derive,n414
n415--staccato--1,,staccato,derive,n415
n416--staccato--1,,staccato,derive,n416
n417--staccato--1,,staccato,derive,n417
n418--staccato--1,,staccato,derive,n418
n419--staccato--1,,staccato,derive,n419
n422--staccato--1,,staccato,derive,n422
n423--staccato--1,,staccato,derive,n423
n424--staccato--1,,staccato,derive,n424
n425--staccato--1,,staccato,derive,n425
n426--staccato--1,,staccato,derive,n426
n427--staccato--1,,staccato,derive,n427
n430--tie--1,,tie,derive,n430
n430--tied--start--1,,tied,stamp,n430
n431--tie--1,,tie,derive,n431
n431--tied--stop--1,,tied,stamp,n431
n432--slur--start--1,,slur,stamp,n432
n435--slur--stop--1,,slur,stamp,n435
n440--slur--start--1,,slur,stamp,n440
n440--slur--start--2,,slur,stamp,n440
n448--slur--start--1,,slur,stamp,n448
n450--slur--stop--1,,slur,stamp,n450
n453--slur--start--1,,slur,stamp,n453
n455--slur--stop--1,,slur,stamp,n455
n460--slur--stop--1,,slur,stamp,n460
n460--slur--stop--2,,slur,stamp,n460
n473--slur--start--1,,slur,stamp,n473
n474--slur--stop--1,,slur,stamp,n474
n474--slur--start--2,,slur,stamp,n474
n475--slur--stop--1,,slur,stamp,n475
n479--slur--start--1,,slur,stamp,n479
n480--slur--stop--1,,slur,stamp,n480
md-1-31-1-1,,dynamics,md,1
n482--slur--start--1,,slur,stamp,n482
n483--slur--stop--1,,slur,stamp,n483
n484--slur--start--1,,slur,stamp,n484
n486--slur--stop--1,,slur,stamp,n486
md-1-32-1-1,,words,md,1
n497--slur--start--1,,slur,stamp,n497
n502--slur--stop--1,,slur,stamp,n502
n513--slur--start--1,,slur,stamp,n513
n518--slur--stop--1,,slur,stamp,n518
md-1-34-1-1,,dynamics,md,1
n529--slur--start--1,,slur,stamp,n529
n531--slur--stop--1,,slur,stamp,n531
n537--tie--1,,tie,derive,n537
n537--tied--start--1,,tied,stamp,n537
n538--tie--1,,tie,derive,n538
n538--tied--start--1,,tied,stamp,n538
n539--tie--1,,tie,derive,n539
n539--tied--stop--1,,tied,stamp,n539
n540--tie--1,,tie,derive,n540
n540--tied--stop--1,,tied,stamp,n540
md-1-36-1-1,,dynamics,md,1
n615--slur--start--1,,slur,stamp,n615
n617--slur--stop--1,,slur,stamp,n617
n618--slur--start--1,,slur,stamp,n618
n620--slur--stop--1,,slur,stamp,n620
