element_id,original_id,tag,carrier,host_or_staff
n7005d4d981d6018d--slur--start--1,n1--slur--start--1,slur,stamp,n7005d4d981d6018d
nb1fe1d841d164a42--slur--stop--1,n6--slur--stop--1,slur,stamp,nb1fe1d841d164a42
nac10d6e7b08a1f4b--slur--start--1,n7--slur--start--1,slur,stamp,nac10d6e7b08a1f4b
n0492a10c66216e08--slur--stop--1,n17--slur--stop--1,slur,stamp,n0492a10c66216e08
e6862ca45a6b63264,md-1-1-1-2,dynamics,md,1
e245aec0c2990dd8f,md-1-1-1-3,words,md,1
eb062e038137b26ac,md-1-1-2-1,dynamics,md,2
nb5e20d607ebd9d72--slur--start--1,n20--slur--start--1,slur,stamp,nb5e20d607ebd9d72
n0e110b1c079fbf0a--slur--stop--1,n22--slur--stop--1,slur,stamp,n0e110b1c079fbf0a
naebcba789a222154--slur--start--1,n24--slur--start--1,slur,stamp,naebcba789a222154
n862ec1d2d3e811c9--slur--stop--1,n26--slur--stop--1,slur,stamp,n862ec1d2d3e811c9
n7e560098296c1d6d--slur--start--1,n28--slur--start--1,slur,stamp,n7e560098296c1d6d
nacdd960bf9777d40--slur--stop--1,n29--slur--stop--1,slur,stamp,nacdd960bf9777d40
e88c955bf25e77492,md-1-2-1-1,words,md,1
ec60092de798b71f1,md-1-2-1-2,words,md,1
ec9e7b903848a1b3b,md-1-2-1-3,words,md,1
e3378b3c0884276c8,md-1-2-1-4,words,md,1
e5e66360bc70f32ba,md-1-2-1-5,words,md,1
ecdba05b9a9c9d616,md-1-2-1-6,dynamics,md,1
nab3cda3a1be35474--slur--start--1,n35--slur--start--1,slur,stamp,nab3cda3a1be35474
nadc06dba91c6a2f6--slur--stop--1,n36--slur--stop--1,slur,stamp,nadc06dba91c6a2f6
n8b5d67b02db8cf16--turn--1,,turn,derive,n8b5d67b02db8cf16
n277703b6faab2817--slur--start--1,n39--slur--start--1,slur,stamp,n277703b6faab2817
nc760298ca26086e4--slur--stop--1,n40--slur--stop--1,slur,stamp,nc760298ca26086e4
n8de19dee2c86b88b--slur--start--1,n41--slur--start--1,slur,stamp,n8de19dee2c86b88b
na4873fa3d49a375c--slur--stop--1,n43--slur--stop--1,slur,stamp,na4873fa3d49a375c
n6c4084c6f4b54d11--slur--start--1,n49--slur--start--1,slur,stamp,n6c4084c6f4b54d11
nc6873332d446372d--slur--stop--1,n51--slur--stop--1,slur,stamp,nc6873332d446372d
e7a92dc7d94291c14,md-1-3-1-1,dynamics,md,1
edfd0a4483a8b2d14,md-1-3-2-1,dynamics,md,2
n5b2270c4cd750c1b--slur--start--1,n54--slur--start--1,slur,stamp,n5b2270c4cd750c1b
n712147236f8adfd5--slur--stop--1,n56--slur--stop--1,slur,stamp,n712147236f8adfd5
n47b84d3260e9179c--slur--start--1,n58--slur--start--1,slur,stamp,n47b84d3260e9179c
n8a463a1434dbdb04--slur--stop--1,n60--slur--stop--1,slur,stamp,n8a463a1434dbdb04
n1ac2115003d06e61--slur--start--1,n62--slur--start--1,slur,stamp,n1ac2115003d06e61
n72c861994f171bba--slur--stop--1,n63--slur--stop--1,slur,stamp,n72c861994f171bba
nda783d6998bd382e--slur--start--1,n64--slur--start--1,slur,stamp,nda783d6998bd382e
