note_id,original_id,printed_bar
n7005d4d981d6018d,n1,1
n85c49cefee088f1a,n2,1
nab951ae5ec7852b5,n3,1
nd45456c8cdbba521,n4,1
n9c893503df1278ae,n5,1
nb1fe1d841d164a42,n6,1
nac10d6e7b08a1f4b,n7,1
nda48f0a881405d88,n8,1
n4af7c61e87b095a8,n9,1
n487744fcc4b47850,n10,1
n8fc2a37fb4da15af,n11,1
n220c9bf5ff610d7d,n12,1
n2cdc9dd33b10ff7d,n13,1
nce5387cc4dc2e4e6,n14,1
n90444b7cc73bfa73,n15,1
ne681278aebc545bc,n16,1
n0492a10c66216e08,n17,1
nae6fec32be5a0499,n18,1
n755ac5c42570da7d,n19,2
n0bc7273135f431a4,r1,2
nb5e20d607ebd9d72,n20,2
ncac36fae67cf16a6,n21,2
n0e110b1c079fbf0a,n22,2
neeb13442b64488ee,n23,2
naa69b321c9a5cd13,r2,2
naebcba789a222154,n24,2
nbae4d85cbc984d15,n25,2
n862ec1d2d3e811c9,n26,2
n28ca5546dee442bc,n27,2
n5e1ec132672b03ff,r3,2
n7e73af2982d29453,r4,2
necbc3c326b153905,r5,2
n7e560098296c1d6d,n28,2
nacdd960bf9777d40,n29,2
nb54dc7abddf7d7ba,r6,2
n750b7a5588ab3db6,n30,2
n7d2942f2f8c429ed,n31,2
nfb93b86ba647af58,r7,2
nf791bed87ed2611e,r8,2
nb5da92dd0147e4cc,n32,2
n12304bc6d38083fb,n33,2
n48056107b26ca97b,n34,2
nab3cda3a1be35474,n35,3
nadc06dba91c6a2f6,n36,3
n8b5d67b02db8cf16,n37,3
na4b51eb1a35860ad,n38,3
n277703b6faab2817,n39,3
nc760298ca26086e4,n40,3
n8de19dee2c86b88b,n41,3
n028681143e0dd1ee,n42,3
na4873fa3d49a375c,n43,3
neac5eac9024549ef,n44,3
nf5c13e1d9aaaf2e1,n45,3
n0db29dfa5507657d,n46,3
n0d2a6c204a9716c6,n47,3
nf383c6f5c9f792b9,n48,3
n6c4084c6f4b54d11,n49,3
ncab6cf1d09fa827c,n50,3
nc6873332d446372d,n51,3
ncdc2bd026e922046,n52,3
n05c3493bbc100e87,n53,4
nf125b7771bf02b0c,r9,4
n5b2270c4cd750c1b,n54,4
n7d2b5c1a74c3c022,n55,4
n712147236f8adfd5,n56,4
n5e6880f1b15e9021,n57,4
nb1bd9c6c2a8936c7,r10,4
n47b84d3260e9179c,n58,4
ne675073df28de35e,n59,4
n8a463a1434dbdb04,n60,4
nbaef43f13b11c954,n61,4
nf93df451dc69d766,r11,4
n839561be0d85dbb3,r12,4
ndb002cc0fcee09c7,r13,4
n1ac2115003d06e61,n62,4
n72c861994f171bba,n63,4
ne4e52f7d1d3b16fe,r14,4
nda783d6998bd382e,n64,4
n61bae57e0f53c3ac,n65,4
n787424f6e4bd4f74,r15,4
n94b3d152c8909140,r16,4
n059ee0020aa9b474,n66,4
n2e21da858ab5ff77,n67,4
na7162275765a331c,n68,4
n63a10ceabbf559bc,n69,5
nf2abbcebf96f3711,n70,5
n293fc44d0a4c2239,n71,5
naa668d9e2732538d,n72,5
naf8e2e6ae5307500,n73,5
n93c7f905953afcbd,n74,5
n8b088f503df2bd75,n75,5
nb60b8b60dfefc8b1,n76,5
n0084eabb005300c7,n77,5
n84056ea11c8910ca,n78,5
n18c7a23dc2205aae,n79,5
n4423db24577b8f42,n80,5
nf442b0ab974c645a,n81,5
n81bbb75c40972ffd,n82,5
naf242fc2563db464,n83,5
n21d1cb2eb59685ba,n84,5
n48b1f48488ba08a7,n85,5
n875c028c4e06d484,n86,6
nc53ecb8d08b5d3aa,n87,6
nb2374a70c506c57c,n88,6
n1bc5fc287e1f446f,n89,6
neda68da1d94bab2a,n90,6
n60f531f5f4937551,n91,6
nd0bcd7e286c48bfc,n92,6
ne8dacca2343242d1,n93,6
n804ab748567bbf64,n94,6
n4009f5c77c77b01e,n95,6
nc28758e3d2d7df70,n96,6
nfc0b82bb8643b32c,n97,6
n33644bdb7b429cd2,n98,6
nd9d22eceaa41e311,n99,6
n98c388906ad87ecc,n100,6
n19a01fee26149072,n101,6
n603fd9eb6bd014a5,n102,6
n3ecd2fec8f6c46cb,n103,6
n61407aa3358fd84e,n104,6
n719dbd5c55ae3f59,n105,6
n5449d65b4f9aa6ed,n106,6
na8b81c5437d8f58d,n107,6
nd655cf73ddf3033c,n108,7
n61de40705b88efec,n109,7
n72e3589e0fecafd0,n110,7
nf2be0f45fb5af296,n111,7
nd8f9fe2e13c58562,n112,7
ndf7004fea2c3f2e2,n113,7
n9355a633af3b0ed5,n114,7
n1999e6769e62c98b,n115,7
nc38613e6dc45865b,n116,7
ndf2929bd63441b6f,n117,7
n592ab5b7b3accb5f,n118,7
n42f108a697ddafdf,n119,7
nd3eaf0349180494c,n120,7
n035b4f921257906f,n121,7
n917c76532be21fbc,n122,7
n3a87e303e80c07b0,n123,7
n4800369b417d0cac,n124,7
nc21193cd902547a6,n125,7
na51696279d7190c6,n126,7
n9a0b14bd900f0202,n127,7
n659f09fae726c680,n128,7
n0223539b6c7995bd,n129,7
na449942263be4c85,n130,8
n2e163b42dd366bf3,n131,8
n50d89578a8b22611,n132,8
n557a911c710ec643,n133,8
n4f8bc89d58b7f90e,n134,8
n821ffeb10f0b34e5,n135,8
n8c6973aacd8355c7,n136,8
n15450aa97be13832,n137,8
n0f350f18024d4852,n138,8
ne18cfab5e929935d,n139,8
nb49dc3fcee320164,n140,8
n51fe696d38ba3347,n141,8
nac645971e633d1d1,n142,8
n349730b4db527851,n143,8
n8d0c174127fcb955,n144,8
nbe7f203b6baf5820,n145,8
n75f3fdd124e4e938,n146,8
n33f4729d8d5aec71,n147,8
nceff19223f9e72ed,n148,8
n78708fe585a304c0,n149,8
n3c723597e38fac56,n150,8
nf2b08ea4a56b9957,n151,8
n88a1fab79afec35d,n152,9
ncfca805d5bf914f9,n153,9
n0191a51de2f088b3,n154,9
n9d5eb1cf854db073,n155,9
