element_id,original_id,tag,carrier,host_or_staff
md-1-1-1-1,,dynamics,md,1
md-1-1-1-2,,words,md,1
n81--accent--1,,accent,derive,n81
n105--accent--1,,accent,derive,n105
n129--accent--1,,accent,derive,n129
n169--accent--1,,accent,derive,n169
n193--accent--1,,accent,derive,n193
n217--accent--1,,accent,derive,n217
n243--accent--1,,accent,derive,n243
md-1-12-1-1,,dynamics,md,1
n257--accent--1,,accent,derive,n257
n259--accent--1,,accent,derive,n259
md-1-13-1-1,,dynamics,md,1
n277--accent--1,,accent,derive,n277
md-1-14-1-1,,dynamics,md,1
n299--accent--1,,accent,derive,n299
md-1-15-1-1,,words,md,1
n319--accent--1,,accent,derive,n319
md-1-16-1-1,,dynamics,md,1
n340--accent--1,,accent,derive,n340
n388--accent--1,,accent,derive,n388
n440--accent--1,,accent,derive,n440
md-1-24-1-1,,words,md,1
md-1-24-1-2,,words,md,1
md-1-26-1-1,,words,md,1
md-1-27-1-1,,wedge,md,1
md-1-28-1-1,,wedge,md,1
md-1-28-1-2,,dynamics,md,1
md-1-30-1-1,,words,md,1
md-1-31-1-1,,wedge,md,1
md-1-32-1-1,,wedge,md,1
md-1-32-1-2,,dynamics,md,1
n612--slur--start--1,,slur,stamp,n612
n613--slur--stop--1,,slur,stamp,n613
n625--slur--start--1,,slur,stamp,n625
n626--slur--stop--1,,slur,stamp,n626
n638--slur--start--1,,slur,stamp,n638
n639--slur--stop--1,,slur,stamp,n639
n640--slur--start--1,,slur,stamp,n640
n641--slur--stop--1,,slur,stamp,n641
n642--slur--start--1,,slur,stamp,n642
n643--slur--stop--1,,slur,stamp,n643
n644--slur--start--1,,slur,stamp,n644
n645--slur--stop--1,,slur,stamp,n645
n649--tie--1,,tie,derive,n649
n649--tied--start--1,,tied,stamp,n649
n649--accent--1,,accent,derive,n649
n650--tie--1,,tie,derive,n650
n650--tied--start--1,,tied,stamp,n650
n651--tie--1,,tie,derive,n651
n651--tied--start--1,,tied,stamp,n651
n652--tie--1,,tie,derive,n652
