note_id,original_id,printed_bar
n2e394960386191b1,n1,1
nb7f4757287a420f7,n2,1
n1319d3a782f19972,n3,1
n305e2c5a98fe8c38,n4,1
nd351c915ba7c343e,n5,1
n73dcc0ab01a61810,n6,1
nc7b87604a7fc3d5e,n7,1
n1574a6a2d247acaf,n8,1
n2690ccded3d24dcb,n9,1
n4eed9785d49745d1,n10,1
n18cf70546a148cea,n11,1
n8d3b3da0201a1d3a,n12,1
nf7bb3aea2a61ee7c,n13,1
ncfed1f975c7a78bf,n14,1
n687ce41a60488e17,n15,1
nc7a44ef54030a51b,n16,1
n260eb423a0bea019,n17,1
n493a3e5b6d8abe6b,n18,1
nd567228082f55348,n19,1
n0e7be3fda908fcd5,n20,1
na81a98a1e3ecf46c,n21,2
naa69b321c9a5cd13,n22,2
nc0461a403058f2d3,n23,2
n5e1ec132672b03ff,n24,2
n7414c0c9308c82d0,n25,2
nb54dc7abddf7d7ba,n26,2
n8e7b21d641ad41ea,n27,2
nfb93b86ba647af58,n28,2
n6a805e357afc0f48,n29,2
n6a044d8e0d0e5e9b,n30,2
n7181c4d6805aa330,n31,2
n2ee64ebe7605207a,n32,2
na8c864fe587acd8c,n33,2
n217c8da7b81780a2,n34,2
n20a1acb2e113eab3,n35,2
n776b3ad1532d7b7c,n36,2
nf24a28bdd9c02c1f,n37,2
n9181cb2db321bbb0,n38,2
n6015c0d8693d034f,n39,2
nb1d9fa10f6f85138,n40,2
n2c58773a87918ec8,n41,3
n5d21e103951cfea7,n42,3
n958f1b0f6b2651d4,n43,3
n3929c6ae69944259,n44,3
nbb677baab36c5aca,n45,3
n5978be2f9ee08558,n46,3
nc20d476cf99e8932,n47,3
nc4426c43b9d5efa1,n48,3
n4f7e3de695ff288f,n49,3
ne40731acaeee7283,n50,3
n93aeefbb41279e94,n51,3
nba10a77d22539bf6,n52,3
n746a8da83dd6571b,n53,3
n170fffc7a0954da0,n54,3
n5b5cda886417fd32,n55,3
ne7338067c5281453,n56,3
na3658f21398f6fbb,n57,3
n015de6fa8424da6c,n58,3
ne877703b64351134,n59,3
ned9ab8d4f1afd028,n60,3
n8db92e93c6af9c41,n61,4
nb1bd9c6c2a8936c7,n62,4
n898f6a8d099607ed,n63,4
nf93df451dc69d766,n64,4
n225d9e406e6c0617,n65,4
ne4e52f7d1d3b16fe,n66,4
n6a89fe17de067bcb,n67,4
n787424f6e4bd4f74,n68,4
n37ff6f71c22588fc,n69,4
ne0b0027a45d240b5,n70,4
n8233af613c149a26,n71,4
n5483ca4c2fee55d4,n72,4
nd0721f4aa86a604b,n73,4
naa5c529aa3fa1050,n74,4
n966e401f35376228,n75,4
n4d5de4c0ec413f5e,n76,4
n0511407024bd8c65,n77,4
n3e8ae1d0cb5d3f07,n78,4
ne74019bdd478c378,n79,4
n828fe5407bea87de,n80,4
nd0537b3dd6a988bc,n81,5
nd9f0e64f3f0e168b,n82,5
nb87f4a9c2c719e0d,n83,5
n4f86f5018c6b9887,n84,5
n340050f9c2ca67b3,n85,5
nb269b8224d486217,n86,5
ne3641512aae7b190,n87,5
nd17d2b7d4b20300e,n88,5
nc1cf621791c83ee4,n89,5
ncf11d6d04043089f,n90,5
n061f9990e544a2d2,n91,5
nd6da6b1785004fdd,n92,5
nc6c00f64fd8eb4fa,n93,5
nf88b8c6f1f32b4a8,n94,5
n53bde3a37c341eca,n95,5
n69f24bf85ba2b8ef,n96,5
n7ddbf93b056d18ca,n97,5
n64006259a6b5cbda,n98,5
n7e6df2dfe6f0e7ae,n99,5
nbcf06bd54285b864,n100,5
nac266234276cf1a4,n101,5
naf12463b0e96e62c,n102,5
nb6d6eb4ce6cb80bc,n103,5
n42c6ac528f024cf2,n104,5
na0d6f0196663c376,n105,6
n33644bdb7b429cd2,n106,6
n77e80f4f3913176c,n107,6
nfe0933525f445406,n108,6
n603fd9eb6bd014a5,n109,6
nb9114c2626d22a5c,n110,6
nc7ad94d1e07af300,n111,6
n5449d65b4f9aa6ed,n112,6
n0a8779ea4e336992,n113,6
nfa831f4cc6fdece4,n114,6
nd7c0aa082d5ea6c6,n115,6
ne965fde7dbee9643,n116,6
nfdbc83ae413fbcbe,n117,6
nfcb694a161ef936b,n118,6
na3d7dc7dcbe22da5,n119,6
ncd27c5537a56d88d,n120,6
n87a3ef0e9f112ae0,n121,6
n7a7486fe4310ab53,n122,6
n7cde42170596d5ac,n123,6
n458e33bb34f59df4,n124,6
n9ba05dffd1048f3b,n125,6
n67261681fcaee61c,n126,6
n57bb0e3dda5ee6f7,n127,6
n3dc8888624c473d5,n128,6
nd3eaf0349180494c,n129,7
n7d8801e827000a71,n130,7
n4800369b417d0cac,n131,7
n3f030872b6145d08,n132,7
n659f09fae726c680,n133,7
nb531f0fd6f10dc0e,n134,7
n84b1a326ca98ebf0,n135,7
nf7a4c6bdd5b3e135,n136,7
n6785bdbc4ea9d260,n137,7
na4f629ed8be1b5bc,n138,7
naa7122afe08660f8,n139,7
n8964113489fdf576,n140,7
neb383c6a9a859ece,n141,7
n96ee100a17487fd7,n142,7
n46ff0a0007fd5c76,n143,7
n703fbb41dd0c76f2,n144,7
n70f5e4ff03fbadeb,n145,7
nef22c508707ea185,n146,7
n9c5ce1ff9ef98a26,n147,7
n28aff9c904862598,n148,7
ndf0dc2d240460266,n149,8
n5c7d9cc234a04dd4,n150,8
n976e2da15dc2978a,n151,8
n6c053f347f92bb61,n152,8
n44555c77931f7f4e,n153,8
nd262999226c97377,n154,8
n174cb9a51a083dc7,n155,8
nc89a245d8bd50846,n156,8
n270db52e24d0fbef,n157,8
nc6f0795c8274a3e2,n158,8
ncaa63ac0b50cc123,n159,8
n25e50083b6a6a3c4,n160,8
n1fe6fdf370b523a0,n161,8
nb96a541284a68637,n162,8
nb67d0f5dfdb1c41a,n163,8
n536d19e46f27ce18,n164,8
ne40cb0b6b2670ecd,n165,8
n37ca68ad363ff055,n166,8
n82f90eb012e695b9,n167,8
n54ac437dc59487c9,n168,8
na4dbdcfbbc1626ee,n169,9
n86afa207d8d75f21,n170,9
n4795f7216106f574,n171,9
nc8b977051da6efc9,n172,9
n41ae18c16a6154be,n173,9
na1d290c8b246d132,n174,9
nddd466ba1ad762a6,n175,9
n2fa9ed47b83f7df2,n176,9
ncc26aa43d8a9e4a4,n177,9
nd98eedb21caee4e3,n178,9
nae3e90b96c2b3882,n179,9
nee552ec8aaa02ee2,n180,9
nf3ac7f0959a3cc9b,n181,9
nc196540052111da9,n182,9
nddf69489b31e4fba,n183,9
na6f60dd726e90464,n184,9
n612dddda12aaf56a,n185,9
n0fb8b56e996e6019,n186,9
n04326053572faad6,n187,9
nf0d9b69e8a0a9eba,n188,9
n8a565ee3cf40faba,n189,9
nc241836323424549,n190,9
nc1b61daacd30bafd,n191,9
n7f6ee25431e72993,n192,9
n981151851afc4e86,n193,10
ncd720e36a8397352,n194,10
n42bd4a5621e2ad98,n195,10
n6aee3645d31bd63c,r1,10
n04e718cac7e2143a,n196,10
ndf8d1f71361a63be,n197,10
n5c485e639a798328,n198,10
nb59817eb7b0e511d,r2,10
nd9364940c6b60438,n199,10
n7a729919064336a8,n200,10
n3e5d4c9c8d5c7e8d,n201,10
n0e410ff89e835502,r3,10
n635d4b24d95e69d7,n202,10
n88b6d101394c0d4e,n203,10
ne8754eb9c1411ca4,n204,10
n33301ec67c9f0c32,n205,10
n5339a6e420ae028a,n206,10
nec0e033f7caffe3b,n207,10
n47d54e9edf85bc36,n208,10
n8acf8afb8fef27d2,n209,10
na9517a6688982436,n210,10
n4267988df3bee035,n211,10
n567073ef2ac8b657,n212,10
naab593e6ca3758dd,n213,10
n3f0ba970bc82eca4,n214,10
n243e2130f74159c9,n215,10
nb0568cdeca677cfa,n216,10
nd3468868728b5ddd,n217,11
n4cfe99051370d73c,n218,11
ne8ebf6691c6c58ca,n219,11
n693b90e64978ddc6,n220,11
na2ffda9995b8bc60,n221,11
n5341add782bea573,n222,11
n7fd0f3b9456259ad,n223,11
ne29296e9da15f336,n224,11
ne1f6d332f7613415,n225,11
n1f8b628f91c8aac4,n226,11
ncf8f7caa80055d8f,n227,11
n295baff58e5789e0,n228,11
nc796c8c922eb5f3e,n229,11
n9e5ae06b20c9f320,n230,11
n4bb692c90917c0e5,n231,11
n8a9f5d8bb1228333,n232,11
n2ef1ebcaeadec6ba,n233,11
nb1ec0ede5e719c1d,n234,11
ne8cd5967fb332fde,n235,11
n433f024b4040c638,n236,11
nc23e5bf687d89fd0,n237,12
n62f750d18324ec9f,n238,12
n79c917c8d04551d9,n239,12
n4f816885f6ac4133,n240,12
nf50c29d8b4cf4a65,n241,12
ne374413f5f955c0a,n242,12
n721f72f897064a8f,n243,12
nfcbd6e64ce92da47,n244,12
n8ae6a6471af7ecfb,n245,12
n7d55db78772cf7d9,n246,12
n561973b14647b7ab,n247,12
nb5a620d04b615bdb,n248,12
n475b5655dc90ade2,n249,12
n1de6635cb3cc300f,n250,12
ne3f5489e8e69ba56,n251,12
n0fbfdd2e8fa071d5,n252,12
n0a8e11e521dd8b55,n253,12
n5af7fe362284c508,n254,12
n8e26cc970942ea33,n255,12
n0aa6bb484b08b8fb,n256,12
n25813f45944a0255,n257,13
n019264ce8f96c3cf,n258,13
nde42687b68a9329d,n259,13
nc1bb12e2a00c4029,n260,13
nd7375b5ce37a8e43,n261,13
n234e2d619540d1bf,n262,13
n2643cc235c0b30e4,n263,13
n9a02d9ee3bffb009,n264,13
na7cee4b8c027ffba,n265,13
ne13fe601d99122b4,n266,13
n52f28089a4c8ee63,n267,13
nefb6d0e48edc2418,n268,13
ne78fa219511ef43e,n269,13
n29ed9a37af42ffc6,n270,13
n02f0462975a37672,n271,13
nc33537dceb4b51b6,n272,13
n11ae15a335a52cdf,n273,13
nb3b9d8badaf8b40c,n274,13
n4b1dd66536299172,n275,13
n6bc32753ce268ca1,n276,13
n1919d7451765cace,n277,14
ne58c17c72c5c545b,n278,14
n13e793c1d36ac382,n279,14
n94edce0505be8d6b,n280,14
n699dae3ad22f29d1,n281,14
n03d45c9a4d067551,n282,14
nf44171483add0b2a,n283,14
n6c03832c0ead45ec,n284,14
n37496308d200537b,n285,14
n36892aa6f2848bf5,n286,14
naa87199bf75b6896,n287,14
n04de5d49796fd495,n288,14
n481bf4cfa6329954,n289,14
n2c1812108189e62c,n290,14
ncd03fd95cd87c996,n291,14
n66068d18c9f93652,n292,14
n13d6fc8289372f23,n293,14
n528b2bb9f703ff92,n294,14
n1b587211af74d1cf,n295,14
nb667522ab59832c1,n296,14
nbdde12b1546a1467,n297,14
n487b20e48e4ded98,n298,14
n4960dbac759c07c2,n299,15
n1d235d1463b29bcc,n300,15
nd966c54cf09f9a2e,n301,15
nad5694afef9c51a5,n302,15
n5ddcfc65a2d99cd9,n303,15
