element_id,original_id,tag,carrier,host_or_staff
n328a6f88d8219602--tuplet--start--1,n3--tuplet--start--1,tuplet,stamp,n328a6f88d8219602
n328a6f88d8219602--slur--start--1,n3--slur--start--1,slur,stamp,n328a6f88d8219602
n9712c00b29d7600f--tuplet--stop--1,n5--tuplet--stop--1,tuplet,stamp,n9712c00b29d7600f
n72c5580e1551c237--tuplet--start--1,n6--tuplet--start--1,tuplet,stamp,n72c5580e1551c237
n5dd96603c90e8825--tuplet--stop--1,n8--tuplet--stop--1,tuplet,stamp,n5dd96603c90e8825
nabfb9ab928e8e951--tuplet--start--1,n9--tuplet--start--1,tuplet,stamp,nabfb9ab928e8e951
n56c987df15029392--tuplet--stop--1,n11--tuplet--stop--1,tuplet,stamp,n56c987df15029392
n56c987df15029392--slur--stop--1,n11--slur--stop--1,slur,stamp,n56c987df15029392
efbab39e8ae3912d5,md-1-1-1-1,words,md,1
e3abc2c7af74bcf7b,md-1-1-1-3,dynamics,md,1
n2b7ab5ce2be3b3dd--tuplet--start--1,n14--tuplet--start--1,tuplet,stamp,n2b7ab5ce2be3b3dd
n2b7ab5ce2be3b3dd--slur--start--1,n14--slur--start--1,slur,stamp,n2b7ab5ce2be3b3dd
ne1ce7806b6eb793c--tuplet--stop--1,n16--tuplet--stop--1,tuplet,stamp,ne1ce7806b6eb793c
nb5109c2dc92b023e--tuplet--start--1,n17--tuplet--start--1,tuplet,stamp,nb5109c2dc92b023e
nfc5f132198e37334--tuplet--stop--1,n19--tuplet--stop--1,tuplet,stamp,nfc5f132198e37334
nb7fa49dbb4c4c865--tuplet--start--1,n20--tuplet--start--1,tuplet,stamp,nb7fa49dbb4c4c865
nd483a37da882377e--tuplet--stop--1,n22--tuplet--stop--1,tuplet,stamp,nd483a37da882377e
nd483a37da882377e--slur--stop--1,n22--slur--stop--1,slur,stamp,nd483a37da882377e
n5503915b29d59f75--slur--start--1,n23--slur--start--1,slur,stamp,n5503915b29d59f75
n8d53bfbc7935dfd7--tuplet--start--1,n26--tuplet--start--1,tuplet,stamp,n8d53bfbc7935dfd7
nc3179f2d1e5d6bc4--slur--start--1,n27--slur--start--1,slur,stamp,nc3179f2d1e5d6bc4
n0a4ed5d30efbc111--tuplet--stop--1,n28--tuplet--stop--1,tuplet,stamp,n0a4ed5d30efbc111
n79bc37ecb91e5a0b--tuplet--start--1,n29--tuplet--start--1,tuplet,stamp,n79bc37ecb91e5a0b
n9259a4349ef855a3--tuplet--stop--1,n31--tuplet--stop--1,tuplet,stamp,n9259a4349ef855a3
n9259a4349ef855a3--slur--stop--1,n31--slur--stop--1,slur,stamp,n9259a4349ef855a3
n7e654cff449b6cf6--tuplet--start--1,n32--tuplet--start--1,tuplet,stamp,n7e654cff449b6cf6
nda66e966a095160d--slur--start--1,n33--slur--start--1,slur,stamp,nda66e966a095160d
nebe96e7cf97ba43b--tuplet--stop--1,n36--tuplet--stop--1,tuplet,stamp,nebe96e7cf97ba43b
nebe96e7cf97ba43b--slur--stop--1,n36--slur--stop--1,slur,stamp,nebe96e7cf97ba43b
e46772cd1efe8e54b,md-1-3-1-1,dynamics,md,1
e0c7628eeb8f617f5,md-1-3-1-2,words,md,1
ncf3a1305cd5b95a6--slur--stop--1,n37--slur--stop--1,slur,stamp,ncf3a1305cd5b95a6
nd8efe6abf29a1569--slur--start--1,n38--slur--start--1,slur,stamp,nd8efe6abf29a1569
nf125b7771bf02b0c--tuplet--start--1,n40--tuplet--start--1,tuplet,stamp,nf125b7771bf02b0c
na2166cf30c099e70--slur--start--1,n41--slur--start--1,slur,stamp,na2166cf30c099e70
n4e1e88548cd277ab--tuplet--stop--1,n42--tuplet--stop--1,tuplet,stamp,n4e1e88548cd277ab
n7951028019d2be00--tuplet--start--1,n43--tuplet--start--1,tuplet,stamp,n7951028019d2be00
n48b19286747b315e--tuplet--stop--1,n45--tuplet--stop--1,tuplet,stamp,n48b19286747b315e
n48b19286747b315e--slur--stop--1,n45--slur--stop--1,slur,stamp,n48b19286747b315e
ndb002cc0fcee09c7--tuplet--start--1,n46--tuplet--start--1,tuplet,stamp,ndb002cc0fcee09c7
nf683e27ddbe7529a--slur--start--1,n47--slur--start--1,slur,stamp,nf683e27ddbe7529a
n5351f6e6b82e4eb9--tuplet--stop--1,n49--tuplet--stop--1,tuplet,stamp,n5351f6e6b82e4eb9
n5351f6e6b82e4eb9--slur--stop--1,n49--slur--stop--1,slur,stamp,n5351f6e6b82e4eb9
