element_id,tag,carrier,host_or_staff
mn-1-1-1-1-3--slur--start--1,slur,stamp,mn-1-1-1-1-3
mn-1-1-5-2-2--slur--start--1,slur,stamp,mn-1-1-5-2-2
md-1-1-1-1,words,md,1
md-1-1-1-2,wedge,md,1
md-1-1-1-3,wedge,md,1
md-1-1-2-1,dynamics,md,2
mn-1-2-1-1-1--slur--stop--1,slur,stamp,mn-1-2-1-1-1
mn-1-2-1-1-4--slur--start--1,slur,stamp,mn-1-2-1-1-4
mn-1-2-5-2-8--slur--stop--1,slur,stamp,mn-1-2-5-2-8
mn-1-2-5-2-9--slur--start--1,slur,stamp,mn-1-2-5-2-9
md-1-2-1-1,wedge,md,1
md-1-2-1-2,wedge,md,1
md-1-2-2-1,dynamics,md,2
md-1-2-2-2,wedge,md,2
md-1-2-2-3,wedge,md,2
md-1-2-2-4,wedge,md,2
md-1-2-2-5,wedge,md,2
mn-1-3-1-1-5--tied--start--1,tied,stamp,mn-1-3-1-1-5
mn-1-3-1-1-5--slur--stop--1,slur,stamp,mn-1-3-1-1-5
mn-1-3-1-1-6--tied--start--1,tied,stamp,mn-1-3-1-1-6
mn-1-3-1-1-7--tied--stop--1,tied,stamp,mn-1-3-1-1-7
mn-1-3-1-1-8--tied--stop--1,tied,stamp,mn-1-3-1-1-8
mn-1-3-1-1-9--slur--start--1,slur,stamp,mn-1-3-1-1-9
mn-1-3-5-2-8--slur--stop--1,slur,stamp,mn-1-3-5-2-8
mn-1-3-5-2-9--slur--start--1,slur,stamp,mn-1-3-5-2-9
mn-1-3-5-2-16--slur--stop--1,slur,stamp,mn-1-3-5-2-16
md-1-3-1-1,wedge,md,1
md-1-3-1-2,wedge,md,1
md-1-3-1-3,dynamics,md,1
mn-1-4-1-1-14--tied--start--1,tied,stamp,mn-1-4-1-1-14
mn-1-4-2-1-2--tied--stop--1,tied,stamp,mn-1-4-2-1-2
mn-1-4-5-2-1--slur--start--1,slur,stamp,mn-1-4-5-2-1
mn-1-4-5-2-4--tied--start--1,tied,stamp,mn-1-4-5-2-4
mn-1-4-5-2-9--slur--stop--1,slur,stamp,mn-1-4-5-2-9
mn-1-4-5-2-10--slur--start--1,slur,stamp,mn-1-4-5-2-10
mn-1-4-5-2-13--tied--start--1,tied,stamp,mn-1-4-5-2-13
mn-1-4-5-2-13--slur--stop--1,slur,stamp,mn-1-4-5-2-13
mn-1-4-5-2-14--tied--stop--1,tied,stamp,mn-1-4-5-2-14
mn-1-4-5-2-17--tied--start--1,tied,stamp,mn-1-4-5-2-17
mn-1-4-6-2-3--tied--stop--1,tied,stamp,mn-1-4-6-2-3
mn-1-5-1-1-1--slur--stop--1,slur,stamp,mn-1-5-1-1-1
mn-1-5-6-2-1--tied--stop--1,tied,stamp,mn-1-5-6-2-1
mn-1-5-6-2-2--slur--start--1,slur,stamp,mn-1-5-6-2-2
md-1-5-1-1,wedge,md,1
md-1-5-1-2,wedge,md,1
mn-1-6-1-1-4--slur--start--1,slur,stamp,mn-1-6-1-1-4
mn-1-6-1-1-8--slur--stop--1,slur,stamp,mn-1-6-1-1-8
mn-1-6-5-2-8--slur--stop--1,slur,stamp,mn-1-6-5-2-8
mn-1-6-5-2-9--slur--start--1,slur,stamp,mn-1-6-5-2-9
md-1-6-1-1,wedge,md,1
md-1-6-1-2,wedge,md,1
md-1-6-2-1,wedge,md,2
md-1-6-2-2,wedge,md,2
md-1-6-2-3,wedge,md,2
md-1-6-2-4,wedge,md,2
mn-1-7-1-1-5--tied--start--1,tied,stamp,mn-1-7-1-1-5
mn-1-7-1-1-6--tied--start--1,tied,stamp,mn-1-7-1-1-6
mn-1-7-1-1-7--tied--stop--1,tied,stamp,mn-1-7-1-1-7
mn-1-7-1-1-8--tied--stop--1,tied,stamp,mn-1-7-1-1-8
mn-1-7-1-1-9--slur--start--1,slur,stamp,mn-1-7-1-1-9
mn-1-7-5-2-8--slur--stop--1,slur,stamp,mn-1-7-5-2-8
mn-1-7-5-2-9--slur--start--1,slur,stamp,mn-1-7-5-2-9
mn-1-7-5-2-16--slur--stop--1,slur,stamp,mn-1-7-5-2-16
md-1-7-1-1,wedge,md,1
md-1-7-1-2,wedge,md,1
md-1-7-1-3,wedge,md,1
md-1-7-1-4,wedge,md,1
mn-1-8-1-1-9--tied--start--1,tied,stamp,mn-1-8-1-1-9
mn-1-8-1-1-12--tied--start--1,tied,stamp,mn-1-8-1-1-12
mn-1-8-1-1-13--tied--stop--1,tied,stamp,mn-1-8-1-1-13
mn-1-8-1-1-14--tied--start--1,tied,stamp,mn-1-8-1-1-14
mn-1-8-1-1-15--tied--stop--1,tied,stamp,mn-1-8-1-1-15
mn-1-8-1-1-16--tied--stop--1,tied,stamp,mn-1-8-1-1-16
mn-1-8-5-2-1--slur--start--1,slur,stamp,mn-1-8-5-2-1
mn-1-8-5-2-1--arpeggiate--1,arpeggiate,stamp,mn-1-8-5-2-1
mn-1-8-5-2-2--arpeggiate--1,arpeggiate,stamp,mn-1-8-5-2-2
mn-1-8-5-2-3--arpeggiate--1,arpeggiate,stamp,mn-1-8-5-2-3
mn-1-8-5-2-4--arpeggiate--1,arpeggiate,stamp,mn-1-8-5-2-4
mn-1-8-5-2-11--slur--stop--1,slur,stamp,mn-1-8-5-2-11
mn-1-8-5-2-12--slur--start--1,slur,stamp,mn-1-8-5-2-12
mn-1-8-5-2-12--arpeggiate--1,arpeggiate,stamp,mn-1-8-5-2-12
mn-1-8-5-2-13--arpeggiate--1,arpeggiate,stamp,mn-1-8-5-2-13
mn-1-8-5-2-14--arpeggiate--1,arpeggiate,stamp,mn-1-8-5-2-14
mn-1-8-5-2-17--tied--start--1,tied,stamp,mn-1-8-5-2-17
mn-1-8-5-2-18--tied--stop--1,tied,stamp,mn-1-8-5-2-18
mn-1-8-5-2-21--slur--stop--1,slur,stamp,mn-1-8-5-2-21
md-1-8-1-1,dynamics,md,1
md-1-8-2-1,wedge,md,2
md-1-8-2-2,wedge,md,2
md-1-8-2-3,wedge,md,2
md-1-8-2-4,wedge,md,2
md-1-8-2-5,words,md,2
mn-1-9-1-1-1--slur--stop--1,slur,stamp,mn-1-9-1-1-1
mn-1-9-1-1-4--slur--start--1,slur,stamp,mn-1-9-1-1-4
mn-1-9-5-2-1--slur--start--1,slur,stamp,mn-1-9-5-2-1
md-1-9-1-1,dynamics,md,1
md-1-9-1-2,wedge,md,1
md-1-9-1-3,wedge,md,1
mn-1-10-1-1-1--slur--stop--1,slur,stamp,mn-1-10-1-1-1
mn-1-10-1-1-4--slur--start--1,slur,stamp,mn-1-10-1-1-4
mn-1-10-1-1-6--slur--stop--1,slur,stamp,mn-1-10-1-1-6
mn-1-10-5-2-8--slur--stop--1,slur,stamp,mn-1-10-5-2-8
mn-1-10-5-2-9--slur--start--1,slur,stamp,mn-1-10-5-2-9
md-1-10-2-1,wedge,md,2
md-1-10-2-2,wedge,md,2
md-1-10-2-3,words,md,2
md-1-10-2-4,wedge,md,2
md-1-10-2-5,wedge,md,2
mn-1-11-1-1-1--slur--start--1,slur,stamp,mn-1-11-1-1-1
mn-1-11-1-1-5--slur--stop--1,slur,stamp,mn-1-11-1-1-5
mn-1-11-1-1-7--tied--start--1,tied,stamp,mn-1-11-1-1-7
mn-1-11-1-1-7--slur--start--1,slur,stamp,mn-1-11-1-1-7
mn-1-11-1-1-8--tied--start--1,tied,stamp,mn-1-11-1-1-8
mn-1-11-1-1-9--tied--stop--1,tied,stamp,mn-1-11-1-1-9
mn-1-11-1-1-10--tied--stop--1,tied,stamp,mn-1-11-1-1-10
mn-1-11-1-1-13--slur--stop--1,slur,stamp,mn-1-11-1-1-13
mn-1-11-1-1-15--slur--start--1,slur,stamp,mn-1-11-1-1-15
mn-1-11-1-1-15--tenuto--1,tenuto,derive,mn-1-11-1-1-15
mn-1-11-2-1-3--tied--start--1,tied,stamp,mn-1-11-2-1-3
mn-1-11-2-1-4--tied--stop--1,tied,stamp,mn-1-11-2-1-4
mn-1-11-5-2-8--slur--stop--1,slur,stamp,mn-1-11-5-2-8
mn-1-11-5-2-9--slur--start--1,slur,stamp,mn-1-11-5-2-9
mn-1-11-5-2-16--slur--stop--1,slur,stamp,mn-1-11-5-2-16
md-1-11-1-1,dynamics,md,1
md-1-11-1-2,wedge,md,1
md-1-11-1-3,wedge,md,1
mn-1-12-1-1-1--slur--stop--1,slur,stamp,mn-1-12-1-1-1
mn-1-12-1-1-1--tenuto--1,tenuto,derive,mn-1-12-1-1-1
mn-1-12-1-1-3--slur--start--1,slur,stamp,mn-1-12-1-1-3
mn-1-12-1-1-9--slur--stop--1,slur,stamp,mn-1-12-1-1-9
mn-1-12-5-2-1--slur--start--1,slur,stamp,mn-1-12-5-2-1
md-1-12-1-1,dynamics,md,1
mn-1-13-1-1-2--slur--start--1,slur,stamp,mn-1-13-1-1-2
mn-1-13-1-1-3--tied--start--1,tied,stamp,mn-1-13-1-1-3
mn-1-13-1-1-8--slur--stop--1,slur,stamp,mn-1-13-1-1-8
mn-1-13-1-1-10--slur--start--1,slur,stamp,mn-1-13-1-1-10
mn-1-13-2-1-2--tied--start--1,tied,stamp,mn-1-13-2-1-2
mn-1-13-2-1-3--tied--stop--1,tied,stamp,mn-1-13-2-1-3
mn-1-13-2-1-3--tied--start--2,tied,stamp,mn-1-13-2-1-3
mn-1-13-2-1-4--tied--stop--1,tied,stamp,mn-1-13-2-1-4
mn-1-13-2-1-4--tied--start--2,tied,stamp,mn-1-13-2-1-4
mn-1-13-2-1-5--tied--stop--1,tied,stamp,mn-1-13-2-1-5
mn-1-13-2-1-6--tied--stop--1,tied,stamp,mn-1-13-2-1-6
mn-1-13-5-2-8--slur--stop--1,slur,stamp,mn-1-13-5-2-8
mn-1-13-5-2-9--slur--start--1,slur,stamp,mn-1-13-5-2-9
mn-1-13-5-2-13--arpeggiate--1,arpeggiate,stamp,mn-1-13-5-2-13
mn-1-13-5-2-14--arpeggiate--1,arpeggiate,stamp,mn-1-13-5-2-14
mn-1-13-5-2-15--arpeggiate--1,arpeggiate,stamp,mn-1-13-5-2-15
mn-1-13-5-2-18--slur--stop--1,slur,stamp,mn-1-13-5-2-18
md-1-13-1-1,wedge,md,1
md-1-13-1-2,wedge,md,1
md-1-13-2-1,wedge,md,2
md-1-13-2-2,wedge,md,2
md-1-13-2-3,wedge,md,2
md-1-13-2-4,wedge,md,2
md-1-13-2-5,wedge,md,2
md-1-13-2-6,wedge,md,2
mn-1-14-1-1-1--slur--stop--1,slur,stamp,mn-1-14-1-1-1
mn-1-14-1-1-3--slur--start--1,slur,stamp,mn-1-14-1-1-3
mn-1-14-1-1-9--tied--start--1,tied,stamp,mn-1-14-1-1-9
mn-1-14-1-1-9--slur--stop--1,slur,stamp,mn-1-14-1-1-9
mn-1-14-1-1-10--tied--start--1,tied,stamp,mn-1-14-1-1-10
mn-1-14-2-1-4--tied--start--1,tied,stamp,mn-1-14-2-1-4
mn-1-14-5-2-1--slur--start--1,slur,stamp,mn-1-14-5-2-1
md-1-14-1-1,dynamics,md,1
mn-1-15-1-1-1--tied--stop--1,tied,stamp,mn-1-15-1-1-1
mn-1-15-1-1-2--tied--stop--1,tied,stamp,mn-1-15-1-1-2
mn-1-15-1-1-3--slur--start--1,slur,stamp,mn-1-15-1-1-3
mn-1-15-2-1-1--tied--stop--1,tied,stamp,mn-1-15-2-1-1
mn-1-15-5-2-2--slur--stop--1,slur,stamp,mn-1-15-5-2-2
mn-1-15-5-2-3--slur--start--1,slur,stamp,mn-1-15-5-2-3
mn-1-15-5-2-8--slur--stop--1,slur,stamp,mn-1-15-5-2-8
mn-1-15-5-2-9--slur--start--1,slur,stamp,mn-1-15-5-2-9
mn-1-15-5-2-17--slur--stop--1,slur,stamp,mn-1-15-5-2-17
md-1-15-2-1,words,md,2
mn-1-16-1-1-1--slur--stop--1,slur,stamp,mn-1-16-1-1-1
mn-1-16-1-1-3--slur--start--1,slur,stamp,mn-1-16-1-1-3
mn-1-16-1-1-9--tied--start--1,tied,stamp,mn-1-16-1-1-9
mn-1-16-1-1-9--slur--stop--1,slur,stamp,mn-1-16-1-1-9
mn-1-16-1-1-10--tied--start--1,tied,stamp,mn-1-16-1-1-10
mn-1-16-2-1-5--tied--start--1,tied,stamp,mn-1-16-2-1-5
mn-1-16-5-2-1--slur--start--1,slur,stamp,mn-1-16-5-2-1
mn-1-16-5-2-5--tied--start--1,tied,stamp,mn-1-16-5-2-5
mn-1-16-5-2-6--tied--stop--1,tied,stamp,mn-1-16-5-2-6
mn-1-17-1-1-1--tied--stop--1,tied,stamp,mn-1-17-1-1-1
mn-1-17-1-1-2--tied--stop--1,tied,stamp,mn-1-17-1-1-2
mn-1-17-1-1-3--slur--start--1,slur,stamp,mn-1-17-1-1-3
mn-1-17-2-1-1--tied--stop--1,tied,stamp,mn-1-17-2-1-1
