note_id,original_id,printed_bar
nd00b2166748ffae6,n1,1
na3645d3416ff89ba,n2,1
na308daea28de149c,n3,1
n5b62fcccc25f03e0,n4,1
n72c5580e1551c237,n5,1
ncc422f2fb5743704,n6,1
n026f67e802424231,n7,1
nf32ac7ba4207450c,n8,1
n68c6c4ed4a4b1b13,n9,1
n3a3b9243e850cad2,n10,1
n88b9702eb9bac46e,n11,1
na157719a7d85e8d9,n12,1
n2e394960386191b1,n13,1
n6a391dc457d2049e,n14,1
n7d3b2631fc57ef69,n15,1
n5d67e6e73447757b,n16,1
n658e9dae0d5dd64f,n17,1
n560dca5308d18be9,n18,1
n7e8fa31c90aabcee,n19,1
nab84ff73a7aa5887,n20,1
n8d7e6e95681240f8,n21,1
n4dc4292fdf20cff4,n22,1
n833dae28b3b1a9a0,n23,1
n6482518a92c2ff53,n24,1
n467a6a3c409c876b,n25,2
nbc8ab42ecaf0f8b4,n26,2
n0bc7273135f431a4,n27,2
n8534384779932453,n28,2
nf7d384a3e1722a95,n29,2
nb5109c2dc92b023e,n30,2
nee0f3245397041a9,n31,2
n93e7ce0a21b247cb,n32,2
n5b97c4752159c2dd,n33,2
necbc3c326b153905,n34,2
n953017f3e4081cdb,n35,2
nacdd960bf9777d40,n36,2
nae5acb0fb936e54b,n37,2
n24fac2c9a8890863,n38,2
nd1fb737ebfedd17e,n39,2
n99618961d478c1c2,n40,2
n7d2942f2f8c429ed,n41,2
n27c04b84239fe65f,n42,2
nd5bea92fefcc71e5,n43,2
n0e110b1c079fbf0a,n44,2
nbc249c40b2f794aa,n45,2
nee099c6fc327b792,n46,2
n2ced9cc71d7478df,n47,2
n3100a6c2d3e2c25e,n48,2
n54df70f9bb33ceac,n49,2
nc9ab893fa194070a,n50,2
nb172668e927ae005,n51,2
ndebb41d712dc5062,n52,3
nb02fd7eeb28a9c28,n53,3
n881d1f9bdee7d909,n54,3
nbbc47cfc29be7d07,n55,3
nfdf0ce752f843f01,n56,3
nc1df40bcc6c8e5db,n57,3
nad433949a7d46829,n58,3
nd1efa3ee9a457a15,n59,3
n43d938e30fd4aa0b,n60,3
n422d5d0d84f9c480,n61,3
