note_id,original_id,bar,voice,staff,ordinal
mn-0-1-1-1,mn-0-1-1-0,0,1,1,1
mn-0-1-1-2,mn-0-1-1-1,0,1,1,2
mn-0-1-1-3,mn-0-1-1-2,0,1,1,3
mn-0-1-1-4,mn-0-1-1-3,0,1,1,4
mn-0-1-1-5,mn-0-1-1-4,0,1,1,5
mn-0-1-1-6,mn-0-1-1-5,0,1,1,6
mn-0-5-2-1,mn-0-5-2-0,0,5,2,1
mn-0-5-2-2,mn-0-5-2-1,0,5,2,2
mn-0-5-2-3,mn-0-5-2-2,0,5,2,3
mn-0-5-2-4,mn-0-5-2-3,0,5,2,4
mn-0-5-2-5,mn-0-5-2-4,0,5,2,5
mn-0-5-2-6,mn-0-5-2-5,0,5,2,6
mn-0-5-2-7,mn-0-5-2-6,0,5,2,7
mn-0-5-2-8,mn-0-5-2-7,0,5,2,8
mn-0-5-2-9,mn-0-5-2-8,0,5,2,9
mn-1-1-1-1,mn-1-1-1-0,1,1,1,1
mn-1-1-1-2,mn-1-1-1-1,1,1,1,2
mn-1-1-1-3,mn-1-1-1-2,1,1,1,3
mn-1-1-1-4,mn-1-1-1-3,1,1,1,4
mn-1-1-1-5,mn-1-1-1-4,1,1,1,5
mn-1-1-1-6,mn-1-1-1-5,1,1,1,6
mn-1-1-1-7,mn-1-1-1-6,1,1,1,7
mn-1-1-1-8,mn-1-1-1-7,1,1,1,8
mn-1-1-1-9,mn-1-1-1-8,1,1,1,9
mn-1-1-1-10,mn-1-1-1-9,1,1,1,10
mn-1-1-1-11,mn-1-1-1-10,1,1,1,11
mn-1-1-1-12,mn-1-1-1-11,1,1,1,12
mn-1-1-1-13,mn-1-1-1-12,1,1,1,13
mn-1-1-1-14,mn-1-1-1-13,1,1,1,14
mn-1-2-1-1,mn-1-2-1-0,1,2,1,1
mn-1-2-1-2,mn-1-2-1-1,1,2,1,2
mn-1-2-1-3,mn-1-2-1-2,1,2,1,3
mn-1-2-1-4,mn-1-2-1-3,1,2,1,4
mn-1-5-2-1,mn-1-5-2-0,1,5,2,1
mn-1-5-2-2,mn-1-5-2-1,1,5,2,2
mn-1-5-2-3,mn-1-5-2-2,1,5,2,3
mn-1-5-2-4,mn-1-5-2-3,1,5,2,4
mn-1-5-2-5,mn-1-5-2-4,1,5,2,5
mn-1-5-2-6,mn-1-5-2-5,1,5,2,6
mn-1-5-2-7,mn-1-5-2-6,1,5,2,7
mn-1-5-2-8,mn-1-5-2-7,1,5,2,8
mn-1-5-2-9,mn-1-5-2-8,1,5,2,9
mn-1-5-2-10,mn-1-5-2-9,1,5,2,10
mn-1-5-2-11,mn-1-5-2-10,1,5,2,11
mn-1-5-2-12,mn-1-5-2-11,1,5,2,12
mn-1-5-2-13,mn-1-5-2-12,1,5,2,13
mn-1-5-2-14,mn-1-5-2-13,1,5,2,14
mn-1-5-2-15,mn-1-5-2-14,1,5,2,15
mn-1-5-2-16,mn-1-5-2-15,1,5,2,16
mn-1-6-2-1,mn-1-6-2-0,1,6,2,1
mn-1-6-2-2,mn-1-6-2-1,1,6,2,2
mn-1-6-2-3,mn-1-6-2-2,1,6,2,3
mn-2-1-1-1,mn-2-1-1-0,2,1,1,1
mn-2-1-1-2,mn-2-1-1-1,2,1,1,2
mn-2-1-1-3,mn-2-1-1-2,2,1,1,3
mn-2-1-1-4,mn-2-1-1-3,2,1,1,4
mn-2-1-1-5,mn-2-1-1-4,2,1,1,5
mn-2-1-1-6,mn-2-1-1-5,2,1,1,6
mn-2-1-1-7,mn-2-1-1-6,2,1,1,7
mn-2-1-1-8,mn-2-1-1-7,2,1,1,8
mn-2-1-1-9,mn-2-1-1-8,2,1,1,9
mn-2-1-1-10,mn-2-1-1-9,2,1,1,10
mn-2-1-1-11,mn-2-1-1-10,2,1,1,11
mn-2-1-1-12,mn-2-1-1-11,2,1,1,12
mn-2-1-1-13,mn-2-1-1-12,2,1,1,13
mn-2-1-1-14,mn-2-1-1-13,2,1,1,14
mn-2-2-1-1,mn-2-2-1-0,2,2,1,1
mn-2-2-1-2,mn-2-2-1-1,2,2,1,2
mn-2-2-1-3,mn-2-2-1-2,2,2,1,3
mn-2-2-1-4,mn-2-2-1-3,2,2,1,4
mn-2-5-2-1,mn-2-5-2-0,2,5,2,1
mn-2-5-2-2,mn-2-5-2-1,2,5,2,2
mn-2-5-2-3,mn-2-5-2-2,2,5,2,3
mn-2-5-2-4,mn-2-5-2-3,2,5,2,4
mn-2-5-2-5,mn-2-5-2-4,2,5,2,5
mn-2-5-2-6,mn-2-5-2-5,2,5,2,6
mn-2-5-2-7,mn-2-5-2-6,2,5,2,7
mn-2-5-2-8,mn-2-5-2-7,2,5,2,8
mn-2-5-2-9,mn-2-5-2-8,2,5,2,9
mn-2-5-2-10,mn-2-5-2-9,2,5,2,10
mn-2-5-2-11,mn-2-5-2-10,2,5,2,11
mn-2-5-2-12,mn-2-5-2-11,2,5,2,12
mn-2-5-2-13,mn-2-5-2-12,2,5,2,13
mn-2-5-2-14,mn-2-5-2-13,2,5,2,14
mn-2-5-2-15,mn-2-5-2-14,2,5,2,15
mn-2-5-2-16,mn-2-5-2-15,2,5,2,16
mn-2-5-2-17,mn-2-5-2-16,2,5,2,17
mn-2-5-2-18,mn-2-5-2-17,2,5,2,18
mn-2-6-2-1,mn-2-6-2-0,2,6,2,1
mn-2-6-2-2,mn-2-6-2-1,2,6,2,2
mn-2-6-2-3,mn-2-6-2-2,2,6,2,3
mn-2-6-2-4,mn-2-6-2-3,2,6,2,4
mn-3-1-1-1,mn-3-1-1-0,3,1,1,1
mn-3-1-1-2,mn-3-1-1-1,3,1,1,2
mn-3-1-1-3,mn-3-1-1-2,3,1,1,3
mn-3-1-1-4,mn-3-1-1-3,3,1,1,4
mn-3-1-1-5,mn-3-1-1-4,3,1,1,5
mn-3-1-1-6,mn-3-1-1-5,3,1,1,6
mn-3-2-1-1,mn-3-2-1-0,3,2,1,1
mn-3-2-1-2,mn-3-2-1-1,3,2,1,2
mn-3-2-1-3,mn-3-2-1-2,3,2,1,3
mn-3-2-1-4,mn-3-2-1-3,3,2,1,4
mn-3-2-1-5,mn-3-2-1-4,3,2,1,5
mn-3-2-1-6,mn-3-2-1-5,3,2,1,6
mn-3-2-1-7,mn-3-2-1-6,3,2,1,7
mn-3-2-1-8,mn-3-2-1-7,3,2,1,8
mn-3-3-1-1,mn-3-3-1-0,3,3,1,1
mn-3-3-1-2,mn-3-3-1-1,3,3,1,2
mn-3-3-1-3,mn-3-3-1-2,3,3,1,3
mn-3-3-1-4,mn-3-3-1-3,3,3,1,4
mn-3-5-2-1,mn-3-5-2-0,3,5,2,1
mn-3-5-2-2,mn-3-5-2-1,3,5,2,2
mn-3-5-2-3,mn-3-5-2-2,3,5,2,3
mn-3-5-2-4,mn-3-5-2-3,3,5,2,4
mn-3-5-2-5,mn-3-5-2-4,3,5,2,5
mn-3-5-2-6,mn-3-5-2-5,3,5,2,6
mn-3-6-2-1,mn-3-6-2-0,3,6,2,1
mn-3-6-2-2,mn-3-6-2-1,3,6,2,2
mn-3-6-2-3,mn-3-6-2-2,3,6,2,3
mn-3-6-2-4,mn-3-6-2-3,3,6,2,4
mn-3-6-2-5,mn-3-6-2-4,3,6,2,5
mn-3-6-2-6,mn-3-6-2-5,3,6,2,6
mn-3-6-2-7,mn-3-6-2-6,3,6,2,7
mn-3-7-2-1,mn-3-7-2-0,3,7,2,1
mn-3-7-2-2,mn-3-7-2-1,3,7,2,2
mn-3-7-2-3,mn-3-7-2-2,3,7,2,3
mn-3-7-2-4,mn-3-7-2-3,3,7,2,4
mn-4-1-1-1,mn-4-1-1-0,4,1,1,1
mn-4-1-1-2,mn-4-1-1-1,4,1,1,2
mn-4-1-1-3,mn-4-1-1-2,4,1,1,3
mn-4-1-1-4,mn-4-1-1-3,4,1,1,4
mn-4-1-1-5,mn-4-1-1-4,4,1,1,5
mn-4-1-1-6,mn-4-1-1-5,4,1,1,6
mn-4-1-1-7,mn-4-1-1-6,4,1,1,7
mn-4-1-1-8,mn-4-1-1-7,4,1,1,8
mn-4-1-1-9,mn-4-1-1-8,4,1,1,9
mn-4-2-1-1,mn-4-2-1-0,4,2,1,1
mn-4-2-1-2,mn-4-2-1-1,4,2,1,2
mn-4-2-1-3,mn-4-2-1-2,4,2,1,3
mn-4-2-1-4,mn-4-2-1-3,4,2,1,4
mn-4-2-1-5,mn-4-2-1-4,4,2,1,5
mn-4-5-2-1,mn-4-5-2-0,4,5,2,1
mn-4-5-2-2,mn-4-5-2-1,4,5,2,2
mn-4-5-2-3,mn-4-5-2-2,4,5,2,3
mn-4-5-2-4,mn-4-5-2-3,4,5,2,4
mn-4-5-2-5,mn-4-5-2-4,4,5,2,5
mn-4-5-2-6,mn-4-5-2-5,4,5,2,6
mn-4-5-2-7,mn-4-5-2-6,4,5,2,7
mn-4-5-2-8,mn-4-5-2-7,4,5,2,8
mn-4-5-2-9,mn-4-5-2-8,4,5,2,9
mn-4-5-2-10,mn-4-5-2-9,4,5,2,10
mn-4-6-2-1,mn-4-6-2-0,4,6,2,1
mn-4-6-2-2,mn-4-6-2-1,4,6,2,2
mn-4-6-2-3,mn-4-6-2-2,4,6,2,3
mn-4-6-2-4,mn-4-6-2-3,4,6,2,4
mn-5-1-1-1,mn-5-1-1-0,5,1,1,1
mn-5-1-1-2,mn-5-1-1-1,5,1,1,2
mn-5-1-1-3,mn-5-1-1-2,5,1,1,3
mn-5-1-1-4,mn-5-1-1-3,5,1,1,4
mn-5-1-1-5,mn-5-1-1-4,5,1,1,5
mn-5-1-1-6,mn-5-1-1-5,5,1,1,6
mn-5-1-1-7,mn-5-1-1-6,5,1,1,7
mn-5-1-1-8,mn-5-1-1-7,5,1,1,8
mn-5-1-1-9,mn-5-1-1-8,5,1,1,9
mn-5-1-1-10,mn-5-1-1-9,5,1,1,10
mn-5-1-1-11,mn-5-1-1-10,5,1,1,11
mn-5-1-1-12,mn-5-1-1-11,5,1,1,12
mn-5-1-1-13,mn-5-1-1-12,5,1,1,13
mn-5-1-1-14,mn-5-1-1-13,5,1,1,14
mn-5-2-1-1,mn-5-2-1-0,5,2,1,1
mn-5-2-1-2,mn-5-2-1-1,5,2,1,2
mn-5-2-1-3,mn-5-2-1-2,5,2,1,3
mn-5-2-1-4,mn-5-2-1-3,5,2,1,4
mn-5-5-2-1,mn-5-5-2-0,5,5,2,1
mn-5-5-2-2,mn-5-5-2-1,5,5,2,2
mn-5-5-2-3,mn-5-5-2-2,5,5,2,3
mn-5-5-2-4,mn-5-5-2-3,5,5,2,4
mn-5-5-2-5,mn-5-5-2-4,5,5,2,5
mn-5-5-2-6,mn-5-5-2-5,5,5,2,6
mn-5-5-2-7,mn-5-5-2-6,5,5,2,7
mn-5-5-2-8,mn-5-5-2-7,5,5,2,8
mn-5-5-2-9,mn-5-5-2-8,5,5,2,9
mn-5-5-2-10,mn-5-5-2-9,5,5,2,10
mn-5-5-2-11,mn-5-5-2-10,5,5,2,11
mn-5-5-2-12,mn-5-5-2-11,5,5,2,12
mn-5-5-2-13,mn-5-5-2-12,5,5,2,13
mn-5-5-2-14,mn-5-5-2-13,5,5,2,14
mn-5-5-2-15,mn-5-5-2-14,5,5,2,15
mn-5-5-2-16,mn-5-5-2-15,5,5,2,16
mn-5-5-2-17,mn-5-5-2-16,5,5,2,17
mn-5-5-2-18,mn-5-5-2-17,5,5,2,18
mn-5-5-2-19,mn-5-5-2-18,5,5,2,19
mn-5-6-2-1,mn-5-6-2-0,5,6,2,1
mn-5-6-2-2,mn-5-6-2-1,5,6,2,2
mn-5-6-2-3,mn-5-6-2-2,5,6,2,3
mn-6-1-1-1,mn-6-1-1-0,6,1,1,1
mn-6-1-1-2,mn-6-1-1-1,6,1,1,2
mn-6-1-1-3,mn-6-1-1-2,6,1,1,3
mn-6-1-1-4,mn-6-1-1-3,6,1,1,4
mn-6-1-1-5,mn-6-1-1-4,6,1,1,5
mn-6-1-1-6,mn-6-1-1-5,6,1,1,6
mn-6-1-1-7,mn-6-1-1-6,6,1,1,7
mn-6-1-1-8,mn-6-1-1-7,6,1,1,8
mn-6-1-1-9,mn-6-1-1-8,6,1,1,9
mn-6-1-1-10,mn-6-1-1-9,6,1,1,10
mn-6-1-1-11,mn-6-1-1-10,6,1,1,11
mn-6-1-1-12,mn-6-1-1-11,6,1,1,12
mn-6-1-1-13,mn-6-1-1-12,6,1,1,13
mn-6-1-1-14,mn-6-1-1-13,6,1,1,14
mn-6-1-1-15,mn-6-1-1-14,6,1,1,15
mn-6-2-1-1,mn-6-2-1-0,6,2,1,1
mn-6-2-1-2,mn-6-2-1-1,6,2,1,2
mn-6-2-1-3,mn-6-2-1-2,6,2,1,3
mn-6-2-1-4,mn-6-2-1-3,6,2,1,4
mn-6-5-2-1,mn-6-5-2-0,6,5,2,1
mn-6-5-2-2,mn-6-5-2-1,6,5,2,2
mn-6-5-2-3,mn-6-5-2-2,6,5,2,3
mn-6-5-2-4,mn-6-5-2-3,6,5,2,4
mn-6-5-2-5,mn-6-5-2-4,6,5,2,5
mn-6-5-2-6,mn-6-5-2-5,6,5,2,6
mn-6-5-2-7,mn-6-5-2-6,6,5,2,7
mn-6-5-2-8,mn-6-5-2-7,6,5,2,8
mn-6-5-2-9,mn-6-5-2-8,6,5,2,9
mn-6-5-2-10,mn-6-5-2-9,6,5,2,10
mn-6-5-2-11,mn-6-5-2-10,6,5,2,11
mn-6-5-2-12,mn-6-5-2-11,6,5,2,12
mn-6-5-2-13,mn-6-5-2-12,6,5,2,13
mn-6-5-2-14,mn-6-5-2-13,6,5,2,14
mn-6-6-2-1,mn-6-6-2-0,6,6,2,1
mn-6-6-2-2,mn-6-6-2-1,6,6,2,2
mn-6-6-2-3,mn-6-6-2-2,6,6,2,3
mn-7-1-1-1,mn-7-1-1-0,7,1,1,1
mn-7-1-1-2,mn-7-1-1-1,7,1,1,2
mn-7-1-1-3,mn-7-1-1-2,7,1,1,3
mn-7-1-1-4,mn-7-1-1-3,7,1,1,4
mn-7-1-1-5,mn-7-1-1-4,7,1,1,5
mn-7-2-1-1,mn-7-2-1-0,7,2,1,1
mn-7-2-1-2,mn-7-2-1-1,7,2,1,2
mn-7-2-1-3,mn-7-2-1-2,7,2,1,3
mn-7-2-1-4,mn-7-2-1-3,7,2,1,4
mn-7-2-1-5,mn-7-2-1-4,7,2,1,5
mn-7-2-1-6,mn-7-2-1-5,7,2,1,6
mn-7-2-1-7,mn-7-2-1-6,7,2,1,7
mn-7-2-1-8,mn-7-2-1-7,7,2,1,8
mn-7-3-1-1,mn-7-3-1-0,7,3,1,1
mn-7-3-1-2,mn-7-3-1-1,7,3,1,2
mn-7-3-1-3,mn-7-3-1-2,7,3,1,3
mn-7-3-1-4,mn-7-3-1-3,7,3,1,4
mn-7-5-2-1,mn-7-5-2-0,7,5,2,1
mn-7-5-2-2,mn-7-5-2-1,7,5,2,2
mn-7-5-2-3,mn-7-5-2-2,7,5,2,3
mn-7-6-2-1,mn-7-6-2-0,7,6,2,1
mn-7-6-2-2,mn-7-6-2-1,7,6,2,2
mn-7-6-2-3,mn-7-6-2-2,7,6,2,3
mn-7-6-2-4,mn-7-6-2-3,7,6,2,4
mn-7-6-2-5,mn-7-6-2-4,7,6,2,5
mn-7-6-2-6,mn-7-6-2-5,7,6,2,6
mn-7-7-2-1,mn-7-7-2-0,7,7,2,1
mn-7-7-2-2,mn-7-7-2-1,7,7,2,2
mn-7-7-2-3,mn-7-7-2-2,7,7,2,3
mn-7-7-2-4,mn-7-7-2-3,7,7,2,4
