element_id,original_id,tag,carrier,host_or_staff
e0adaf687d21bd7ea,md-1-0-1-1,words,md,1
e23733782389d0149,md-1-0-1-2,words,md,1
e3bf247c84c3d693d,md-1-2-1-1,words,md,1
e76e538746f12caf0,md-1-29-1-1,words,md,1
ed9960785707ff50f,md-1-30-1-1,words,md,1
e6d971237df15c408,md-1-30-1-2,words,md,1
n1c5bc2e84cc48073--slur--start--1,n69--slur--start--1,slur,stamp,n1c5bc2e84cc48073
nc3f33cc9ea4bdd29--slur--stop--1,n115--slur--stop--1,slur,stamp,nc3f33cc9ea4bdd29
n2fb34b63318aabbe--slur--start--1,n117--slur--start--1,slur,stamp,n2fb34b63318aabbe
n2fb34b63318aabbe--accent--1,,accent,derive,n2fb34b63318aabbe
n0252d36ddf1405a8--slur--stop--1,n118--slur--stop--1,slur,stamp,n0252d36ddf1405a8
n989c96f03f1b90ac--slur--start--1,n119--slur--start--1,slur,stamp,n989c96f03f1b90ac
n6d332a2b804b485c--slur--stop--1,n126--slur--stop--1,slur,stamp,n6d332a2b804b485c
nee656dc8396965ec--slur--start--1,n127--slur--start--1,slur,stamp,nee656dc8396965ec
nb3a934b51dcba4b4--slur--stop--1,n134--slur--stop--1,slur,stamp,nb3a934b51dcba4b4
ecc4c32bf47bfb7f4,md-1-57-1-1,octave-shift,md,1
ecdf69321b944d35c,md-1-57-1-2,octave-shift,md,1
e232241aa0bebdc0d,md-1-57-1-3,octave-shift,md,1
n5f3c7c20495df873--slur--start--1,n135--slur--start--1,slur,stamp,n5f3c7c20495df873
n69bdcfa456a04e81--slur--stop--1,n181--slur--stop--1,slur,stamp,n69bdcfa456a04e81
n28b4380133926e28--slur--start--1,n183--slur--start--1,slur,stamp,n28b4380133926e28
n28b4380133926e28--accent--1,,accent,derive,n28b4380133926e28
n9e7a0fd63cb2d5af--slur--stop--1,n184--slur--stop--1,slur,stamp,n9e7a0fd63cb2d5af
n3ec815d1824ce699--slur--start--1,n185--slur--start--1,slur,stamp,n3ec815d1824ce699
n777d1176b8577c74--slur--stop--1,n192--slur--stop--1,slur,stamp,n777d1176b8577c74
n1319b4ae2469ba0f--slur--start--1,n193--slur--start--1,slur,stamp,n1319b4ae2469ba0f
n3f8f2641e512a4c6--slur--stop--1,n200--slur--stop--1,slur,stamp,n3f8f2641e512a4c6
efe3dabb9c103a729,md-1-58-1-1,octave-shift,md,1
e57613cd09b7ad4e3,md-1-58-1-2,octave-shift,md,1
nbce0ce1e120fdeb6--slur--start--1,n201--slur--start--1,slur,stamp,nbce0ce1e120fdeb6
n088771249cea36cf--slur--stop--1,n247--slur--stop--1,slur,stamp,n088771249cea36cf
n19e068ddcd46d70d--tuplet--start--1,n249--tuplet--start--1,tuplet,stamp,n19e068ddcd46d70d
n19e068ddcd46d70d--slur--start--1,n249--slur--start--1,slur,stamp,n19e068ddcd46d70d
n48bb77c6bc989c46--slur--stop--1,n255--slur--stop--1,slur,stamp,n48bb77c6bc989c46
eb5339fd93830c68a,md-1-59-1-1,wedge,md,1
e88cca59b7aca25f4,md-1-59-1-2,octave-shift,md,1
e9ef5150607fad569,md-1-59-1-3,wedge,md,1
nbc98fc09062ad21c--slur--start--1,n256--slur--start--1,slur,stamp,nbc98fc09062ad21c
nc8bfcecb838a478a--slur--stop--1,n302--slur--stop--1,slur,stamp,nc8bfcecb838a478a
nb580ee55bf65e014--slur--start--1,n304--slur--start--1,slur,stamp,nb580ee55bf65e014
nb580ee55bf65e014--accent--1,,accent,derive,nb580ee55bf65e014
n99ca337398efc594--slur--stop--1,n305--slur--stop--1,slur,stamp,n99ca337398efc594
ef0f204348ca6f647,md-1-60-1-1,dynamics,md,1
e37cb9321727b5363,md-1-60-1-2,octave-shift,md,1
eacc0fcc1d58a3c9a,md-1-60-1-3,octave-shift,md,1
n7c31bb3ec3338843--slur--start--1,n322--slur--start--1,slur,stamp,n7c31bb3ec3338843
nf0da2a7efde1907e--slur--stop--1,n368--slur--stop--1,slur,stamp,nf0da2a7efde1907e
e3c9d045f379e6b52,md-1-61-1-1,octave-shift,md,1
ec3a81feee59e2850,md-1-61-1-2,octave-shift,md,1
e75a6018d59b82b64,md-1-64-1-1,words,md,1
e2516893a223e218f,md-1-65-1-1,words,md,1
ec5bcb943de38406b,md-1-66-1-1,words,md,1
