note_id,original_id,printed_bar
n7f1ec25732a45f8d,n1,0
ncae0e7ec3634d539,n2,1
ne4eaf18ed3e06c61,n3,2
nb27ca05947a26fd6,n4,3
n29ef039c2d685290,n5,4
n6dfaef3e97eb1501,n6,5
n2fb6d326308aba28,n7,6
nb35b9a9727a2c1b4,n8,7
n67fab4089750ba9f,n9,8
n535ae97fcb082fa6,n10,9
nad69b9ce36d6968f,n11,10
n32110e1636d1b260,n12,11
n1cfe8e9533381d33,n13,12
nffcb36825daca0fe,n14,13
n62536df9b335956a,n15,14
nce848445707fc1a3,n16,15
n1a9bc882fb14839e,n17,16
ne6db6d63b8d7f834,n18,17
ndddb3a85c9a237f3,n19,18
n7de449ebff066d57,n20,19
n7d01a3a412a246f0,n21,20
n307fc9139f4c22b7,n22,21
n98bb064fef4d1a58,n23,22
n1ed714bd97d96d2b,n24,23
n671b1f6669632ae8,n25,24
nfa745f5c12c07e3d,n26,25
n81595a5c93d0307c,n27,26
n19b66bc0d1f5fd1c,n28,27
n112321304fef5d8d,n29,28
n7ed6f25cb06d5774,n30,29
n6c0d00c6f8856e68,n31,30
ncfc4698795762c8b,n32,31
n0f6ce4a39c830603,n33,32
ncdae1b5a8935b7fe,n34,33
n3e84f135997f0f64,n35,34
ne26f05d1f28832ca,n36,35
n7108c8e76c100313,n37,36
n6859cc05932b1961,n38,37
nb63a53efd942cb24,n39,38
n9b7e77f621603d21,n40,39
n2cdd7e29022aa416,n41,40
nc506b163fb43c5f3,n42,41
n3cdb227e4045ae4e,n43,42
nfa8daf1a2bdb83fb,n44,X1
nbafda43b8e4e151a,n45,X1
n50c574a45182cfbb,n46,43
n68e8ecc905c752de,n47,44
n1a7c32b4435bd98c,n48,45
n4cb59a9c59d0e9a5,n49,46
n8b295c6812e90e6d,n50,47
nbda39092e1b8f810,n51,48
nff9b6e76b491d113,n52,49
n5e12e2c7cfc4af8b,n53,50
nbbf399dc9c02f7c2,n54,51
n66a6b4ef0597ac30,n55,52
n1412b253c511b16c,n56,53
n59dce5dd482b37ae,n57,54
n15a3f6991d9cd161,n58,55
nea8e40e0738755fb,n59,55
n6ef9af3f75bf6121,n60,55
ndd8d8c3fcbc4f24f,n61,55
naf59d375163a378f,n62,55
n111161455cfa6671,n63,55
na5463ca5153af766,n64,55
n16b8bc352d8c7c03,n65,55
ne050e543e0a28a1b,n66,55
n1efeccaf705d0d54,n67,55
n07149fc40f0ff440,n68,55
n1c5bc2e84cc48073,n69,56
nbf4773933d7450a1,n70,56
n4c290958289b87a5,n71,56
nb9294eae8506f3b1,n72,56
n3b49aca614ad367a,n73,56
nabfd5e012419ed7c,n74,56
n31478fb458a92cd1,n75,56
n9f0f842a39f67f6e,n76,56
na46d97a02861c1ee,n77,56
n7744a9cb12531e74,n78,56
n719e2ebd4b6daf1d,n79,56
n654b488aba4723c0,n80,56
n059ed9fa4018a51f,n81,56
na412f754e63adcd1,n82,56
nbbe17f1877af68e9,n83,56
na69d344de5cd178d,n84,56
na811290092efa766,n85,56
n2d1581b67fbdfcea,n86,56
n5f1653d55c593436,n87,56
n5d6782e62c9f0027,n88,56
nb2f1b8f41ac2d739,n89,56
nc521c0ac381082af,n90,56
n61f7ce8e42882232,n91,56
n1e12c25eef47f477,n92,56
n6a0067ac998a8a40,n93,56
nd88307d035e796fc,n94,56
n5537795ac4d7d9cf,n95,56
n4c8e16128ed9b491,n96,56
n04b569fd6298d8cb,n97,56
n3ae7cfa8b69874bd,n98,56
n5ef3f91f327007c2,n99,56
n7a31ddadeca4bbc5,n100,56
n684bea4ad27cd200,n101,56
n7310d06a73d2c42f,n102,56
n0b7844b86c05e569,n103,56
n91b92cce2f1d92e8,n104,56
ndb61de09a3b249d2,n105,56
nb0b2f26b62c713d2,n106,56
n465766520e55c3a9,n107,56
n59d0dbe2cbb44151,n108,56
n3082f6f594fc0383,n109,56
