element_id,original_id,tag,carrier,host_or_staff
ncc422f2fb5743704--slur--start--1,n1--slur--start--1,slur,stamp,ncc422f2fb5743704
n5396daff7c18861f--tie--1,,tie,derive,n5396daff7c18861f
n5396daff7c18861f--tied--start--1,n3--tied--start--1,tied,stamp,n5396daff7c18861f
naef57158870d4ab9--tie--1,,tie,derive,naef57158870d4ab9
naef57158870d4ab9--tied--start--1,n4--tied--start--1,tied,stamp,naef57158870d4ab9
n959cd48de6833768--tie--1,,tie,derive,n959cd48de6833768
n959cd48de6833768--tied--stop--1,n5--tied--stop--1,tied,stamp,n959cd48de6833768
n959cd48de6833768--tuplet--start--1,n5--tuplet--start--1,tuplet,stamp,n959cd48de6833768
n93ba35d8180e490d--tie--1,,tie,derive,n93ba35d8180e490d
n93ba35d8180e490d--tied--stop--1,n6--tied--stop--1,tied,stamp,n93ba35d8180e490d
n6a3220d107a42644--tuplet--stop--1,n8--tuplet--stop--1,tuplet,stamp,n6a3220d107a42644
n6a3220d107a42644--slur--stop--1,n8--slur--stop--1,slur,stamp,n6a3220d107a42644
ndd0d21f999b7be2a--tuplet--start--1,n10--tuplet--start--1,tuplet,stamp,ndd0d21f999b7be2a
ndd0d21f999b7be2a--slur--start--1,n10--slur--start--1,slur,stamp,ndd0d21f999b7be2a
n5fa819ceda176a38--tuplet--stop--1,n15--tuplet--stop--1,tuplet,stamp,n5fa819ceda176a38
nba356a2adb8da9b5--tuplet--start--1,n16--tuplet--start--1,tuplet,stamp,nba356a2adb8da9b5
nf3d5d62e7cb6a11c--tuplet--stop--1,n21--tuplet--stop--1,tuplet,stamp,nf3d5d62e7cb6a11c
nf3d5d62e7cb6a11c--slur--stop--1,n21--slur--stop--1,slur,stamp,nf3d5d62e7cb6a11c
n0dfff0578ba5ed35--tuplet--start--1,n22--tuplet--start--1,tuplet,stamp,n0dfff0578ba5ed35
n0dfff0578ba5ed35--slur--start--1,n22--slur--start--1,slur,stamp,n0dfff0578ba5ed35
n72f29a51682696ef--tuplet--stop--1,n27--tuplet--stop--1,tuplet,stamp,n72f29a51682696ef
n7373ce8cacc2b094--tuplet--start--1,n28--tuplet--start--1,tuplet,stamp,n7373ce8cacc2b094
n7efdc75089a217ec--tuplet--stop--1,n33--tuplet--stop--1,tuplet,stamp,n7efdc75089a217ec
n7efdc75089a217ec--slur--stop--1,n33--slur--stop--1,slur,stamp,n7efdc75089a217ec
e3abc2c7af74bcf7b,md-1-1-1-1,dynamics,md,1
ed7afbbd93cbff288,md-1-1-1-2,words,md,1
e10822231453bca22,md-1-1-1-3,words,md,1
e24b72de3c44993ed,md-1-1-1-4,words,md,1
ec6072a53b64c5275,md-1-1-2-1,pedal,md,2
e5de6b4b3f96322c3,md-1-1-2-2,pedal,md,2
nee0f3245397041a9--slur--start--1,n35--slur--start--1,slur,stamp,nee0f3245397041a9
n28197d96aca33b1f--tie--1,,tie,derive,n28197d96aca33b1f
n28197d96aca33b1f--tied--start--1,n37--tied--start--1,tied,stamp,n28197d96aca33b1f
n6b1a6af4eadc2e96--tie--1,,tie,derive,n6b1a6af4eadc2e96
n6b1a6af4eadc2e96--tied--stop--1,n38--tied--stop--1,tied,stamp,n6b1a6af4eadc2e96
n6b1a6af4eadc2e96--tuplet--start--1,n38--tuplet--start--1,tuplet,stamp,n6b1a6af4eadc2e96
n5b7cdfb52de4e931--tuplet--stop--1,n41--tuplet--stop--1,tuplet,stamp,n5b7cdfb52de4e931
n5b7cdfb52de4e931--slur--stop--1,n41--slur--stop--1,slur,stamp,n5b7cdfb52de4e931
n7f04370034c7e63b--tuplet--start--1,n43--tuplet--start--1,tuplet,stamp,n7f04370034c7e63b
n7f04370034c7e63b--slur--start--1,n43--slur--start--1,slur,stamp,n7f04370034c7e63b
na34cecef7b5ece30--tuplet--stop--1,n48--tuplet--stop--1,tuplet,stamp,na34cecef7b5ece30
nfbc8caa32b1fc8ca--tuplet--start--1,n49--tuplet--start--1,tuplet,stamp,nfbc8caa32b1fc8ca
nd6d8c3ab969ef00e--tuplet--stop--1,n54--tuplet--stop--1,tuplet,stamp,nd6d8c3ab969ef00e
nd6d8c3ab969ef00e--slur--stop--1,n54--slur--stop--1,slur,stamp,nd6d8c3ab969ef00e
n5b3916356e1d0b90--tuplet--start--1,n55--tuplet--start--1,tuplet,stamp,n5b3916356e1d0b90
n5b3916356e1d0b90--slur--start--1,n55--slur--start--1,slur,stamp,n5b3916356e1d0b90
n1f3ddeb4fe21b99d--tuplet--stop--1,n60--tuplet--stop--1,tuplet,stamp,n1f3ddeb4fe21b99d
n6a02151d07020487--tuplet--start--1,n61--tuplet--start--1,tuplet,stamp,n6a02151d07020487
n82b7bf7597f17207--tuplet--stop--1,n66--tuplet--stop--1,tuplet,stamp,n82b7bf7597f17207
n82b7bf7597f17207--slur--stop--1,n66--slur--stop--1,slur,stamp,n82b7bf7597f17207
e699879083a2fa0df,md-1-2-2-1,pedal,md,2
e3d5eb5bd3c76d65b,md-1-2-2-2,pedal,md,2
n19d1e8af1f930242--slur--start--1,n68--slur--start--1,slur,stamp,n19d1e8af1f930242
ncddc0f3f3531757a--tie--1,,tie,derive,ncddc0f3f3531757a
ncddc0f3f3531757a--tied--start--1,n70--tied--start--1,tied,stamp,ncddc0f3f3531757a
nbbc47cfc29be7d07--tie--1,,tie,derive,nbbc47cfc29be7d07
nbbc47cfc29be7d07--tied--start--1,n71--tied--start--1,tied,stamp,nbbc47cfc29be7d07
n21d88666a487014c--tie--1,,tie,derive,n21d88666a487014c
n21d88666a487014c--tied--stop--1,n72--tied--stop--1,tied,stamp,n21d88666a487014c
n21d88666a487014c--tuplet--start--1,n72--tuplet--start--1,tuplet,stamp,n21d88666a487014c
n1851a527a0f95c63--tie--1,,tie,derive,n1851a527a0f95c63
n1851a527a0f95c63--tied--stop--1,n73--tied--stop--1,tied,stamp,n1851a527a0f95c63
nac1c80b990d44a29--tuplet--stop--1,n76--tuplet--stop--1,tuplet,stamp,nac1c80b990d44a29
nac1c80b990d44a29--slur--stop--1,n76--slur--stop--1,slur,stamp,nac1c80b990d44a29
n80d8e452fabef527--tuplet--start--1,n78--tuplet--start--1,tuplet,stamp,n80d8e452fabef527
