note_id,original_id,printed_bar
na3645d3416ff89ba,n1,1
n85c49cefee088f1a,n2,1
nab951ae5ec7852b5,n3,1
nd7c1eef36fe932b6,n4,1
nf32ac7ba4207450c,n5,1
nd74ca5506dac56ab,n6,1
n14ecb9df1b5002df,n7,1
n1b67a2a30996f038,n8,1
n3a3b9243e850cad2,n9,1
nd3531738cc0bfe3b,n10,1
n72c5580e1551c237,n11,1
n907df5d293e4f4f1,n12,1
n9712c00b29d7600f,n13,1
n1f0c42452c7fba25,r1,1
nea6c9073854c9d89,n14,1
n49826f299104c60a,n15,1
n56c987df15029392,n16,1
n66fdd5c5ece941bd,n17,1
ncae0e7ec3634d539,n18,1
n0bc7273135f431a4,n19,2
na4329a199ef28de1,n20,2
n7e560098296c1d6d,n21,2
n1edf2c6d4bd130ea,n22,2
necbc3c326b153905,n23,2
n48056107b26ca97b,n24,2
ned370e1d5088ce71,n25,2
nd260bb5483a7fee5,n26,2
nd7b28a50df643e0e,n27,2
n06eb2442156c8900,n28,2
n44ad3edf36ec628f,n29,2
n229e03f86f38b0b7,n30,2
ne1ce7806b6eb793c,n31,2
nc3e221f1fbf9fc6b,r2,2
n18b713c76abff066,n32,2
neeb833b18b1c691f,n33,2
n3307e3b4fb652962,n34,2
ncce0f16ed7fddce5,n35,2
ne4eaf18ed3e06c61,n36,2
n8d53bfbc7935dfd7,n37,3
n455a1cb4947ad8f3,n38,3
nac19e3f21069bed2,n39,3
n43d938e30fd4aa0b,n40,3
n7e654cff449b6cf6,n41,3
nb81cfd31ed846235,n42,3
n551b075bd26ef8cc,n43,3
n1ff652272c462e81,n44,3
n13af33fe30d02fa9,n45,3
n8cb80b4f28197fd0,n46,3
n79bc37ecb91e5a0b,n47,3
nf0e4a4dd853b89da,n48,3
ndeb50bd9e3012acf,n49,3
n79051ba7524c249e,r3,3
n4c89e20e28c23a27,n50,3
n067c59b04ae0825e,n51,3
n85025c65048fd18a,n52,3
nacf21712eed181a0,n53,3
nb27ca05947a26fd6,n54,3
nf125b7771bf02b0c,n55,4
nc50e81270c06cef1,n56,4
n50d987ad69286808,n57,4
n3bacde8a2a370ce8,n58,4
ndb002cc0fcee09c7,n59,4
na7162275765a331c,n60,4
n9cb3bfabd9f4a380,n61,4
n1ac2115003d06e61,n62,4
n4ac0deeaec85f5df,n63,4
nc876b403011e01f5,n64,4
nccdb8a183a701bd9,n65,4
n3ddce628440fa2fe,n66,4
n5e780c9d2f80e481,n67,4
n9b5aa4dc4eb98afd,r4,4
nf683e27ddbe7529a,n68,4
n4e1e88548cd277ab,n69,4
n80dc5204e900537f,n70,4
nf5b4e3dab8e74d8c,n71,4
n29ef039c2d685290,n72,4
n48b1f48488ba08a7,n73,5
n9de539d74bcbb291,n74,5
n6adb23817f420807,n75,5
nb4948127f442ed70,n76,5
