element_id,original_id,tag,carrier,host_or_staff
n1--tie--1,,tie,derive,n1
n1--tied--start--1,,tied,stamp,n1
n1--slur--start--1,,slur,stamp,n1
n2--tie--1,,tie,derive,n2
n2--tied--stop--1,,tied,stamp,n2
n6--staccato--1,,staccato,derive,n6
n7--staccato--1,,staccato,derive,n7
n8--staccato--1,,staccato,derive,n8
n9--staccato--1,,staccato,derive,n9
n10--staccato--1,,staccato,derive,n10
n11--staccato--1,,staccato,derive,n11
n12--staccato--1,,staccato,derive,n12
n13--staccato--1,,staccato,derive,n13
n15--slur--start--1,,slur,stamp,n15
n15--staccato--1,,staccato,derive,n15
n17--staccato--1,,staccato,derive,n17
n19--staccato--1,,staccato,derive,n19
md-1-1-1-1,,words,md,1
md-1-1-1-2,,metronome,md,1
md-1-1-1-3,,dynamics,md,1
n26--slur--stop--1,,slur,stamp,n26
n27--staccato--1,,staccato,derive,n27
n28--staccato--1,,staccato,derive,n28
n29--staccato--1,,staccato,derive,n29
n30--staccato--1,,staccato,derive,n30
n31--staccato--1,,staccato,derive,n31
n32--staccato--1,,staccato,derive,n32
n35--staccato--1,,staccato,derive,n35
n35--tenuto--1,,tenuto,derive,n35
n37--staccato--1,,staccato,derive,n37
n37--tenuto--1,,tenuto,derive,n37
n41--slur--stop--1,,slur,stamp,n41
n43--tie--1,,tie,derive,n43
n43--tied--start--1,,tied,stamp,n43
n43--slur--start--1,,slur,stamp,n43
n44--tie--1,,tie,derive,n44
n44--tied--stop--1,,tied,stamp,n44
n57--slur--start--1,,slur,stamp,n57
n57--staccato--1,,staccato,derive,n57
n57--tenuto--1,,tenuto,derive,n57
n59--staccato--1,,staccato,derive,n59
n59--tenuto--1,,tenuto,derive,n59
n61--staccato--1,,staccato,derive,n61
n61--tenuto--1,,tenuto,derive,n61
n63--slur--stop--1,,slur,stamp,n63
n63--slur--start--2,,slur,stamp,n63
n65--tie--1,,tie,derive,n65
n65--tied--start--1,,tied,stamp,n65
n66--tie--1,,tie,derive,n66
n66--tied--stop--1,,tied,stamp,n66
n78--staccato--1,,staccato,derive,n78
n78--tenuto--1,,tenuto,derive,n78
n80--staccato--1,,staccato,derive,n80
n82--staccato--1,,staccato,derive,n82
n84--staccato--1,,staccato,derive,n84
n88--tie--1,,tie,derive,n88
n88--tied--start--1,,tied,stamp,n88
n89--tie--1,,tie,derive,n89
n89--tied--stop--1,,tied,stamp,n89
n101--staccato--1,,staccato,derive,n101
n103--staccato--1,,staccato,derive,n103
n105--staccato--1,,staccato,derive,n105
n107--staccato--1,,staccato,derive,n107
n109--slur--stop--1,,slur,stamp,n109
n111--slur--start--1,,slur,stamp,n111
n111--tenuto--1,,tenuto,derive,n111
n114--tenuto--1,,tenuto,derive,n114
n117--tenuto--1,,tenuto,derive,n117
n125--slur--stop--1,,slur,stamp,n125
n125--staccato--1,,staccato,derive,n125
n128--slur--start--1,,slur,stamp,n128
md-1-6-1-1,,words,md,1
md-1-6-1-2,,dynamics,md,1
n131--slur--stop--1,,slur,stamp,n131
n131--tenuto--1,,tenuto,derive,n131
n137--tuplet--start--1,,tuplet,stamp,n137
n141--tie--1,,tie,derive,n141
n141--tied--start--1,,tied,stamp,n141
n142--tuplet--stop--1,,tuplet,stamp,n142
n143--tie--1,,tie,derive,n143
n143--tied--start--1,,tied,stamp,n143
n143--slur--stop--1,,slur,stamp,n143
n145--tie--1,,tie,derive,n145
n145--tied--stop--1,,tied,stamp,n145
md-1-7-1-1,,wedge,md,1
md-1-7-1-2,,wedge,md,1
n146--tie--1,,tie,derive,n146
n146--tie--2,,tie,derive,n146
n146--tied--stop--1,,tied,stamp,n146
n146--tied--start--2,,tied,stamp,n146
n147--tie--1,,tie,derive,n147
n147--tied--stop--1,,tied,stamp,n147
n151--staccato--1,,staccato,derive,n151
n152--staccato--1,,staccato,derive,n152
n153--staccato--1,,staccato,derive,n153
n159--tie--1,,tie,derive,n159
n159--tied--start--1,,tied,stamp,n159
n159--slur--start--1,,slur,stamp,n159
n159--accent--1,,accent,derive,n159
n160--tie--1,,tie,derive,n160
n160--tied--stop--1,,tied,stamp,n160
md-1-8-1-1,,dynamics,md,1
md-1-8-1-2,,words,md,1
n164--tenuto--1,,tenuto,derive,n164
n165--tenuto--1,,tenuto,derive,n165
n166--tenuto--1,,tenuto,derive,n166
n167--tenuto--1,,tenuto,derive,n167
n177--tie--1,,tie,derive,n177
n177--tied--start--1,,tied,stamp,n177
n178--tie--1,,tie,derive,n178
n178--tied--start--1,,tied,stamp,n178
n179--tie--1,,tie,derive,n179
n179--tie--2,,tie,derive,n179
n179--tied--stop--1,,tied,stamp,n179
n179--tied--start--2,,tied,stamp,n179
n180--tie--1,,tie,derive,n180
n180--tie--2,,tie,derive,n180
n180--tied--stop--1,,tied,stamp,n180
n180--tied--start--2,,tied,stamp,n180
n181--tie--1,,tie,derive,n181
n181--tied--stop--1,,tied,stamp,n181
n182--tie--1,,tie,derive,n182
n182--tied--stop--1,,tied,stamp,n182
n187--slur--start--1,,slur,stamp,n187
n189--slur--start--1,,slur,stamp,n189
n189--staccato--1,,staccato,derive,n189
n192--staccato--1,,staccato,derive,n192
n194--staccato--1,,staccato,derive,n194
n195--staccato--1,,staccato,derive,n195
n196--staccato--1,,staccato,derive,n196
n197--slur--stop--1,,slur,stamp,n197
n197--slur--start--2,,slur,stamp,n197
n197--staccato--1,,staccato,derive,n197
n197--tenuto--1,,tenuto,derive,n197
n198--staccato--1,,staccato,derive,n198
n198--tenuto--1,,tenuto,derive,n198
n200--staccato--1,,staccato,derive,n200
n200--tenuto--1,,tenuto,derive,n200
n201--slur--stop--1,,slur,stamp,n201
n203--slur--start--1,,slur,stamp,n203
n203--staccato--1,,staccato,derive,n203
n203--tenuto--1,,tenuto,derive,n203
n205--staccato--1,,staccato,derive,n205
n205--tenuto--1,,tenuto,derive,n205
n207--staccato--1,,staccato,derive,n207
n207--tenuto--1,,tenuto,derive,n207
n209--staccato--1,,staccato,derive,n209
n209--tenuto--1,,tenuto,derive,n209
md-1-10-1-1,,words,md,1
md-1-10-1-2,,dynamics,md,1
n211--slur--stop--1,,slur,stamp,n211
n211--staccato--1,,staccato,derive,n211
n214--tenuto--1,,tenuto,derive,n214
n215--tenuto--1,,tenuto,derive,n215
n217--tenuto--1,,tenuto,derive,n217
n218--slur--stop--1,,slur,stamp,n218
n218--staccato--1,,staccato,derive,n218
n218--tenuto--1,,tenuto,derive,n218
n219--tenuto--1,,tenuto,derive,n219
n220--tenuto--1,,tenuto,derive,n220
n221--tenuto--1,,tenuto,derive,n221
n222--tuplet--start--1,,tuplet,stamp,n222
n222--tenuto--1,,tenuto,derive,n222
n223--tenuto--1,,tenuto,derive,n223
n224--tuplet--stop--1,,tuplet,stamp,n224
n224--tenuto--1,,tenuto,derive,n224
n225--slur--stop--1,,slur,stamp,n225
n225--staccato--1,,staccato,derive,n225
n225--tenuto--1,,tenuto,derive,n225
n230--tenuto--1,,tenuto,derive,n230
n232--tenuto--1,,tenuto,derive,n232
md-1-11-1-1,,words,md,1
n234--tenuto--1,,tenuto,derive,n234
n236--slur--start--1,,slur,stamp,n236
n236--staccato--1,,staccato,derive,n236
n238--staccato--1,,staccato,derive,n238
n240--staccato--1,,staccato,derive,n240
n242--slur--stop--1,,slur,stamp,n242
n242--staccato--1,,staccato,derive,n242
n245--tenuto--1,,tenuto,derive,n245
md-1-12-1-1,,words,md,1
md-1-12-1-2,,words,md,1
md-1-12-1-3,,dynamics,md,1
n250--tie--1,,tie,derive,n250
n250--tied--start--1,,tied,stamp,n250
n251--tie--1,,tie,derive,n251
n251--tied--stop--1,,tied,stamp,n251
n261--slur--start--1,,slur,stamp,n261
n261--staccato--1,,staccato,derive,n261
n264--staccato--1,,staccato,derive,n264
n267--staccato--1,,staccato,derive,n267
n270--staccato--1,,staccato,derive,n270
n273--slur--stop--1,,slur,stamp,n273
n273--staccato--1,,staccato,derive,n273
n276--slur--start--1,,slur,stamp,n276
n279--staccato--1,,staccato,derive,n279
n279--tenuto--1,,tenuto,derive,n279
n281--staccato--1,,staccato,derive,n281
n281--tenuto--1,,tenuto,derive,n281
md-1-13-1-1,,dynamics,md,1
md-1-13-1-2,,words,md,1
md-1-13-1-3,,words,md,1
n284--tie--1,,tie,derive,n284
n284--tied--start--1,,tied,stamp,n284
n285--tie--1,,tie,derive,n285
n285--tied--stop--1,,tied,stamp,n285
n286--slur--stop--1,,slur,stamp,n286
n286--slur--start--2,,slur,stamp,n286
n286--staccato--1,,staccato,derive,n286
n289--staccato--1,,staccato,derive,n289
n292--staccato--1,,staccato,derive,n292
n295--staccato--1,,staccato,derive,n295
n298--slur--stop--1,,slur,stamp,n298
n298--staccato--1,,staccato,derive,n298
n307--slur--start--1,,slur,stamp,n307
n310--staccato--1,,staccato,derive,n310
n310--tenuto--1,,tenuto,derive,n310
md-1-14-1-1,,words,md,1
n312--slur--start--1,,slur,stamp,n312
n313--tie--1,,tie,derive,n313
n313--tied--start--1,,tied,stamp,n313
n314--tie--1,,tie,derive,n314
n314--tied--stop--1,,tied,stamp,n314
n324--slur--stop--1,,slur,stamp,n324
n324--slur--start--2,,slur,stamp,n324
n324--staccato--1,,staccato,derive,n324
n327--staccato--1,,staccato,derive,n327
n330--staccato--1,,staccato,derive,n330
n333--staccato--1,,staccato,derive,n333
n336--slur--stop--1,,slur,stamp,n336
n336--staccato--1,,staccato,derive,n336
n339--slur--start--1,,slur,stamp,n339
n341--slur--stop--1,,slur,stamp,n341
n342--staccato--1,,staccato,derive,n342
n342--tenuto--1,,tenuto,derive,n342
n344--staccato--1,,staccato,derive,n344
n344--tenuto--1,,tenuto,derive,n344
n348--slur--stop--1,,slur,stamp,n348
n349--staccato--1,,staccato,derive,n349
n352--staccato--1,,staccato,derive,n352
n355--staccato--1,,staccato,derive,n355
n358--staccato--1,,staccato,derive,n358
n361--slur--start--1,,slur,stamp,n361
n361--staccato--1,,staccato,derive,n361
n364--staccato--1,,staccato,derive,n364
n367--staccato--1,,staccato,derive,n367
n370--slur--stop--1,,slur,stamp,n370
n370--staccato--1,,staccato,derive,n370
n373--staccato--1,,staccato,derive,n373
n373--tenuto--1,,tenuto,derive,n373
n375--slur--start--1,,slur,stamp,n375
n376--tie--1,,tie,derive,n376
n376--tied--start--1,,tied,stamp,n376
n377--tie--1,,tie,derive,n377
n377--tied--stop--1,,tied,stamp,n377
n387--slur--start--1,,slur,stamp,n387
n387--staccato--1,,staccato,derive,n387
n390--staccato--1,,staccato,derive,n390
n393--staccato--1,,staccato,derive,n393
n396--slur--stop--1,,slur,stamp,n396
n396--staccato--1,,staccato,derive,n396
n399--slur--start--1,,slur,stamp,n399
n399--staccato--1,,staccato,derive,n399
n402--staccato--1,,staccato,derive,n402
n403--staccato--1,,staccato,derive,n403
n404--slur--stop--1,,slur,stamp,n404
n404--staccato--1,,staccato,derive,n404
n405--staccato--1,,staccato,derive,n405
n405--tenuto--1,,tenuto,derive,n405
n406--staccato--1,,staccato,derive,n406
n406--tenuto--1,,tenuto,derive,n406
md-1-17-1-1,,wedge,md,1
md-1-17-1-2,,wedge,md,1
md-1-17-2-1,,wedge,md,2
md-1-17-2-2,,wedge,md,2
n407--tenuto--1,,tenuto,derive,n407
n410--slur--stop--1,,slur,stamp,n410
n410--tenuto--1,,tenuto,derive,n410
n413--slur--start--1,,slur,stamp,n413
n413--tenuto--1,,tenuto,derive,n413
n416--tenuto--1,,tenuto,derive,n416
n419--tenuto--1,,tenuto,derive,n419
n422--tenuto--1,,tenuto,derive,n422
n424--tenuto--1,,tenuto,derive,n424
n426--tenuto--1,,tenuto,derive,n426
n428--tenuto--1,,tenuto,derive,n428
n430--tenuto--1,,tenuto,derive,n430
md-1-18-2-1,,dynamics,md,2
md-1-18-2-2,,words,md,2
n432--tenuto--1,,tenuto,derive,n432
n435--slur--stop--1,,slur,stamp,n435
n435--tenuto--1,,tenuto,derive,n435
n438--tenuto--1,,tenuto,derive,n438
n440--tenuto--1,,tenuto,derive,n440
md-1-19-1-1,,wedge,md,1
md-1-19-1-2,,wedge,md,1
n443--tie--1,,tie,derive,n443
n443--tied--start--1,,tied,stamp,n443
n444--tie--1,,tie,derive,n444
n444--tied--stop--1,,tied,stamp,n444
n454--slur--start--1,,slur,stamp,n454
n454--staccato--1,,staccato,derive,n454
n457--staccato--1,,staccato,derive,n457
n460--staccato--1,,staccato,derive,n460
n463--staccato--1,,staccato,derive,n463
n466--slur--stop--1,,slur,stamp,n466
n466--staccato--1,,staccato,derive,n466
n469--slur--start--1,,slur,stamp,n469
md-1-20-1-1,,dynamics,md,1
n475--tie--1,,tie,derive,n475
n475--tied--start--1,,tied,stamp,n475
n476--tie--1,,tie,derive,n476
n476--tied--stop--1,,tied,stamp,n476
n477--slur--stop--1,,slur,stamp,n477
n477--slur--start--2,,slur,stamp,n477
n477--staccato--1,,staccato,derive,n477
n480--staccato--1,,staccato,derive,n480
n483--staccato--1,,staccato,derive,n483
n486--staccato--1,,staccato,derive,n486
n489--slur--stop--1,,slur,stamp,n489
n489--staccato--1,,staccato,derive,n489
n498--slur--start--1,,slur,stamp,n498
n503--slur--start--1,,slur,stamp,n503
n504--tie--1,,tie,derive,n504
n504--tied--start--1,,tied,stamp,n504
n505--tie--1,,tie,derive,n505
n505--tied--stop--1,,tied,stamp,n505
n515--slur--stop--1,,slur,stamp,n515
n515--slur--start--2,,slur,stamp,n515
n515--staccato--1,,staccato,derive,n515
n518--staccato--1,,staccato,derive,n518
n521--staccato--1,,staccato,derive,n521
n524--staccato--1,,staccato,derive,n524
n527--slur--stop--1,,slur,stamp,n527
n527--staccato--1,,staccato,derive,n527
n530--slur--start--1,,slur,stamp,n530
md-1-22-1-1,,wedge,md,1
md-1-22-1-2,,wedge,md,1
n537--slur--stop--1,,slur,stamp,n537
n538--slur--stop--1,,slur,stamp,n538
n538--slur--start--2,,slur,stamp,n538
n538--staccato--1,,staccato,derive,n538
n541--staccato--1,,staccato,derive,n541
n544--staccato--1,,staccato,derive,n544
n547--slur--stop--1,,slur,stamp,n547
n547--staccato--1,,staccato,derive,n547
n550--slur--start--1,,slur,stamp,n550
n550--staccato--1,,staccato,derive,n550
n553--staccato--1,,staccato,derive,n553
n556--staccato--1,,staccato,derive,n556
n559--slur--stop--1,,slur,stamp,n559
n559--staccato--1,,staccato,derive,n559
md-1-23-1-1,,wedge,md,1
md-1-23-1-2,,wedge,md,1
n567--slur--start--1,,slur,stamp,n567
n568--tie--1,,tie,derive,n568
n568--tied--start--1,,tied,stamp,n568
n569--tie--1,,tie,derive,n569
n569--tied--stop--1,,tied,stamp,n569
n579--slur--start--1,,slur,stamp,n579
n579--staccato--1,,staccato,derive,n579
n582--staccato--1,,staccato,derive,n582
n585--staccato--1,,staccato,derive,n585
n588--staccato--1,,staccato,derive,n588
n591--slur--stop--1,,slur,stamp,n591
n591--staccato--1,,staccato,derive,n591
n594--slur--start--1,,slur,stamp,n594
md-1-24-1-1,,wedge,md,1
md-1-24-1-2,,wedge,md,1
md-1-24-2-1,,dynamics,md,2
n601--slur--stop--1,,slur,stamp,n601
n601--tenuto--1,,tenuto,derive,n601
n605--slur--stop--1,,slur,stamp,n605
n605--tenuto--1,,tenuto,derive,n605
n609--slur--start--1,,slur,stamp,n609
n609--tenuto--1,,tenuto,derive,n609
n612--tenuto--1,,tenuto,derive,n612
n616--tenuto--1,,tenuto,derive,n616
md-1-25-2-1,,dynamics,md,2
n630--slur--start--1,,slur,stamp,n630
n634--slur--stop--1,,slur,stamp,n634
n634--slur--stop--2,,slur,stamp,n634
n638--slur--start--1,,slur,stamp,n638
n638--accent--1,,accent,derive,n638
n641--tie--1,,tie,derive,n641
n641--tied--start--1,,tied,stamp,n641
n641--accent--1,,accent,derive,n641
n642--tie--1,,tie,derive,n642
n642--tied--start--1,,tied,stamp,n642
n643--tie--1,,tie,derive,n643
n643--tied--start--1,,tied,stamp,n643
n644--slur--start--1,,slur,stamp,n644
n646--slur--stop--1,,slur,stamp,n646
n649--accent--1,,accent,derive,n649
n651--tie--1,,tie,derive,n651
n651--tied--start--1,,tied,stamp,n651
n651--accent--1,,accent,derive,n651
n652--tie--1,,tie,derive,n652
n652--tied--start--1,,tied,stamp,n652
md-1-26-1-1,,words,md,1
