note_id,original_id,printed_bar
n3ffa2c564eb05701,n1,1
nd45456c8cdbba521,n2,1
n72c5580e1551c237,n3,1
n14ecb9df1b5002df,n4,1
nd74ca5506dac56ab,n5,1
nf9c36ed43c36a3c9,n6,1
n9712c00b29d7600f,n7,1
n6305bf83bba3ab10,n8,1
nea6c9073854c9d89,n9,1
n753b2ed5aa78c16a,n10,1
nd624dc6c9f8e9e09,n11,1
n90555ff2bab77f32,n12,1
n5dd4615af958d45c,n13,1
n5243892700411aee,n14,1
n2cdc9dd33b10ff7d,n15,1
na3645d3416ff89ba,n16,1
n0492a10c66216e08,n17,1
nf32ac7ba4207450c,n18,1
n1d41d64271c37c34,n19,1
n3a3b9243e850cad2,n20,1
n822d4bb3da240334,n21,2
nd260bb5483a7fee5,n22,2
nddd1a51f1a5e2fc0,n23,2
ne4d202453d9fc277,n24,2
n714ab8307dd69e96,n25,2
n3c11ba575f9dcf09,n26,2
nb7fa49dbb4c4c865,n27,2
n755ac5c42570da7d,n28,2
n40cc93caf124b911,n29,2
nbb268a4b8389b292,n30,2
ncce0f16ed7fddce5,n31,2
nba75fbc4abeb3093,n32,2
n2869778db6fac086,n33,2
n961e1cb5123fdf2c,n34,2
n2b7ab5ce2be3b3dd,n35,2
n0bc7273135f431a4,n36,2
n12304bc6d38083fb,n37,2
necbc3c326b153905,n38,2
nb2cb00f2d66705c2,n39,2
n48056107b26ca97b,n40,2
na2ced6536b093371,n41,2
nc3e221f1fbf9fc6b,n42,2
n484f0c70873fa53c,n43,3
nad433949a7d46829,n44,3
n881d1f9bdee7d909,n45,3
n79bc37ecb91e5a0b,n46,3
n277703b6faab2817,n47,3
nda66e966a095160d,n48,3
nb81cfd31ed846235,n49,3
n8f182582ef2ea5fe,n50,3
n24390023981ddc31,n51,3
n408d9af94f9fca4d,n52,3
nca98506bf6ad4d2f,n53,3
n25d62c8aec991787,n54,3
n481be2659a7d9cbf,n55,3
na9b3fff5f538b8be,n56,3
ncab6cf1d09fa827c,n57,3
n8d53bfbc7935dfd7,n58,3
n67dadcd0cddebd0a,n59,3
n7e654cff449b6cf6,n60,3
nf36ce57d1f355918,n61,3
n13af33fe30d02fa9,n62,3
n1c74d15b870b6113,n63,4
necff1b4fbaf526f4,n64,4
n7951028019d2be00,n65,4
n91e19694bc2ae409,n66,4
nda783d6998bd382e,n67,4
n15d8509c7a71e444,n68,4
n6ffbf99070734cca,n69,4
n80dc5204e900537f,n70,4
n5e780c9d2f80e481,n71,4
nb0847cb0ecfe94fd,n72,4
nf683e27ddbe7529a,n73,4
n0093c0326c65aa55,n74,4
nf10da1ab4fc3aa59,n75,4
nf3e979ad4d486bc0,n76,4
n63e4a370f8e443bd,n77,4
na2166cf30c099e70,n78,4
nf125b7771bf02b0c,n79,4
nca044366639fbdd2,n80,4
ndb002cc0fcee09c7,n81,4
n2ffc5fa36abed8b9,n82,4
na7162275765a331c,n83,4
nf0b97ccb954eb9a0,n84,4
n9b5aa4dc4eb98afd,n85,4
n3ae03736ce20d851,n86,5
naa668d9e2732538d,n87,5
nc3f04e9e4bf562f2,n88,5
n1c3b10b998e253f9,n89,5
nd9e1a6eac227098b,n90,5
n729603f1d607f302,n91,5
n964082f3f5e1b5f9,n92,5
ncae26ab59c161c1b,n93,5
nf2abbcebf96f3711,n94,5
n7ca23e0f6775da8d,n95,5
n7442abc42be7ddba,n96,5
n4cd3e642cb74c45b,n97,5
n83c0b473e4a89b48,n98,5
n01a45b211f387986,n99,5
n0afbc1fa69f61e6d,n100,5
n84056ea11c8910ca,n101,5
n48b1f48488ba08a7,n102,5
