element_id,original_id,tag,carrier,host_or_staff
n3dad93b297f94b74--tie--1,,tie,derive,n3dad93b297f94b74
n3dad93b297f94b74--tied--start--1,n1--tied--start--1,tied,stamp,n3dad93b297f94b74
n3dad93b297f94b74--slur--start--1,n1--slur--start--1,slur,stamp,n3dad93b297f94b74
ne3c26e5e8a0aef80--tie--1,,tie,derive,ne3c26e5e8a0aef80
ne3c26e5e8a0aef80--tied--start--1,n2--tied--start--1,tied,stamp,ne3c26e5e8a0aef80
n9712c00b29d7600f--tie--1,,tie,derive,n9712c00b29d7600f
n9712c00b29d7600f--tied--stop--1,n4--tied--stop--1,tied,stamp,n9712c00b29d7600f
n9712c00b29d7600f--slur--stop--1,n4--slur--stop--1,slur,stamp,n9712c00b29d7600f
n14ecb9df1b5002df--tie--1,,tie,derive,n14ecb9df1b5002df
n14ecb9df1b5002df--tied--stop--1,n5--tied--stop--1,tied,stamp,n14ecb9df1b5002df
nea6c9073854c9d89--slur--start--1,n7--slur--start--1,slur,stamp,nea6c9073854c9d89
nea6c9073854c9d89--staccato--1,,staccato,derive,nea6c9073854c9d89
n56c987df15029392--staccato--1,,staccato,derive,n56c987df15029392
n2eb1e99ff6e8e4d3--slur--stop--1,n13--slur--stop--1,slur,stamp,n2eb1e99ff6e8e4d3
n2eb1e99ff6e8e4d3--staccato--1,,staccato,derive,n2eb1e99ff6e8e4d3
n96055867ad267e62--tie--1,,tie,derive,n96055867ad267e62
n96055867ad267e62--tied--start--1,n16--tied--start--1,tied,stamp,n96055867ad267e62
n96055867ad267e62--slur--start--1,n16--slur--start--1,slur,stamp,n96055867ad267e62
ne576884c937f32d2--tie--1,,tie,derive,ne576884c937f32d2
ne576884c937f32d2--tied--start--1,n17--tied--start--1,tied,stamp,ne576884c937f32d2
n1ebd4923ac63c370--tie--1,,tie,derive,n1ebd4923ac63c370
n1ebd4923ac63c370--tied--stop--1,n19--tied--stop--1,tied,stamp,n1ebd4923ac63c370
n1ebd4923ac63c370--slur--stop--1,n19--slur--stop--1,slur,stamp,n1ebd4923ac63c370
nabfb9ab928e8e951--tie--1,,tie,derive,nabfb9ab928e8e951
nabfb9ab928e8e951--tied--stop--1,n20--tied--stop--1,tied,stamp,nabfb9ab928e8e951
n86986c23833ea77f--slur--start--1,n22--slur--start--1,slur,stamp,n86986c23833ea77f
n86986c23833ea77f--staccato--1,,staccato,derive,n86986c23833ea77f
n02e29ba628129aac--slur--stop--1,n28--slur--stop--1,slur,stamp,n02e29ba628129aac
n02e29ba628129aac--staccato--1,,staccato,derive,n02e29ba628129aac
eb3798596bef0631f,md-1-1-1-2,words,md,1
e3abc2c7af74bcf7b,md-1-1-1-3,dynamics,md,1
e9218fa8997619e0a,md-1-1-1-4,wedge,md,1
e43d9ba33ad423a60,md-1-1-1-5,wedge,md,1
ne1ce7806b6eb793c--slur--start--1,n33--slur--start--1,slur,stamp,ne1ce7806b6eb793c
n18b713c76abff066--slur--stop--1,n35--slur--stop--1,slur,stamp,n18b713c76abff066
na2ced6536b093371--slur--start--1,n38--slur--start--1,slur,stamp,na2ced6536b093371
na2ced6536b093371--staccato--1,,staccato,derive,na2ced6536b093371
nfb351f1289a973d2--staccato--1,,staccato,derive,nfb351f1289a973d2
nba693f96b7c6f1a9--slur--stop--1,n42--slur--stop--1,slur,stamp,nba693f96b7c6f1a9
nba693f96b7c6f1a9--staccato--1,,staccato,derive,nba693f96b7c6f1a9
na4bc3623f055a209--tie--1,,tie,derive,na4bc3623f055a209
na4bc3623f055a209--tied--start--1,n44--tied--start--1,tied,stamp,na4bc3623f055a209
na4bc3623f055a209--slur--start--1,n44--slur--start--1,slur,stamp,na4bc3623f055a209
nf28be27658133faa--tie--1,,tie,derive,nf28be27658133faa
nf28be27658133faa--tied--start--1,n45--tied--start--1,tied,stamp,nf28be27658133faa
nfdf0ce752f843f01--tie--1,,tie,derive,nfdf0ce752f843f01
nfdf0ce752f843f01--tied--start--1,n46--tied--start--1,tied,stamp,nfdf0ce752f843f01
nb81cfd31ed846235--tie--1,,tie,derive,nb81cfd31ed846235
nb81cfd31ed846235--tied--stop--1,n47--tied--stop--1,tied,stamp,nb81cfd31ed846235
nb81cfd31ed846235--slur--stop--1,n47--slur--stop--1,slur,stamp,nb81cfd31ed846235
n277703b6faab2817--tie--1,,tie,derive,n277703b6faab2817
n277703b6faab2817--tied--stop--1,n48--tied--stop--1,tied,stamp,n277703b6faab2817
n24390023981ddc31--slur--start--1,n50--slur--start--1,slur,stamp,n24390023981ddc31
n24390023981ddc31--staccato--1,,staccato,derive,n24390023981ddc31
nca98506bf6ad4d2f--staccato--1,,staccato,derive,nca98506bf6ad4d2f
n481be2659a7d9cbf--slur--stop--1,n56--slur--stop--1,slur,stamp,n481be2659a7d9cbf
n481be2659a7d9cbf--staccato--1,,staccato,derive,n481be2659a7d9cbf
na7ba99bde783ca2a--tie--1,,tie,derive,na7ba99bde783ca2a
na7ba99bde783ca2a--tied--start--1,n59--tied--start--1,tied,stamp,na7ba99bde783ca2a
ncc4bea46db9e0ce3--tie--1,,tie,derive,ncc4bea46db9e0ce3
ncc4bea46db9e0ce3--tied--start--1,n60--tied--start--1,tied,stamp,ncc4bea46db9e0ce3
n2054e5e235db00e5--tie--1,,tie,derive,n2054e5e235db00e5
n2054e5e235db00e5--tied--start--1,n61--tied--start--1,tied,stamp,n2054e5e235db00e5
n7800ecaf0c39baa4--tie--1,,tie,derive,n7800ecaf0c39baa4
n7800ecaf0c39baa4--tied--start--1,n62--tied--start--1,tied,stamp,n7800ecaf0c39baa4
n1055043a2517ea01--tie--1,,tie,derive,n1055043a2517ea01
n1055043a2517ea01--tied--stop--1,n63--tied--stop--1,tied,stamp,n1055043a2517ea01
n72d3cc768a2875f7--tie--1,,tie,derive,n72d3cc768a2875f7
n72d3cc768a2875f7--tied--stop--1,n64--tied--stop--1,tied,stamp,n72d3cc768a2875f7
ncab6cf1d09fa827c--tie--1,,tie,derive,ncab6cf1d09fa827c
ncab6cf1d09fa827c--tied--stop--1,n65--tied--stop--1,tied,stamp,ncab6cf1d09fa827c
nc1baa9ad38094f24--slur--start--1,n67--slur--start--1,slur,stamp,nc1baa9ad38094f24
nc1baa9ad38094f24--staccato--1,,staccato,derive,nc1baa9ad38094f24
nadb20a25f717844b--staccato--1,,staccato,derive,nadb20a25f717844b
n74dd4a06164b1e36--slur--stop--1,n75--slur--stop--1,slur,stamp,n74dd4a06164b1e36
n74dd4a06164b1e36--staccato--1,,staccato,derive,n74dd4a06164b1e36
e0df9eb78de28b2ff,md-1-3-1-1,wedge,md,1
eb1686153ece981b5,md-1-3-1-2,wedge,md,1
n1ac2115003d06e61--slur--start--1,n80--slur--start--1,slur,stamp,n1ac2115003d06e61
nd9e78fcf27071456--slur--stop--1,n82--slur--stop--1,slur,stamp,nd9e78fcf27071456
nf651d163fb972a31--slur--start--1,n86--slur--start--1,slur,stamp,nf651d163fb972a31
nf651d163fb972a31--staccato--1,,staccato,derive,nf651d163fb972a31
n072b32894de6c352--staccato--1,,staccato,derive,n072b32894de6c352
n04439590242acf59--slur--stop--1,n92--slur--stop--1,slur,stamp,n04439590242acf59
n04439590242acf59--staccato--1,,staccato,derive,n04439590242acf59
nc02f9efbe2510d1c--tie--1,,tie,derive,nc02f9efbe2510d1c
nc02f9efbe2510d1c--tied--start--1,n95--tied--start--1,tied,stamp,nc02f9efbe2510d1c
nc02f9efbe2510d1c--slur--start--1,n95--slur--start--1,slur,stamp,nc02f9efbe2510d1c
n066040d1dcbc20d2--tie--1,,tie,derive,n066040d1dcbc20d2
n066040d1dcbc20d2--tied--start--1,n96--tied--start--1,tied,stamp,n066040d1dcbc20d2
nb51bd01290f66f43--tie--1,,tie,derive,nb51bd01290f66f43
nb51bd01290f66f43--tie--2,,tie,derive,nb51bd01290f66f43
nb51bd01290f66f43--tied--stop--1,n97--tied--stop--1,tied,stamp,nb51bd01290f66f43
nb51bd01290f66f43--tied--start--2,n97--tied--start--2,tied,stamp,nb51bd01290f66f43
n93c7f905953afcbd--tie--1,,tie,derive,n93c7f905953afcbd
n93c7f905953afcbd--tied--stop--1,n98--tied--stop--1,tied,stamp,n93c7f905953afcbd
n93c7f905953afcbd--slur--stop--1,n98--slur--stop--1,slur,stamp,n93c7f905953afcbd
naa668d9e2732538d--tie--1,,tie,derive,naa668d9e2732538d
naa668d9e2732538d--tied--stop--1,n99--tied--stop--1,tied,stamp,naa668d9e2732538d
n94e2cc9a55eaf3af--slur--start--1,n101--slur--start--1,slur,stamp,n94e2cc9a55eaf3af
n94e2cc9a55eaf3af--staccato--1,,staccato,derive,n94e2cc9a55eaf3af
nb2524438f892cad2--staccato--1,,staccato,derive,nb2524438f892cad2
n9103bdbe328a36e6--slur--stop--1,n107--slur--stop--1,slur,stamp,n9103bdbe328a36e6
n9103bdbe328a36e6--staccato--1,,staccato,derive,n9103bdbe328a36e6
n33a45a783856ba1d--tie--1,,tie,derive,n33a45a783856ba1d
n33a45a783856ba1d--tied--start--1,n110--tied--start--1,tied,stamp,n33a45a783856ba1d
n33a45a783856ba1d--slur--start--1,n110--slur--start--1,slur,stamp,n33a45a783856ba1d
n03fbc563bb58cc26--tie--1,,tie,derive,n03fbc563bb58cc26
n03fbc563bb58cc26--tied--start--1,n111--tied--start--1,tied,stamp,n03fbc563bb58cc26
nce86f7b6de3f771f--tie--1,,tie,derive,nce86f7b6de3f771f
nce86f7b6de3f771f--tie--2,,tie,derive,nce86f7b6de3f771f
nce86f7b6de3f771f--tied--stop--1,n112--tied--stop--1,tied,stamp,nce86f7b6de3f771f
nce86f7b6de3f771f--tied--start--2,n112--tied--start--2,tied,stamp,nce86f7b6de3f771f
nc8e0927d98738b38--tie--1,,tie,derive,nc8e0927d98738b38
nc8e0927d98738b38--tied--stop--1,n113--tied--stop--1,tied,stamp,nc8e0927d98738b38
nc8e0927d98738b38--slur--stop--1,n113--slur--stop--1,slur,stamp,nc8e0927d98738b38
n81bbb75c40972ffd--tie--1,,tie,derive,n81bbb75c40972ffd
n81bbb75c40972ffd--tied--stop--1,n114--tied--stop--1,tied,stamp,n81bbb75c40972ffd
n974e9aabc91d11b7--slur--start--1,n116--slur--start--1,slur,stamp,n974e9aabc91d11b7
n974e9aabc91d11b7--staccato--1,,staccato,derive,n974e9aabc91d11b7
nd65f222ebe0c4523--staccato--1,,staccato,derive,nd65f222ebe0c4523
n22985f62d9d87238--slur--stop--1,n122--slur--stop--1,slur,stamp,n22985f62d9d87238
n22985f62d9d87238--staccato--1,,staccato,derive,n22985f62d9d87238
e1d2bab43a7aba497,md-1-5-1-1,wedge,md,1
e316266d9970e4dd8,md-1-5-1-2,wedge,md,1
n0c10c2439fa314f0--tie--1,,tie,derive,n0c10c2439fa314f0
n0c10c2439fa314f0--tied--start--1,n125--tied--start--1,tied,stamp,n0c10c2439fa314f0
n0c10c2439fa314f0--slur--start--1,n125--slur--start--1,slur,stamp,n0c10c2439fa314f0
n95df8aeb66cc0975--tie--1,,tie,derive,n95df8aeb66cc0975
n95df8aeb66cc0975--tied--start--1,n126--tied--start--1,tied,stamp,n95df8aeb66cc0975
n60f531f5f4937551--tie--1,,tie,derive,n60f531f5f4937551
n60f531f5f4937551--tied--stop--1,n127--tied--stop--1,tied,stamp,n60f531f5f4937551
n60f531f5f4937551--slur--stop--1,n127--slur--stop--1,slur,stamp,n60f531f5f4937551
n1f43e2cd74676f16--slur--start--1,n129--slur--start--1,slur,stamp,n1f43e2cd74676f16
n1f43e2cd74676f16--staccato--1,,staccato,derive,n1f43e2cd74676f16
nb547da603aeb94c3--staccato--1,,staccato,derive,nb547da603aeb94c3
n016ef8c83fa7aa3a--slur--stop--1,n133--slur--stop--1,slur,stamp,n016ef8c83fa7aa3a
n016ef8c83fa7aa3a--staccato--1,,staccato,derive,n016ef8c83fa7aa3a
na8bfe585dad24afb--tie--1,,tie,derive,na8bfe585dad24afb
na8bfe585dad24afb--tied--start--1,n135--tied--start--1,tied,stamp,na8bfe585dad24afb
n7f0e8f9b70317432--tie--1,,tie,derive,n7f0e8f9b70317432
n7f0e8f9b70317432--tied--start--1,n136--tied--start--1,tied,stamp,n7f0e8f9b70317432
n98bd3e78d8663006--tie--1,,tie,derive,n98bd3e78d8663006
n98bd3e78d8663006--tied--stop--1,n137--tied--stop--1,tied,stamp,n98bd3e78d8663006
n05fda2e0f2c988aa--tie--1,,tie,derive,n05fda2e0f2c988aa
n05fda2e0f2c988aa--tied--stop--1,n138--tied--stop--1,tied,stamp,n05fda2e0f2c988aa
n2fd63401a6b2add1--slur--start--1,n139--slur--start--1,slur,stamp,n2fd63401a6b2add1
n2fd63401a6b2add1--staccato--1,,staccato,derive,n2fd63401a6b2add1
n597f701f7352052b--staccato--1,,staccato,derive,n597f701f7352052b
nc229180c03e30293--slur--stop--1,n143--slur--stop--1,slur,stamp,nc229180c03e30293
nc229180c03e30293--staccato--1,,staccato,derive,nc229180c03e30293
e6e8065fb8f69ec21,md-1-6-1-1,wedge,md,1
e337c8fb0a26bcb7d,md-1-6-1-2,wedge,md,1
n91046dc1d4a35205--slur--start--1,n145--slur--start--1,slur,stamp,n91046dc1d4a35205
n13be866e7af2acac--tie--1,,tie,derive,n13be866e7af2acac
n13be866e7af2acac--tied--stop--1,n147--tied--stop--1,tied,stamp,n13be866e7af2acac
nca16ffc377bd7b2c--tie--1,,tie,derive,nca16ffc377bd7b2c
nca16ffc377bd7b2c--tied--stop--1,n149--tied--stop--1,tied,stamp,nca16ffc377bd7b2c
n72e3589e0fecafd0--slur--stop--1,n151--slur--stop--1,slur,stamp,n72e3589e0fecafd0
n8d08c7d3cc21c728--slur--start--1,n153--slur--start--1,slur,stamp,n8d08c7d3cc21c728
ndf7004fea2c3f2e2--slur--stop--1,n155--slur--stop--1,slur,stamp,ndf7004fea2c3f2e2
n3135a18641fbae9c--slur--start--1,n157--slur--start--1,slur,stamp,n3135a18641fbae9c
necb682d6a697ed41--tie--1,,tie,derive,necb682d6a697ed41
necb682d6a697ed41--tied--start--1,n159--tied--start--1,tied,stamp,necb682d6a697ed41
necb682d6a697ed41--slur--stop--1,n159--slur--stop--1,slur,stamp,necb682d6a697ed41
n570e5fa2519be992--tie--1,,tie,derive,n570e5fa2519be992
n570e5fa2519be992--tied--start--1,n160--tied--start--1,tied,stamp,n570e5fa2519be992
n71ddda8034f4f95b--tie--1,,tie,derive,n71ddda8034f4f95b
n71ddda8034f4f95b--tied--stop--1,n162--tied--stop--1,tied,stamp,n71ddda8034f4f95b
n4c3d4ccfc9853b78--tie--1,,tie,derive,n4c3d4ccfc9853b78
n4c3d4ccfc9853b78--tied--start--1,n164--tied--start--1,tied,stamp,n4c3d4ccfc9853b78
n4c3d4ccfc9853b78--slur--start--1,n164--slur--start--1,slur,stamp,n4c3d4ccfc9853b78
n4c3d4ccfc9853b78--accent--1,,accent,derive,n4c3d4ccfc9853b78
n4770fc1136414035--tie--1,,tie,derive,n4770fc1136414035
n4770fc1136414035--tied--start--1,n165--tied--start--1,tied,stamp,n4770fc1136414035
n5ecac1f1e2175ed2--tie--1,,tie,derive,n5ecac1f1e2175ed2
n5ecac1f1e2175ed2--tied--start--1,n166--tied--start--1,tied,stamp,n5ecac1f1e2175ed2
n25b335f8bc52bd78--tie--1,,tie,derive,n25b335f8bc52bd78
n25b335f8bc52bd78--tied--stop--1,n167--tied--stop--1,tied,stamp,n25b335f8bc52bd78
n25b335f8bc52bd78--slur--stop--1,n167--slur--stop--1,slur,stamp,n25b335f8bc52bd78
ned896709ec2a8a43--tie--1,,tie,derive,ned896709ec2a8a43
ned896709ec2a8a43--tied--stop--1,n168--tied--stop--1,tied,stamp,ned896709ec2a8a43
ne1c6e43b43607fdd--staccato--1,,staccato,derive,ne1c6e43b43607fdd
nb3c94b682868dd11--staccato--1,,staccato,derive,nb3c94b682868dd11
n2604c43b074dbc29--staccato--1,,staccato,derive,n2604c43b074dbc29
n0a76c01cc412733b--tie--1,,tie,derive,n0a76c01cc412733b
n0a76c01cc412733b--tied--start--1,n179--tied--start--1,tied,stamp,n0a76c01cc412733b
n0a76c01cc412733b--slur--start--1,n179--slur--start--1,slur,stamp,n0a76c01cc412733b
n25c63e2092666513--tie--1,,tie,derive,n25c63e2092666513
