element_id,tag,carrier,host_or_staff
n1--fermata--upright--1,fermata,stamp,n1
n3--slur--start--1,slur,stamp,n3
n5--fermata--upright--1,fermata,stamp,n5
md-1-1-1-1,dynamics,md,1
md-1-1-1-2,dynamics,md,1
md-1-1-1-3,words,md,1
n8--slur--stop--1,slur,stamp,n8
n8--slur--start--2,slur,stamp,n8
n8--staccato--1,staccato,derive,n8
n9--staccato--1,staccato,derive,n9
n10--slur--stop--1,slur,stamp,n10
n10--staccato--1,staccato,derive,n10
n11--slur--start--1,slur,stamp,n11
n16--slur--stop--1,slur,stamp,n16
n17--slur--start--1,slur,stamp,n17
n25--slur--stop--1,slur,stamp,n25
n28--staccato--1,staccato,derive,n28
n31--staccato--1,staccato,derive,n31
n36--staccato--1,staccato,derive,n36
n37--staccato--1,staccato,derive,n37
n38--staccato--1,staccato,derive,n38
n41--staccato--1,staccato,derive,n41
n44--staccato--1,staccato,derive,n44
n47--staccato--1,staccato,derive,n47
n50--staccato--1,staccato,derive,n50
n53--staccato--1,staccato,derive,n53
n54--staccato--1,staccato,derive,n54
n55--staccato--1,staccato,derive,n55
n56--staccato--1,staccato,derive,n56
n65--accent--1,accent,derive,n65
n71--staccato--1,staccato,derive,n71
n72--staccato--1,staccato,derive,n72
n73--staccato--1,staccato,derive,n73
n106--slur--start--1,slur,stamp,n106
n111--slur--stop--1,slur,stamp,n111
n111--slur--start--2,slur,stamp,n111
n111--staccato--1,staccato,derive,n111
n112--staccato--1,staccato,derive,n112
n113--slur--stop--1,slur,stamp,n113
n113--staccato--1,staccato,derive,n113
n114--slur--start--1,slur,stamp,n114
n119--slur--stop--1,slur,stamp,n119
n120--slur--start--1,slur,stamp,n120
n130--slur--stop--1,slur,stamp,n130
n131--staccato--1,staccato,derive,n131
n134--staccato--1,staccato,derive,n134
n139--staccato--1,staccato,derive,n139
n140--staccato--1,staccato,derive,n140
n141--staccato--1,staccato,derive,n141
n144--staccato--1,staccato,derive,n144
n147--staccato--1,staccato,derive,n147
n150--staccato--1,staccato,derive,n150
n153--staccato--1,staccato,derive,n153
n156--staccato--1,staccato,derive,n156
n157--staccato--1,staccato,derive,n157
n158--staccato--1,staccato,derive,n158
n159--staccato--1,staccato,derive,n159
n160--staccato--1,staccato,derive,n160
n169--accent--1,accent,derive,n169
n175--staccato--1,staccato,derive,n175
n176--staccato--1,staccato,derive,n176
n177--staccato--1,staccato,derive,n177
n210--slur--start--1,slur,stamp,n210
md-1-17-1-1,dynamics,md,1
n221--slur--stop--1,slur,stamp,n221
n221--slur--start--2,slur,stamp,n221
n221--staccato--1,staccato,derive,n221
n222--staccato--1,staccato,derive,n222
n223--slur--stop--1,slur,stamp,n223
n223--staccato--1,staccato,derive,n223
n224--slur--start--1,slur,stamp,n224
n225--slur--stop--1,slur,stamp,n225
n227--slur--start--1,slur,stamp,n227
n228--slur--stop--1,slur,stamp,n228
md-1-18-1-1,wedge,md,1
md-1-18-1-2,wedge,md,1
n233--slur--start--1,slur,stamp,n233
n235--slur--stop--1,slur,stamp,n235
md-1-19-1-1,wedge,md,1
md-1-19-1-2,wedge,md,1
md-1-21-1-1,dynamics,md,1
n322--accent--1,accent,derive,n322
n352--accent--1,accent,derive,n352
n371--slur--start--1,slur,stamp,n371
md-1-25-1-1,dynamics,md,1
n383--slur--stop--1,slur,stamp,n383
n384--slur--start--1,slur,stamp,n384
n384--staccato--1,staccato,derive,n384
n385--staccato--1,staccato,derive,n385
n386--inverted-mordent--1,inverted-mordent,derive,n386
n387--slur--stop--1,slur,stamp,n387
n389--slur--start--1,slur,stamp,n389
n392--slur--stop--1,slur,stamp,n392
md-1-26-1-1,wedge,md,1
md-1-26-1-2,wedge,md,1
n400--slur--start--1,slur,stamp,n400
n402--slur--stop--1,slur,stamp,n402
n407--slur--start--1,slur,stamp,n407
n411--slur--stop--1,slur,stamp,n411
md-1-27-1-1,wedge,md,1
md-1-27-1-2,wedge,md,1
md-1-29-1-1,dynamics,md,1
n490--accent--1,accent,derive,n490
n520--accent--1,accent,derive,n520
n539--slur--start--1,slur,stamp,n539
n544--slur--stop--1,slur,stamp,n544
n547--slur--start--1,slur,stamp,n547
n548--slur--stop--1,slur,stamp,n548
n548--slur--start--2,slur,stamp,n548
n549--slur--stop--1,slur,stamp,n549
md-1-34-1-1,dynamics,md,1
n556--slur--start--1,slur,stamp,n556
md-1-35-1-1,dynamics,md,1
n563--slur--stop--1,slur,stamp,n563
n589--slur--start--1,slur,stamp,n589
md-1-37-1-1,dynamics,md,1
n595--slur--stop--1,slur,stamp,n595
n598--slur--start--1,slur,stamp,n598
n604--slur--stop--1,slur,stamp,n604
n606--slur--start--1,slur,stamp,n606
