note_id,original_id,printed_bar
n39bacc3be0ded314,n1,1
nb1884a29405502b8,n2,1
nf61a5e636c6f9f68,n3,1
nbfa36049a40a8235,n4,1
nc4f8102472907ebf,n5,1
n7a515d7d2f63a495,n6,1
n4972b8dab5b2f845,n7,1
n07a8401c67a080da,n8,1
n13af578a8fe773eb,n9,1
n5dddafaeaf68c92e,n10,1
n85095a2a1683c66e,n11,1
nf8e48a3097cb8a17,n12,1
n513bde3e4c2f0a77,n13,1
n62e5cbab5888afa2,n14,1
nf2a6b37c963cb8c4,n15,1
ndee3158acd7b7a94,n16,1
n6b5a3710dc93991b,n17,2
n1a1830eed8736a2b,n18,2
nb8a90b900dcccff1,n19,2
n27c04b84239fe65f,n20,2
n1e8553b9f552fc17,n21,2
n08e82d2516c17138,n22,2
n7a096f28732dbedd,n23,2
nae5acb0fb936e54b,n24,2
n414c0e4b21460ae2,n25,2
n9dc7ea6a12092b33,n26,2
n0bc7273135f431a4,n27,2
nd8bccd066a5df309,n28,2
n0a51867b3122c6bb,n29,2
n555147a687314a7b,n30,2
n5ca3ed1786978c62,n31,2
n755ac5c42570da7d,n32,2
nd260bb5483a7fee5,n33,2
necbc3c326b153905,n34,2
n857a42c85b7f9b7c,n35,3
n03a2e028cb3c6477,n36,3
n278bf47581f8818d,n37,3
n24374ab8ff7b804d,n38,3
n59b0aa51e7b98a8f,n39,3
na76e52a44790f6c3,n40,3
ne7c2c869a76d2115,n41,3
n18385ba1f4831536,n42,3
n92a1877abaedd781,n43,3
n692f0b538947a6d8,n44,3
n82a01db99d3cc645,n45,3
n369d0a7143bafe6e,n46,3
n7cd914a3d85aebcf,n47,3
nd5ddc87051bee1d4,n48,3
n6063aca6bc3a5dd5,n49,3
n691a907430ad1af9,n50,3
ne50cd22c71d60ab0,n51,4
n33178c321da473cb,n52,4
n5e6880f1b15e9021,n53,4
n712147236f8adfd5,n54,4
n61bae57e0f53c3ac,n55,4
n8a463a1434dbdb04,n56,4
nc069a1fe6baeede5,n57,4
nea767e88e6bf213e,n58,4
necff1b4fbaf526f4,n59,4
nda783d6998bd382e,n60,4
nf125b7771bf02b0c,n61,4
n6e7a6462b52d2bb0,n62,4
nd0b45c9f2a04d9f4,n63,4
n74fa18957c0585a2,n64,4
ndc901c9834f381a2,n65,4
n0093c0326c65aa55,n66,4
n1ac2115003d06e61,n67,4
ndb002cc0fcee09c7,n68,4
n3d2323c4b2d1fb98,n69,5
nd73aa3f0e674de3f,n70,5
nf31c5ecc00e2438a,n71,5
nb51bd01290f66f43,n72,5
n7403b35393933c39,n73,5
n67de9a1c016e7767,n74,5
n3107a1b2e58850aa,n75,5
nce074cb0e048afec,n76,5
nef3c842df01ce7a3,n77,5
n185064c9c40b1270,n78,5
n3ae03736ce20d851,n79,5
ncbadc94f7af7b8dd,n80,5
nce86f7b6de3f771f,n81,5
n5a224f78728f0095,n82,5
na145d7000edd02c1,n83,5
n32d8c72ae3387037,n84,5
n066040d1dcbc20d2,n85,5
ne9525272c27e5c43,n86,6
n55d14c1bbe4087a0,n87,6
nc20f944335fbc9a4,n88,6
n9b151cb940dd54e6,n89,6
n3514395503081d37,n90,6
ndf7861ce78d7c34b,n91,6
n73abea0567d3c101,n92,6
n67ad73bcb884abe9,n93,6
nd1d69234d7858570,n94,6
n229de04720379e2d,n95,6
n59b59db6acb66d10,n96,6
n2ad71190c8dbf343,n97,6
neebc902dbcca0b29,n98,6
na188ca5efbe49d73,n99,6
n469f44b5326c870c,n100,6
n1e05ff0bc76c5c08,n101,6
n0d33e69413fb2ed4,n102,6
nf19162ed99296158,n103,6
n7cb072005da2eb9b,n104,7
na692db9474335a6c,n105,7
n3f020499c2d26ab7,n106,7
ne75ffb55ffe79385,n107,7
