element_id,original_id,tag,carrier,host_or_staff
n67f5b63fe26af183--tuplet--start--1,n5--tuplet--start--1,tuplet,stamp,n67f5b63fe26af183
n36f8d129646b4dcf--tuplet--stop--1,n7--tuplet--stop--1,tuplet,stamp,n36f8d129646b4dcf
e8fc970c145061162,md-1-1-1-1,words,md,1
ed2c70ea6c9efa338,md-1-1-1-2,dynamics,md,1
ne77f172fc5475405--tie--1,,tie,derive,ne77f172fc5475405
ne77f172fc5475405--tied--start--1,n19--tied--start--1,tied,stamp,ne77f172fc5475405
ee9b213e0bffa3447,md-1-2-1-1,wedge,md,1
e5b12f0463425231f,md-1-2-1-2,wedge,md,1
nb1236e69b552ac5e--tie--1,,tie,derive,nb1236e69b552ac5e
nb1236e69b552ac5e--tie--2,,tie,derive,nb1236e69b552ac5e
nb1236e69b552ac5e--tied--stop--1,n33--tied--stop--1,tied,stamp,nb1236e69b552ac5e
nb1236e69b552ac5e--tied--start--2,n33--tied--start--2,tied,stamp,nb1236e69b552ac5e
e13e68ad17b1274db,md-1-3-1-1,wedge,md,1
eb1686153ece981b5,md-1-3-1-2,wedge,md,1
ncceede23269f4f3c--tie--1,,tie,derive,ncceede23269f4f3c
ncceede23269f4f3c--tied--stop--1,n49--tied--stop--1,tied,stamp,ncceede23269f4f3c
eccf6bd9c58ac7156,md-1-4-1-1,wedge,md,1
e30fbc2c13d075b50,md-1-4-1-2,wedge,md,1
n1a64cb6154b5d17f--staccatissimo--1,,staccatissimo,derive,n1a64cb6154b5d17f
nc3f04e9e4bf562f2--staccatissimo--1,,staccatissimo,derive,nc3f04e9e4bf562f2
nc1474519b119a767--tuplet--start--1,n58--tuplet--start--1,tuplet,stamp,nc1474519b119a767
n8699d28316839f7e--tuplet--stop--1,n60--tuplet--stop--1,tuplet,stamp,n8699d28316839f7e
nfd7c2549312f6cf1--staccatissimo--1,,staccatissimo,derive,nfd7c2549312f6cf1
n8c02229f98b85659--staccatissimo--1,,staccatissimo,derive,n8c02229f98b85659
e8d1d327b8f22883f,md-1-5-1-1,dynamics,md,1
e4da95adb4143bb99,md-1-5-1-2,dynamics,md,1
e2a8adda43247a092,md-1-5-1-3,dynamics,md,1
n0353f574286c4f95--tie--1,,tie,derive,n0353f574286c4f95
n0353f574286c4f95--tied--start--1,n73--tied--start--1,tied,stamp,n0353f574286c4f95
n705005c222bdd90e--tie--1,,tie,derive,n705005c222bdd90e
n705005c222bdd90e--tied--stop--1,n74--tied--stop--1,tied,stamp,n705005c222bdd90e
n705005c222bdd90e--tuplet--start--1,n74--tuplet--start--1,tuplet,stamp,n705005c222bdd90e
n483d8c79ea6572ae--tuplet--stop--1,n76--tuplet--stop--1,tuplet,stamp,n483d8c79ea6572ae
n68a12df02119e7c5--tuplet--start--1,n77--tuplet--start--1,tuplet,stamp,n68a12df02119e7c5
n3499e1bbc24ab7a0--tuplet--stop--1,n79--tuplet--stop--1,tuplet,stamp,n3499e1bbc24ab7a0
n61de40705b88efec--staccato--1,,staccato,derive,n61de40705b88efec
