note_id,original_id,printed_bar
nd00b2166748ffae6,n1,1
n5243892700411aee,n2,1
na3645d3416ff89ba,n3,1
nb7f4757287a420f7,n4,1
n67f5b63fe26af183,n5,1
ndbb0618ceb211060,n6,1
n36f8d129646b4dcf,n7,1
ncae0e7ec3634d539,n8,1
n08cc3a68ae2cbd5f,n9,2
n0e110b1c079fbf0a,n10,2
na72df0c06d0337c9,n11,2
n862ec1d2d3e811c9,n12,2
n731a82efa5d1e6df,n13,2
n27c04b84239fe65f,n14,2
n367b96b0779ae9cb,n15,2
nd3027e360fe3ce04,n16,2
n28b7adce3c22a184,n17,2
ndf71d12b949e9016,n18,2
ne77f172fc5475405,n19,2
n9bf4904e2ea845db,n20,3
n5e401ba5cebab45b,n21,3
ne9661695bda39720,n22,3
na4b51eb1a35860ad,n23,3
ne4ae465ccb57360e,n24,3
n197316d9ca7c3d22,n25,3
nf777392d77925349,n26,3
n00ae3244b4342461,n27,3
n63c1e653380d2b40,n28,3
n7cd914a3d85aebcf,n29,3
n17784a2ac65a3f2d,n30,3
ndd3e672281dbe3e1,n31,3
na7ba99bde783ca2a,n32,3
nb1236e69b552ac5e,n33,3
nfd1af23929b39df0,n34,4
n955dc55dd9f9e96a,n35,4
nbdff48a926b6cd7a,n36,4
ncbd5f0f612bc67f2,n37,4
n4f034de6114e200a,n38,4
n4d04e749c95de838,n39,4
nee3432a676b72b66,n40,4
n58506230a2327525,n41,4
nd72e148e7c9a7494,n42,4
n6f7d7de1bee7bfb5,n43,4
nedfdbebcdaba3a24,n44,4
n1d89268d0a166ffe,n45,4
n81ee5798689d7955,n46,4
n6d997df7bbd05c28,n47,4
n7b82b1c4e37d5798,n48,4
ncceede23269f4f3c,n49,4
n1a64cb6154b5d17f,n50,5
n48b1f48488ba08a7,n51,5
nc3f04e9e4bf562f2,n52,5
n0527dd3055249605,n53,5
nb4948127f442ed70,n54,5
n9e4f90c5c1d999a3,n55,5
ne1c771ae7b2e0786,n56,5
nb87f4a9c2c719e0d,n57,5
nc1474519b119a767,n58,5
nf5f591f69e3cbd1d,n59,5
n8699d28316839f7e,n60,5
nb20e8400bc955275,n61,5
n9df0f250d3fe9723,n62,5
nfd7c2549312f6cf1,n63,5
n3c17c13145b1b8a7,n64,5
n8709d57c7c126b53,n65,5
n8c02229f98b85659,n66,5
ncd60db40bea498cf,n67,5
ncae26ab59c161c1b,n68,5
