element_id,tag,carrier,host_or_staff
mn-1-1-1-1-1--slur--start--1,slur,stamp,mn-1-1-1-1-1
mn-1-1-1-1-1--staccato--1,staccato,derive,mn-1-1-1-1-1
mn-1-1-1-1-2--staccato--1,staccato,derive,mn-1-1-1-1-2
mn-1-1-1-1-3--slur--stop--1,slur,stamp,mn-1-1-1-1-3
mn-1-1-1-1-3--staccato--1,staccato,derive,mn-1-1-1-1-3
mn-1-1-1-1-4--slur--start--1,slur,stamp,mn-1-1-1-1-4
mn-1-1-1-1-4--staccato--1,staccato,derive,mn-1-1-1-1-4
mn-1-1-1-1-5--slur--stop--1,slur,stamp,mn-1-1-1-1-5
mn-1-1-1-1-5--staccato--1,staccato,derive,mn-1-1-1-1-5
mn-1-1-5-2-1--staccato--1,staccato,derive,mn-1-1-5-2-1
mn-1-1-5-2-2--slur--start--1,slur,stamp,mn-1-1-5-2-2
mn-1-1-5-2-5--slur--stop--1,slur,stamp,mn-1-1-5-2-5
mn-1-1-5-2-5--staccato--1,staccato,derive,mn-1-1-5-2-5
mn-1-1-5-2-6--staccato--1,staccato,derive,mn-1-1-5-2-6
mn-1-1-5-2-7--slur--start--1,slur,stamp,mn-1-1-5-2-7
mn-1-1-5-2-10--slur--stop--1,slur,stamp,mn-1-1-5-2-10
md-1-1-1-1,dynamics,md,1
md-1-1-1-2,words,md,1
mn-1-2-1-1-1--slur--start--1,slur,stamp,mn-1-2-1-1-1
mn-1-2-1-1-1--staccato--1,staccato,derive,mn-1-2-1-1-1
mn-1-2-1-1-2--staccato--1,staccato,derive,mn-1-2-1-1-2
mn-1-2-1-1-3--slur--stop--1,slur,stamp,mn-1-2-1-1-3
mn-1-2-1-1-3--staccato--1,staccato,derive,mn-1-2-1-1-3
mn-1-2-5-2-1--staccato--1,staccato,derive,mn-1-2-5-2-1
mn-1-2-5-2-2--slur--start--1,slur,stamp,mn-1-2-5-2-2
mn-1-2-5-2-5--slur--stop--1,slur,stamp,mn-1-2-5-2-5
mn-1-2-5-2-6--staccato--1,staccato,derive,mn-1-2-5-2-6
mn-1-2-5-2-7--slur--start--1,slur,stamp,mn-1-2-5-2-7
mn-1-2-5-2-10--slur--stop--1,slur,stamp,mn-1-2-5-2-10
md-1-2-1-1,words,md,1
md-1-2-1-2,words,md,1
mn-1-3-1-1-4--slur--start--1,slur,stamp,mn-1-3-1-1-4
mn-1-3-1-1-5--slur--stop--1,slur,stamp,mn-1-3-1-1-5
mn-1-3-5-2-1--staccato--1,staccato,derive,mn-1-3-5-2-1
mn-1-3-5-2-6--staccato--1,staccato,derive,mn-1-3-5-2-6
mn-1-4-1-1-2--slur--start--1,slur,stamp,mn-1-4-1-1-2
mn-1-4-1-1-7--slur--stop--1,slur,stamp,mn-1-4-1-1-7
mn-1-4-4-1-1--slur--start--1,slur,stamp,mn-1-4-4-1-1
mn-1-4-4-1-3--slur--stop--1,slur,stamp,mn-1-4-4-1-3
mn-1-4-5-2-1--staccato--1,staccato,derive,mn-1-4-5-2-1
mn-1-4-5-2-7--staccato--1,staccato,derive,mn-1-4-5-2-7
md-1-4-1-1,words,md,1
mn-1-6-1-1-7--slur--start--1,slur,stamp,mn-1-6-1-1-7
mn-1-6-1-1-8--slur--stop--1,slur,stamp,mn-1-6-1-1-8
md-1-7-1-1,wedge,md,1
md-1-7-1-2,wedge,md,1
md-1-7-1-3,wedge,md,1
mn-1-8-1-1-1--slur--start--1,slur,stamp,mn-1-8-1-1-1
mn-1-8-1-1-2--slur--stop--1,slur,stamp,mn-1-8-1-1-2
mn-1-8-4-2-6--staccato--1,staccato,derive,mn-1-8-4-2-6
md-1-8-1-1,wedge,md,1
md-1-8-2-1,wedge,md,2
md-1-8-2-2,wedge,md,2
md-1-9-1-1,dynamics,md,1
mn-1-10-1-1-4--slur--start--1,slur,stamp,mn-1-10-1-1-4
mn-1-10-1-1-6--slur--stop--1,slur,stamp,mn-1-10-1-1-6
mn-1-10-1-1-10--slur--start--1,slur,stamp,mn-1-10-1-1-10
mn-1-10-1-1-11--slur--stop--1,slur,stamp,mn-1-10-1-1-11
md-1-10-1-1,wedge,md,1
md-1-10-1-2,wedge,md,1
md-1-11-2-1,words,md,2
mn-1-12-1-1-1--slur--start--1,slur,stamp,mn-1-12-1-1-1
mn-1-12-1-1-6--slur--stop--1,slur,stamp,mn-1-12-1-1-6
md-1-12-1-1,dynamics,md,1
md-1-13-1-1,dynamics,md,1
mn-1-14-1-1-1--slur--start--1,slur,stamp,mn-1-14-1-1-1
mn-1-14-1-1-8--slur--stop--1,slur,stamp,mn-1-14-1-1-8
md-1-14-1-1,wedge,md,1
md-1-14-1-2,wedge,md,1
md-1-14-1-3,wedge,md,1
md-1-15-1-1,words,md,1
md-1-15-1-2,wedge,md,1
mn-1-16-1-1-1--slur--start--1,slur,stamp,mn-1-16-1-1-1
mn-1-16-1-1-2--slur--stop--1,slur,stamp,mn-1-16-1-1-2
md-1-16-1-1,dynamics,md,1
mn-1-17-1-1-1--slur--start--1,slur,stamp,mn-1-17-1-1-1
mn-1-17-1-1-2--slur--stop--1,slur,stamp,mn-1-17-1-1-2
mn-1-17-4-2-1--staccato--1,staccato,derive,mn-1-17-4-2-1
mn-1-17-4-2-5--staccato--1,staccato,derive,mn-1-17-4-2-5
mn-1-17-4-2-6--slur--start--1,slur,stamp,mn-1-17-4-2-6
mn-1-17-4-2-7--slur--stop--1,slur,stamp,mn-1-17-4-2-7
md-1-17-1-1,dynamics,md,1
mn-1-18-1-1-1--slur--start--1,slur,stamp,mn-1-18-1-1-1
mn-1-18-1-1-2--slur--stop--1,slur,stamp,mn-1-18-1-1-2
mn-1-18-4-2-2--slur--start--1,slur,stamp,mn-1-18-4-2-2
mn-1-18-4-2-4--slur--stop--1,slur,stamp,mn-1-18-4-2-4
md-1-18-2-1,words,md,2
md-1-19-1-1,words,md,1
md-1-19-1-2,words,md,1
md-1-19-2-1,dynamics,md,2
md-1-20-1-1,wedge,md,1
md-1-20-1-2,wedge,md,1
mn-1-22-4-2-2--slur--start--1,slur,stamp,mn-1-22-4-2-2
mn-1-22-4-2-3--slur--stop--1,slur,stamp,mn-1-22-4-2-3
md-1-25-1-1,wedge,md,1
md-1-25-1-2,wedge,md,1
md-1-25-1-3,wedge,md,1
md-1-25-1-4,wedge,md,1
mn-1-26-4-2-2--slur--start--1,slur,stamp,mn-1-26-4-2-2
mn-1-26-4-2-3--slur--stop--1,slur,stamp,mn-1-26-4-2-3
mn-1-27-4-2-2--slur--start--1,slur,stamp,mn-1-27-4-2-2
mn-1-27-4-2-3--slur--stop--1,slur,stamp,mn-1-27-4-2-3
mn-1-27-4-2-5--slur--start--1,slur,stamp,mn-1-27-4-2-5
mn-1-27-4-2-9--slur--stop--1,slur,stamp,mn-1-27-4-2-9
md-1-27-2-1,wedge,md,2
md-1-27-2-2,wedge,md,2
md-1-27-2-3,wedge,md,2
mn-1-28-5-2-2--slur--start--1,slur,stamp,mn-1-28-5-2-2
md-1-28-1-1,words,md,1
md-1-28-1-2,dynamics,md,1
mn-1-29-4-2-4--staccato--1,staccato,derive,mn-1-29-4-2-4
mn-1-29-4-2-5--slur--start--1,slur,stamp,mn-1-29-4-2-5
mn-1-29-4-2-9--slur--stop--1,slur,stamp,mn-1-29-4-2-9
mn-1-29-5-2-1--slur--stop--1,slur,stamp,mn-1-29-5-2-1
mn-1-29-5-2-1--slur--start--2,slur,stamp,mn-1-29-5-2-1
mn-1-29-5-2-2--slur--stop--1,slur,stamp,mn-1-29-5-2-2
md-1-29-1-1,wedge,md,1
md-1-29-1-2,wedge,md,1
md-1-29-1-3,wedge,md,1
md-1-29-1-4,wedge,md,1
mn-1-30-1-1-5--slur--start--1,slur,stamp,mn-1-30-1-1-5
mn-1-30-1-1-8--slur--stop--1,slur,stamp,mn-1-30-1-1-8
md-1-30-1-1,dynamics,md,1
mn-1-33-4-2-7--slur--start--1,slur,stamp,mn-1-33-4-2-7
mn-1-33-4-2-11--slur--stop--1,slur,stamp,mn-1-33-4-2-11
md-1-33-1-1,dynamics,md,1
md-1-33-1-2,wedge,md,1
md-1-33-1-3,wedge,md,1
mn-1-34-4-2-2--slur--start--1,slur,stamp,mn-1-34-4-2-2
mn-1-34-4-2-6--slur--stop--1,slur,stamp,mn-1-34-4-2-6
mn-1-35-4-2-2--slur--start--1,slur,stamp,mn-1-35-4-2-2
mn-1-35-4-2-6--slur--stop--1,slur,stamp,mn-1-35-4-2-6
mn-1-35-4-2-11--slur--start--1,slur,stamp,mn-1-35-4-2-11
md-1-35-2-1,words,md,2
mn-1-36-4-2-1--slur--stop--1,slur,stamp,mn-1-36-4-2-1
mn-1-36-4-2-2--slur--start--1,slur,stamp,mn-1-36-4-2-2
mn-1-36-4-2-6--slur--stop--1,slur,stamp,mn-1-36-4-2-6
mn-1-37-4-2-2--slur--start--1,slur,stamp,mn-1-37-4-2-2
mn-1-37-4-2-6--slur--stop--1,slur,stamp,mn-1-37-4-2-6
mn-1-37-5-2-2--fermata--upright--1,fermata,stamp,mn-1-37-5-2-2
mn-1-37-6-2-3--slur--start--1,slur,stamp,mn-1-37-6-2-3
mn-1-37-6-2-3--slur--start--2,slur,stamp,mn-1-37-6-2-3
mn-1-37-6-2-4--slur--stop--1,slur,stamp,mn-1-37-6-2-4
mn-1-37-6-2-4--slur--stop--2,slur,stamp,mn-1-37-6-2-4
mn-1-37-6-2-4--fermata--upright--1,fermata,stamp,mn-1-37-6-2-4
md-1-37-1-1,words,md,1
mn-1-38-1-1-1--slur--start--1,slur,stamp,mn-1-38-1-1-1
mn-1-38-1-1-7--slur--stop--1,slur,stamp,mn-1-38-1-1-7
mn-1-38-1-1-8--slur--start--1,slur,stamp,mn-1-38-1-1-8
mn-1-38-1-1-8--accent--1,accent,derive,mn-1-38-1-1-8
mn-1-38-1-1-9--slur--stop--1,slur,stamp,mn-1-38-1-1-9
mn-1-38-1-1-11--slur--start--1,slur,stamp,mn-1-38-1-1-11
mn-1-38-4-2-1--staccato--1,staccato,derive,mn-1-38-4-2-1
mn-1-38-4-2-8--staccato--1,staccato,derive,mn-1-38-4-2-8
md-1-38-1-1,dynamics,md,1
md-1-38-1-2,words,md,1
mn-1-39-1-1-1--turn--1,turn,derive,mn-1-39-1-1-1
mn-1-39-1-1-8--slur--stop--1,slur,stamp,mn-1-39-1-1-8
md-1-39-1-1,wedge,md,1
md-1-39-1-2,wedge,md,1
mn-1-40-1-1-1--slur--start--1,slur,stamp,mn-1-40-1-1-1
mn-1-40-1-1-4--accent--1,accent,derive,mn-1-40-1-1-4
mn-1-40-1-1-7--slur--stop--1,slur,stamp,mn-1-40-1-1-7
mn-1-40-1-1-8--slur--start--1,slur,stamp,mn-1-40-1-1-8
mn-1-40-1-1-11--accent--1,accent,derive,mn-1-40-1-1-11
mn-1-40-1-1-14--slur--stop--1,slur,stamp,mn-1-40-1-1-14
mn-1-41-1-1-2--slur--start--1,slur,stamp,mn-1-41-1-1-2
mn-1-41-1-1-16--slur--stop--1,slur,stamp,mn-1-41-1-1-16
md-1-41-1-1,wedge,md,1
md-1-41-1-2,wedge,md,1
md-1-41-1-3,wedge,md,1
md-1-41-1-4,wedge,md,1
mn-1-42-1-1-1--staccato--1,staccato,derive,mn-1-42-1-1-1
