element_id,original_id,tag,carrier,host_or_staff
n92c0258566825443--accent--1,,accent,derive,n92c0258566825443
nb2af2fa6e58f47df--accent--1,,accent,derive,nb2af2fa6e58f47df
na5d53073d1a8a37c--accent--1,,accent,derive,na5d53073d1a8a37c
nffc7ddaa64f74bda--accent--1,,accent,derive,nffc7ddaa64f74bda
n982dab624257e122--accent--1,,accent,derive,n982dab624257e122
n1adbd220a9d6b4e1--accent--1,,accent,derive,n1adbd220a9d6b4e1
edd134350c15f454f,md-1-1-1-1,words,md,1
e9dc5391a839617ac,md-1-1-1-2,dynamics,md,1
n3307e3b4fb652962--slur--start--1,n43--slur--start--1,slur,stamp,n3307e3b4fb652962
nacdd960bf9777d40--slur--stop--1,n49--slur--stop--1,slur,stamp,nacdd960bf9777d40
ndec633ec7f2ce42f--accent--1,,accent,derive,ndec633ec7f2ce42f
ndec633ec7f2ce42f--staccatissimo--1,,staccatissimo,derive,ndec633ec7f2ce42f
n2dcad72939046a89--staccatissimo--1,,staccatissimo,derive,n2dcad72939046a89
n6b3dc09cc68c3a34--staccatissimo--1,,staccatissimo,derive,n6b3dc09cc68c3a34
nb6f09784ded52ad5--staccatissimo--1,,staccatissimo,derive,nb6f09784ded52ad5
ncd93cde1b1298f09--staccatissimo--1,,staccatissimo,derive,ncd93cde1b1298f09
nf795ddedfda9070d--staccatissimo--1,,staccatissimo,derive,nf795ddedfda9070d
n87614322620900ce--staccatissimo--1,,staccatissimo,derive,n87614322620900ce
naa2a17c87e619912--accent--1,,accent,derive,naa2a17c87e619912
n34e8ba7d1eecee0d--accent--1,,accent,derive,n34e8ba7d1eecee0d
n8a7c4f8934a1dfe9--accent--1,,accent,derive,n8a7c4f8934a1dfe9
nc64b6463209984eb--accent--1,,accent,derive,nc64b6463209984eb
nfc0ca5e98866555d--accent--1,,accent,derive,nfc0ca5e98866555d
n85103d819af8edb2--accent--1,,accent,derive,n85103d819af8edb2
n93c7f905953afcbd--slur--start--1,n113--slur--start--1,slur,stamp,n93c7f905953afcbd
n1c090eadc68d00c1--slur--stop--1,n117--slur--stop--1,slur,stamp,n1c090eadc68d00c1
na3eef1816503e468--accent--1,,accent,derive,na3eef1816503e468
na3eef1816503e468--staccatissimo--1,,staccatissimo,derive,na3eef1816503e468
n94e2cc9a55eaf3af--staccatissimo--1,,staccatissimo,derive,n94e2cc9a55eaf3af
nb2524438f892cad2--staccatissimo--1,,staccatissimo,derive,nb2524438f892cad2
n1e9defe82eb11585--staccatissimo--1,,staccatissimo,derive,n1e9defe82eb11585
n469f44b5326c870c--staccatissimo--1,,staccatissimo,derive,n469f44b5326c870c
n4009f5c77c77b01e--slur--start--1,n143--slur--start--1,slur,stamp,n4009f5c77c77b01e
n5b39b5cbf35ce4af--slur--stop--1,n148--slur--stop--1,slur,stamp,n5b39b5cbf35ce4af
nbe533f8258716c0b--staccatissimo--1,,staccatissimo,derive,nbe533f8258716c0b
n7d68c9f949fcbf41--staccatissimo--1,,staccatissimo,derive,n7d68c9f949fcbf41
ne18cfab5e929935d--slur--start--1,n191--slur--start--1,slur,stamp,ne18cfab5e929935d
na0601e1eae56a2cf--slur--stop--1,n196--slur--stop--1,slur,stamp,na0601e1eae56a2cf
n8d1b560aa88d88fb--slur--start--1,n240--slur--start--1,slur,stamp,n8d1b560aa88d88fb
n8790fdb80b44002c--slur--stop--1,n245--slur--stop--1,slur,stamp,n8790fdb80b44002c
n98d5fa8fc4fcc7a8--staccatissimo--1,,staccatissimo,derive,n98d5fa8fc4fcc7a8
n4b29db75dc46b247--staccatissimo--1,,staccatissimo,derive,n4b29db75dc46b247
nda4d72ed21783284--tremolo--1,,tremolo,derive,nda4d72ed21783284
n0088b6306ad6a2f3--tremolo--1,,tremolo,derive,n0088b6306ad6a2f3
n500f8a49bfb766bc--tremolo--1,,tremolo,derive,n500f8a49bfb766bc
nb179da3bf89e8be0--tremolo--1,,tremolo,derive,nb179da3bf89e8be0
n73f31ddaa3e4a8af--tremolo--1,,tremolo,derive,n73f31ddaa3e4a8af
n488877e214b4997f--tremolo--1,,tremolo,derive,n488877e214b4997f
nc206543b61b89214--tremolo--1,,tremolo,derive,nc206543b61b89214
neb63b256cf923957--tremolo--1,,tremolo,derive,neb63b256cf923957
e56383995c3319298,md-1-14-1-1,dynamics,md,1
ed27bdeca7f1273c8,md-1-14-2-1,wedge,md,2
e7d1493559727e414,md-1-14-2-2,wedge,md,2
n807fa18946f6fc58--tremolo--1,,tremolo,derive,n807fa18946f6fc58
n7ebb2c34724632ad--tremolo--1,,tremolo,derive,n7ebb2c34724632ad
ndf9b72587ba1ce8c--slur--start--1,n346--slur--start--1,slur,stamp,ndf9b72587ba1ce8c
n352c6d4a691ad6a8--slur--stop--1,n357--slur--stop--1,slur,stamp,n352c6d4a691ad6a8
e22c4bb3fb09ce81d,md-1-15-2-1,dynamics,md,2
n1b702a7d2211c3e9--staccatissimo--1,,staccatissimo,derive,n1b702a7d2211c3e9
n09c2722a96ff5f99--staccatissimo--1,,staccatissimo,derive,n09c2722a96ff5f99
n3934593784e2b7eb--staccatissimo--1,,staccatissimo,derive,n3934593784e2b7eb
n2aee9a2ae12fbf42--staccatissimo--1,,staccatissimo,derive,n2aee9a2ae12fbf42
n07cbb30449e9038e--staccatissimo--1,,staccatissimo,derive,n07cbb30449e9038e
neb20d4c46025d223--staccatissimo--1,,staccatissimo,derive,neb20d4c46025d223
n8bf7df5c96447c32--staccatissimo--1,,staccatissimo,derive,n8bf7df5c96447c32
nffdf81c136e59fbe--staccatissimo--1,,staccatissimo,derive,nffdf81c136e59fbe
n121b5ed504818ba0--staccatissimo--1,,staccatissimo,derive,n121b5ed504818ba0
nca065a2555a65d66--staccatissimo--1,,staccatissimo,derive,nca065a2555a65d66
nd6c5b3828203a042--staccatissimo--1,,staccatissimo,derive,nd6c5b3828203a042
n2493310fad2ac10b--staccatissimo--1,,staccatissimo,derive,n2493310fad2ac10b
n74ba0d0144f07e30--staccatissimo--1,,staccatissimo,derive,n74ba0d0144f07e30
n62228861c822bee8--staccatissimo--1,,staccatissimo,derive,n62228861c822bee8
nc9697cc0e0705eeb--staccatissimo--1,,staccatissimo,derive,nc9697cc0e0705eeb
n98d62e7ff63d0593--staccatissimo--1,,staccatissimo,derive,n98d62e7ff63d0593
e803b41c888cf04de,md-1-16-1-1,dynamics,md,1
n5b44984e0a024851--staccatissimo--1,,staccatissimo,derive,n5b44984e0a024851
n5eb4e22a4c5719f6--staccatissimo--1,,staccatissimo,derive,n5eb4e22a4c5719f6
n8af3ea25e7e840b3--fermata--upright--1,n417--fermata--upright--1,fermata,stamp,n8af3ea25e7e840b3
n701af2c72a186c81--staccatissimo--1,,staccatissimo,derive,n701af2c72a186c81
nd7c9ca4b2de9a042--staccatissimo--1,,staccatissimo,derive,nd7c9ca4b2de9a042
n88227d63dc9f079f--fermata--upright--1,n422--fermata--upright--1,fermata,stamp,n88227d63dc9f079f
n90941af4f6b76266--slur--start--1,n423--slur--start--1,slur,stamp,n90941af4f6b76266
n90941af4f6b76266--staccato--1,,staccato,derive,n90941af4f6b76266
n90941af4f6b76266--accent--1,,accent,derive,n90941af4f6b76266
nb16cd5384a2efeba--staccato--1,,staccato,derive,nb16cd5384a2efeba
n6adbecbd483dd80e--slur--stop--1,n427--slur--stop--1,slur,stamp,n6adbecbd483dd80e
n6adbecbd483dd80e--staccato--1,,staccato,derive,n6adbecbd483dd80e
n159b2afa4fc2da65--slur--start--1,n429--slur--start--1,slur,stamp,n159b2afa4fc2da65
n159b2afa4fc2da65--staccato--1,,staccato,derive,n159b2afa4fc2da65
n159b2afa4fc2da65--accent--1,,accent,derive,n159b2afa4fc2da65
ndd4e6c91e31e2b63--staccato--1,,staccato,derive,ndd4e6c91e31e2b63
ndc244f9cb8b94e08--slur--stop--1,n433--slur--stop--1,slur,stamp,ndc244f9cb8b94e08
ndc244f9cb8b94e08--staccato--1,,staccato,derive,ndc244f9cb8b94e08
nf2e97dc63e723113--staccato--1,,staccato,derive,nf2e97dc63e723113
nf2e97dc63e723113--accent--1,,accent,derive,nf2e97dc63e723113
nc724ff76522d2bd9--staccato--1,,staccato,derive,nc724ff76522d2bd9
ne9cedfa847ba1321--staccato--1,,staccato,derive,ne9cedfa847ba1321
n2a55ab34b1baf488--staccato--1,,staccato,derive,n2a55ab34b1baf488
n2a55ab34b1baf488--accent--1,,accent,derive,n2a55ab34b1baf488
n4e148a0bd783d857--staccato--1,,staccato,derive,n4e148a0bd783d857
na7d771984a92f1f3--staccato--1,,staccato,derive,na7d771984a92f1f3
n4992c2c9c905390b--staccato--1,,staccato,derive,n4992c2c9c905390b
n4992c2c9c905390b--accent--1,,accent,derive,n4992c2c9c905390b
n57716e412e7a1008--staccato--1,,staccato,derive,n57716e412e7a1008
n4408b7f4c6e7cdf0--staccato--1,,staccato,derive,n4408b7f4c6e7cdf0
n454de57c5d0c6329--staccato--1,,staccato,derive,n454de57c5d0c6329
n454de57c5d0c6329--accent--1,,accent,derive,n454de57c5d0c6329
nd78554075286511e--staccato--1,,staccato,derive,nd78554075286511e
nb217eae56761ee64--staccato--1,,staccato,derive,nb217eae56761ee64
eb850a36046c6ad94,md-1-18-1-1,dynamics,md,1
nb3f4fe444fa941ef--slur--start--1,n465--slur--start--1,slur,stamp,nb3f4fe444fa941ef
n85969e03a963f381--slur--stop--1,n471--slur--stop--1,slur,stamp,n85969e03a963f381
n38d7e6b2bf7ce7ee--accent--1,,accent,derive,n38d7e6b2bf7ce7ee
n38d7e6b2bf7ce7ee--staccatissimo--1,,staccatissimo,derive,n38d7e6b2bf7ce7ee
n4237dbbab42b91d3--staccatissimo--1,,staccatissimo,derive,n4237dbbab42b91d3
n97cd913da8a8e10f--staccatissimo--1,,staccatissimo,derive,n97cd913da8a8e10f
n22dd9ea5d61b4986--staccatissimo--1,,staccatissimo,derive,n22dd9ea5d61b4986
n86c8ce629c5a2a92--staccatissimo--1,,staccatissimo,derive,n86c8ce629c5a2a92
n6ab638fb0e83249a--accent--1,,accent,derive,n6ab638fb0e83249a
n558200e4dd0e166c--staccatissimo--1,,staccatissimo,derive,n558200e4dd0e166c
n76083280f6444914--staccatissimo--1,,staccatissimo,derive,n76083280f6444914
naab221868a4f915b--accent--1,,accent,derive,naab221868a4f915b
ea9024b2aa987544d,md-1-20-1-1,dynamics,md,1
n3e333d8e21320566--slur--start--1,n504--slur--start--1,slur,stamp,n3e333d8e21320566
n3e333d8e21320566--staccato--1,,staccato,derive,n3e333d8e21320566
n3e333d8e21320566--accent--1,,accent,derive,n3e333d8e21320566
n2b81abda97689cd1--staccato--1,,staccato,derive,n2b81abda97689cd1
n6ed31a3e549582c7--slur--stop--1,n506--slur--stop--1,slur,stamp,n6ed31a3e549582c7
n6ed31a3e549582c7--staccato--1,,staccato,derive,n6ed31a3e549582c7
n560c68efd53e1730--slur--start--1,n507--slur--start--1,slur,stamp,n560c68efd53e1730
n560c68efd53e1730--staccato--1,,staccato,derive,n560c68efd53e1730
n560c68efd53e1730--accent--1,,accent,derive,n560c68efd53e1730
n6876591ae3c8b240--staccato--1,,staccato,derive,n6876591ae3c8b240
n5148b784b8f1f5c3--slur--stop--1,n509--slur--stop--1,slur,stamp,n5148b784b8f1f5c3
n5148b784b8f1f5c3--staccato--1,,staccato,derive,n5148b784b8f1f5c3
nef5d387fb7bfc623--staccato--1,,staccato,derive,nef5d387fb7bfc623
nef5d387fb7bfc623--accent--1,,accent,derive,nef5d387fb7bfc623
n7112c7f26b6746ac--staccato--1,,staccato,derive,n7112c7f26b6746ac
n889622d41a58972b--staccato--1,,staccato,derive,n889622d41a58972b
n14bc5caabdf046b5--staccato--1,,staccato,derive,n14bc5caabdf046b5
n14bc5caabdf046b5--accent--1,,accent,derive,n14bc5caabdf046b5
n5caf63c62774e0a8--staccato--1,,staccato,derive,n5caf63c62774e0a8
n2b4610084afa8059--staccato--1,,staccato,derive,n2b4610084afa8059
n23badc162a1e6b56--staccato--1,,staccato,derive,n23badc162a1e6b56
n23badc162a1e6b56--accent--1,,accent,derive,n23badc162a1e6b56
nf09c539a15c08f35--staccato--1,,staccato,derive,nf09c539a15c08f35
n8e301fdbab61e114--staccato--1,,staccato,derive,n8e301fdbab61e114
n9df82ebb746fcfc3--staccato--1,,staccato,derive,n9df82ebb746fcfc3
n9df82ebb746fcfc3--accent--1,,accent,derive,n9df82ebb746fcfc3
