note_id,original_id,printed_bar
n92c0258566825443,n1,1
n204ffca1799ccb56,n2,1
nb1fe1d841d164a42,n3,1
nd74ca5506dac56ab,n4,1
n2c07039cbd60ae7c,n5,1
nd624dc6c9f8e9e09,n6,1
nb2af2fa6e58f47df,n7,1
ndfa951950239db02,n8,1
n5ef686b8f99f8452,n9,1
n5dd4615af958d45c,n10,1
n5b6748a78f08aaf7,n11,1
n9531333c0fb513b6,n12,1
na5d53073d1a8a37c,n13,1
n51a5f380c6321cb0,n14,1
nfe5cf0c8be910db2,n15,1
n0492a10c66216e08,n16,1
n2cdc9dd33b10ff7d,n17,1
nae6fec32be5a0499,n18,1
n6d673c6cae98d257,n19,1
n6489888e66a0c78b,n20,1
n5faa98224d804397,n21,1
nffc7ddaa64f74bda,n22,1
ndc2a5aa615e493c7,n23,1
n4179d18655fffe02,n24,1
n6628bc8d7daff247,n25,1
n7ed2f9c65327e2c7,n26,1
n2bd33ec7a5535291,n27,1
nea9b35cc2e44aa22,n28,1
n4efecd48cc849e61,n29,1
n582cf1b7ac3a8106,n30,1
n982dab624257e122,n31,1
n87ccd8dc9a610c87,n32,1
n1d41d64271c37c34,n33,1
nce5387cc4dc2e4e6,n34,1
n6dbd155f6125fa99,n35,1
nca45e3531c843630,n36,1
n1adbd220a9d6b4e1,n37,1
nc91a2d172c925a13,n38,1
ne743d42104129b12,n39,1
n55389794923aeefc,n40,1
nd588f7ef2e58c475,n41,1
n3befa58d37a6e69b,n42,1
n3307e3b4fb652962,n43,2
nd260bb5483a7fee5,n44,2
n0bc7273135f431a4,n45,2
nd2dc8ed934177892,n46,2
n3100a6c2d3e2c25e,n47,2
nae5acb0fb936e54b,n48,2
nacdd960bf9777d40,n49,2
ndec633ec7f2ce42f,n50,2
n0e0a01c0133a26e6,n51,2
n2dcad72939046a89,n52,2
nb5e20d607ebd9d72,n53,2
n6b3dc09cc68c3a34,n54,2
naebcba789a222154,n55,2
n53e7e54d6f601a66,n56,2
n55ad7140b05f5587,n57,2
nbd39e41640e59437,n58,2
necbc3c326b153905,r1,2
n7e73af2982d29453,r2,2
nbbffe3bdb053ef1b,r3,2
n5ca3ed1786978c62,n59,2
ncce0f16ed7fddce5,n60,2
n6b65f71a70dc447d,n61,2
n8345fedd6eba1593,n62,2
nb6f09784ded52ad5,n63,3
nf28be27658133faa,n64,3
nfdf0ce752f843f01,n65,3
ne44914893e3a88fc,n66,3
ncd93cde1b1298f09,n67,3
n601900bd6b9b938d,n68,3
nef78ac326e4b75a9,n69,3
ncab47e9b12218fa3,n70,3
nfc756304363755d6,n71,3
nf795ddedfda9070d,n72,3
nb773ce18c10fa2c5,n73,3
n87614322620900ce,n74,3
n2054e5e235db00e5,n75,3
nfad3ee0ad43f6d09,n76,3
naa2a17c87e619912,n77,4
n5e780c9d2f80e481,n78,4
nf683e27ddbe7529a,n79,4
n34e8ba7d1eecee0d,n80,4
nf10da1ab4fc3aa59,n81,4
n63e4a370f8e443bd,n82,4
n8a7c4f8934a1dfe9,n83,4
ndff2dc5f0233e946,n84,4
n9a1a488d51f9e0f8,n85,4
n2ffc5fa36abed8b9,n86,4
n324bd14305dd6878,n87,4
n79457b17bc22f630,n88,4
nc64b6463209984eb,n89,4
nc13880c83b1d1697,n90,4
n1462883bbf68ecb5,n91,4
n268ccb5fdfa1fb67,n92,4
nb4d61714fcb909a6,n93,4
n9ba558eccf49d5c3,n94,4
nfc0ca5e98866555d,n95,4
n092a3c3944b3ff60,n96,4
nd8efe6abf29a1569,n97,4
nf0b97ccb954eb9a0,n98,4
nf5b4e3dab8e74d8c,n99,4
n0093c0326c65aa55,n100,4
n4fbcef650dfafb00,n101,4
n1dbfed947110fda6,n102,4
nf3e979ad4d486bc0,n103,4
n85103d819af8edb2,n104,4
n88e69c7b59f91aac,n105,4
n3393ec9e3a7836a3,n106,4
nbf482525d7e00694,n107,4
na4a5f44a241b8b54,n108,4
n213efeba6e6a2ec8,n109,4
na028fc36946fe30c,n110,4
n3c2907106a5aaedb,n111,4
n28d7f21759e48e08,n112,4
n93c7f905953afcbd,n113,5
n48b1f48488ba08a7,r4,5
n2e7266880edb2054,n114,5
n2395f923c740d2a1,n115,5
n5019d099246ce032,n116,5
n1c090eadc68d00c1,n117,5
na3eef1816503e468,n118,5
nc548125c88c8d7ff,n119,5
n94e2cc9a55eaf3af,n120,5
nb4948127f442ed70,n121,5
nb2524438f892cad2,n122,5
n1f39fafca34ba7d9,n123,5
n8b7f5b1da6a23a96,n124,5
nfd7c2549312f6cf1,n125,5
n9e4f90c5c1d999a3,n126,5
ne291feb268162aee,n127,5
n28682f1db12db125,n128,5
n81bbb75c40972ffd,n129,5
ncd60db40bea498cf,n130,5
ncae26ab59c161c1b,n131,5
n17154eaa4e8d1754,n132,5
nf13c02c3a1390013,n133,5
n1e9defe82eb11585,n134,6
ne9525272c27e5c43,n135,6
nd4f4d6beab865913,n136,6
n1fef0f4cc1ee6b66,n137,6
n469f44b5326c870c,n138,6
n9b151cb940dd54e6,n139,6
n662f5e29bf24f13d,n140,6
ndf7861ce78d7c34b,n141,6
nef5db852644de311,n142,6
n4009f5c77c77b01e,n143,6
n23ee533d3ff3c040,n144,6
nfb824d7f4cb174c2,n145,6
n38e379f6078c6b9c,n146,6
n23ad65bfb6515253,n147,6
n5b39b5cbf35ce4af,n148,6
nbe533f8258716c0b,n149,6
nfda1b1a45af7ef41,n150,6
n59152f20a7a54c54,n151,6
n7d68c9f949fcbf41,n152,6
n7f0e8f9b70317432,n153,6
n0c10c2439fa314f0,n154,6
n9e607b29b20775db,n155,6
n6413143317d118a0,n156,7
ned68d92e8eeae05d,n157,7
ndbd8f69becf2737f,n158,7
na560afe03a32b6e3,n159,7
n5f433a027655b4ce,n160,7
n956cb618891712db,n161,7
ndc31de83e02ee1fc,n162,7
n03c799522d4e964a,n163,7
n988fe52499027526,n164,7
n423f680b54cf748c,n165,7
n813d833ed04a99ed,n166,7
n40c2d9c880ea1592,n167,7
n022cc449c390db8f,n168,7
n18100e2dbbf61bde,n169,7
n9dc5cec5b4f48e02,n170,7
n1a3c7eb73f535317,n171,7
n24cb69b965788bb8,n172,7
n46dd0ddb133230de,n173,7
n3135a18641fbae9c,n174,7
n020fe523bfcc21a0,n175,7
nf93873a4b61ba5be,n176,7
n122374b1ed4515c2,n177,7
n127afbd4fd4ab5be,n178,7
nb32f6c60406e48bc,n179,8
n8e25a7199fbcacc0,n180,8
na05f334dd00f030a,n181,8
n50d89578a8b22611,n182,8
n282b82848fec8a39,n183,8
ndda501a65cfc5340,n184,8
n61a94606b3ab999b,n185,8
n49a15ea7e6973eea,n186,8
n986bebb3e9b22452,n187,8
n1414a1f79a1ee312,n188,8
ned58c78cd8d1f65f,n189,8
n22e71bcc969294be,n190,8
ne18cfab5e929935d,n191,8
n40c3b47169c93048,n192,8
n34f393242cd7d696,n193,8
n74cd890a225e374d,n194,8
n29de990d5a30352f,n195,8
na0601e1eae56a2cf,n196,8
n36844cb0ec7cec1c,n197,8
nfd2fbaf84dd87183,n198,8
nf220100436d43ca6,n199,8
n0a76c01cc412733b,n200,8
nfe7862701d6557c1,n201,8
n1d2fa915f185ec70,n202,8
ne028bb7e76ded26c,n203,8
n0c7dae1fddef86ed,n204,8
n95e1c11c01af1b14,n205,9
nb8553dffef7a1818,n206,9
nf3feaf063350c3a9,n207,9
n8c4c08664a58601e,n208,9
n096e604b7fcd44af,n209,9
n932952391d9000c8,n210,9
nd90b58d322d50ec9,n211,9
n27f82c974f0b6844,n212,9
n33f83e59b5c9c06f,n213,9
nc9d0370c5d08af14,n214,9
nf097de9762db902e,n215,9
nce3e5b203ce77740,n216,9
nea6a923299c4e256,n217,9
