element_id,original_id,tag,carrier,host_or_staff
nc7618f5a5ec2527d--slur--start--1,n1--slur--start--1,slur,stamp,nc7618f5a5ec2527d
n658e9dae0d5dd64f--slur--start--1,n6--slur--start--1,slur,stamp,n658e9dae0d5dd64f
n560dca5308d18be9--slur--stop--1,n7--slur--stop--1,slur,stamp,n560dca5308d18be9
n87ccd8dc9a610c87--slur--start--1,n10--slur--start--1,slur,stamp,n87ccd8dc9a610c87
e87f82e1fe152bd03,md-1-0-1-1,words,md,1
e3abc2c7af74bcf7b,md-1-0-1-2,dynamics,md,1
e373c2089b7731a29,md-1-0-2-1,pedal,md,2
nf172ba07e87c4bd7--slur--stop--1,n13--slur--stop--1,slur,stamp,nf172ba07e87c4bd7
n2c0a9ffb3aa80acc--slur--stop--1,n24--slur--stop--1,slur,stamp,n2c0a9ffb3aa80acc
n3248f91bab1b6855--slur--start--1,n25--slur--start--1,slur,stamp,n3248f91bab1b6855
ec42f54a27f8e2bf0,md-1-1-1-2,words,md,1
e8e8529d9e99f77a5,md-1-1-1-3,words,md,1
e18bba9cf3f5fdc13,md-1-1-2-1,pedal,md,2
nc39e7b814dce727c--slur--stop--1,n28--slur--stop--1,slur,stamp,nc39e7b814dce727c
n434eec59379ae802--slur--start--1,n29--slur--start--1,slur,stamp,n434eec59379ae802
n1a397151cb5d89f3--slur--stop--1,n30--slur--stop--1,slur,stamp,n1a397151cb5d89f3
n242bd5c75fa80f5e--tie--1,,tie,derive,n242bd5c75fa80f5e
n242bd5c75fa80f5e--tied--start--1,n35--tied--start--1,tied,stamp,n242bd5c75fa80f5e
nc8afaba8cf7b54c6--tie--1,,tie,derive,nc8afaba8cf7b54c6
nc8afaba8cf7b54c6--tied--start--1,n39--tied--start--1,tied,stamp,nc8afaba8cf7b54c6
n2054e5e235db00e5--slur--start--1,n41--slur--start--1,slur,stamp,n2054e5e235db00e5
e13e68ad17b1274db,md-1-2-1-1,wedge,md,1
nf23892b20db27a18--slur--stop--1,n42--slur--stop--1,slur,stamp,nf23892b20db27a18
n7878c35b70c0d66f--slur--start--1,n43--slur--start--1,slur,stamp,n7878c35b70c0d66f
n36ba8595624f49ed--slur--stop--1,n44--slur--stop--1,slur,stamp,n36ba8595624f49ed
n4d04e749c95de838--tie--1,,tie,derive,n4d04e749c95de838
n4d04e749c95de838--tied--stop--1,n46--tied--stop--1,tied,stamp,n4d04e749c95de838
n586156aa61a8e9ee--tie--1,,tie,derive,n586156aa61a8e9ee
n586156aa61a8e9ee--tied--stop--1,n52--tied--stop--1,tied,stamp,n586156aa61a8e9ee
n16c79a54df616323--tie--1,,tie,derive,n16c79a54df616323
n16c79a54df616323--tied--start--1,n55--tied--start--1,tied,stamp,n16c79a54df616323
eab7e8a76cfbbc7c2,md-1-3-1-1,words,md,1
e4394180944dc5fac,md-1-3-1-2,words,md,1
na79718485a5d26a7--slur--start--1,n57--slur--start--1,slur,stamp,na79718485a5d26a7
ne946dcd28d13dd6c--slur--start--1,n68--slur--start--1,slur,stamp,ne946dcd28d13dd6c
e99d58643f1d0e0bc,md-1-4-2-1,pedal,md,2
nd3279233e363e446--slur--stop--1,n71--slur--stop--1,slur,stamp,nd3279233e363e446
na4f8e97ae7ade265--tie--1,,tie,derive,na4f8e97ae7ade265
na4f8e97ae7ade265--tied--start--1,n79--tied--start--1,tied,stamp,na4f8e97ae7ade265
nf6409c87c33f4578--slur--stop--1,n82--slur--stop--1,slur,stamp,nf6409c87c33f4578
nd3efb3a1644322a5--tie--1,,tie,derive,nd3efb3a1644322a5
nd3efb3a1644322a5--tied--start--1,n83--tied--start--1,tied,stamp,nd3efb3a1644322a5
ec9efd794b566e545,md-1-5-2-1,pedal,md,2
e318639954e105d0a,md-1-5-2-2,pedal,md,2
n08d79dee4ee6a3c6--tie--1,,tie,derive,n08d79dee4ee6a3c6
n08d79dee4ee6a3c6--tied--stop--1,n90--tied--stop--1,tied,stamp,n08d79dee4ee6a3c6
ndb159acde8444768--tie--1,,tie,derive,ndb159acde8444768
ndb159acde8444768--tied--start--1,n93--tied--start--1,tied,stamp,ndb159acde8444768
n570e5fa2519be992--tie--1,,tie,derive,n570e5fa2519be992
n570e5fa2519be992--tied--stop--1,n96--tied--stop--1,tied,stamp,n570e5fa2519be992
nf22152aaceccda8e--tie--1,,tie,derive,nf22152aaceccda8e
nf22152aaceccda8e--tied--start--1,n97--tied--start--1,tied,stamp,nf22152aaceccda8e
neb17ae19a41d91dc--tie--1,,tie,derive,neb17ae19a41d91dc
neb17ae19a41d91dc--tied--stop--1,n99--tied--stop--1,tied,stamp,neb17ae19a41d91dc
ed570b3344fbbb413,md-1-6-2-1,pedal,md,2
nf61c891f2f3efcf9--tie--1,,tie,derive,nf61c891f2f3efcf9
nf61c891f2f3efcf9--tied--start--1,n103--tied--start--1,tied,stamp,nf61c891f2f3efcf9
n6bf02ca7abd4b63f--tie--1,,tie,derive,n6bf02ca7abd4b63f
n6bf02ca7abd4b63f--tied--stop--1,n104--tied--stop--1,tied,stamp,n6bf02ca7abd4b63f
nfd2fbaf84dd87183--tie--1,,tie,derive,nfd2fbaf84dd87183
nfd2fbaf84dd87183--tied--stop--1,n110--tied--stop--1,tied,stamp,nfd2fbaf84dd87183
e5be51f48d859e2a7,md-1-7-2-1,pedal,md,2
n169dd33ee161d9c9--slur--start--1,n116--slur--start--1,slur,stamp,n169dd33ee161d9c9
na9a3b73484a47c63--tie--1,,tie,derive,na9a3b73484a47c63
na9a3b73484a47c63--tied--start--1,n123--tied--start--1,tied,stamp,na9a3b73484a47c63
n85a502bb0235add5--tie--1,,tie,derive,n85a502bb0235add5
n85a502bb0235add5--tied--start--1,n127--tied--start--1,tied,stamp,n85a502bb0235add5
e51d30cad099299aa,md-1-8-2-1,pedal,md,2
ebf10b8159934bad7,md-1-8-2-2,pedal,md,2
n6bc813a47c78bbe1--slur--stop--1,n131--slur--stop--1,slur,stamp,n6bc813a47c78bbe1
nbb2c1a435bee790d--slur--start--1,n132--slur--start--1,slur,stamp,nbb2c1a435bee790d
nafee609becb3d080--slur--stop--1,n133--slur--stop--1,slur,stamp,nafee609becb3d080
n42bd4a5621e2ad98--tie--1,,tie,derive,n42bd4a5621e2ad98
n42bd4a5621e2ad98--tied--stop--1,n135--tied--stop--1,tied,stamp,n42bd4a5621e2ad98
n42bd4a5621e2ad98--slur--start--1,n135--slur--start--1,slur,stamp,n42bd4a5621e2ad98
n981151851afc4e86--tie--1,,tie,derive,n981151851afc4e86
n981151851afc4e86--tied--start--1,n138--tied--start--1,tied,stamp,n981151851afc4e86
n981151851afc4e86--slur--stop--1,n138--slur--stop--1,slur,stamp,n981151851afc4e86
n6d2b10d257fcdcc6--tie--1,,tie,derive,n6d2b10d257fcdcc6
n6d2b10d257fcdcc6--tied--stop--1,n141--tied--stop--1,tied,stamp,n6d2b10d257fcdcc6
n6d2b10d257fcdcc6--slur--start--1,n141--slur--start--1,slur,stamp,n6d2b10d257fcdcc6
n29a18d3eefec2c02--tie--1,,tie,derive,n29a18d3eefec2c02
n29a18d3eefec2c02--tied--start--1,n142--tied--start--1,tied,stamp,n29a18d3eefec2c02
n29a18d3eefec2c02--slur--stop--1,n142--slur--stop--1,slur,stamp,n29a18d3eefec2c02
nf168428e3d814e18--staccato--1,,staccato,derive,nf168428e3d814e18
e58635659dfebc839,md-1-9-2-1,pedal,md,2
e3e546555a70e4f65,md-1-9-2-2,pedal,md,2
n862719b14fa4ff00--slur--start--1,n149--slur--start--1,slur,stamp,n862719b14fa4ff00
n5523997cd6bcb256--tie--1,,tie,derive,n5523997cd6bcb256
n5523997cd6bcb256--tied--stop--1,n150--tied--stop--1,tied,stamp,n5523997cd6bcb256
nc8fabd71c4ee3072--tie--1,,tie,derive,nc8fabd71c4ee3072
nc8fabd71c4ee3072--tied--stop--1,n156--tied--stop--1,tied,stamp,nc8fabd71c4ee3072
n22f5bc3fd8e7b9ea--staccato--1,,staccato,derive,n22f5bc3fd8e7b9ea
nb9f5dca419d05924--staccato--1,,staccato,derive,nb9f5dca419d05924
e0cbf2e8d25067892,md-1-10-2-1,pedal,md,2
e8660a6468ecf0810,md-1-10-2-2,pedal,md,2
n5df9688938894d44--slur--stop--1,n161--slur--stop--1,slur,stamp,n5df9688938894d44
ne3cf098af986a2cc--slur--start--1,n162--slur--start--1,slur,stamp,ne3cf098af986a2cc
nad599ea0e5950a58--slur--stop--1,n163--slur--stop--1,slur,stamp,nad599ea0e5950a58
n187b5c3d9c8cbeb1--slur--start--1,n164--slur--start--1,slur,stamp,n187b5c3d9c8cbeb1
neb4599156d3622b2--staccato--1,,staccato,derive,neb4599156d3622b2
ndd53331bfa0b9798--staccato--1,,staccato,derive,ndd53331bfa0b9798
e88aa2756eb725021,md-1-11-2-1,pedal,md,2
n592f1ed8c9fd54ae--slur--stop--1,n177--slur--stop--1,slur,stamp,n592f1ed8c9fd54ae
nf7b5ffd98647ec34--slur--start--1,n179--slur--start--1,slur,stamp,nf7b5ffd98647ec34
n228e40292ee2d904--slur--stop--1,n182--slur--stop--1,slur,stamp,n228e40292ee2d904
nb7aad008957085a4--slur--start--1,n186--slur--start--1,slur,stamp,nb7aad008957085a4
nc768a51c8d0ecdd8--slur--stop--1,n187--slur--stop--1,slur,stamp,nc768a51c8d0ecdd8
nfa42beafd7dab71c--staccato--1,,staccato,derive,nfa42beafd7dab71c
e4601548a83f5e218,md-1-12-1-1,wedge,md,1
e8162fde2e48c7b27,md-1-12-1-2,wedge,md,1
ee0ea43893dddf05b,md-1-12-1-3,wedge,md,1
edd1747bc88850cfd,md-1-12-1-4,pedal,md,1
e10b1bd106afa4323,md-1-12-2-1,pedal,md,2
e81f91ee84008e6f6,md-1-12-2-2,pedal,md,2
nc44440fc7e7e24be--slur--start--1,n195--slur--start--1,slur,stamp,nc44440fc7e7e24be
n145de7bc8ffb609f--slur--stop--1,n196--slur--stop--1,slur,stamp,n145de7bc8ffb609f
n35be55ed5d2442fa--slur--start--1,n197--slur--start--1,slur,stamp,n35be55ed5d2442fa
n1919d7451765cace--tie--1,,tie,derive,n1919d7451765cace
n1919d7451765cace--tied--start--1,n201--tied--start--1,tied,stamp,n1919d7451765cace
na429f23be63bd0f2--tie--1,,tie,derive,na429f23be63bd0f2
na429f23be63bd0f2--tied--start--1,n205--tied--start--1,tied,stamp,na429f23be63bd0f2
na790048ae5f261c2--staccato--1,,staccato,derive,na790048ae5f261c2
ef317b75009e7f221,md-1-13-2-1,pedal,md,2
n3543c00112f09ec6--slur--stop--1,n208--slur--stop--1,slur,stamp,n3543c00112f09ec6
ne1ff20e5b8f2f4c9--slur--start--1,n209--slur--start--1,slur,stamp,ne1ff20e5b8f2f4c9
n30ad7995561989e3--slur--stop--1,n210--slur--stop--1,slur,stamp,n30ad7995561989e3
n1e7064e4ae2a6ac4--tie--1,,tie,derive,n1e7064e4ae2a6ac4
n1e7064e4ae2a6ac4--tied--stop--1,n212--tied--stop--1,tied,stamp,n1e7064e4ae2a6ac4
n3973c58c337ecea3--tie--1,,tie,derive,n3973c58c337ecea3
n3973c58c337ecea3--tied--stop--1,n218--tied--stop--1,tied,stamp,n3973c58c337ecea3
n551567540ae50ac3--staccato--1,,staccato,derive,n551567540ae50ac3
nd19fce5e1b5691eb--staccato--1,,staccato,derive,nd19fce5e1b5691eb
nb0b10360a0ae672c--tie--1,,tie,derive,nb0b10360a0ae672c
nb0b10360a0ae672c--tied--start--1,n225--tied--start--1,tied,stamp,nb0b10360a0ae672c
ne101de8697c98678--staccato--1,,staccato,derive,ne101de8697c98678
ne5c7c3e3d7b93297--staccato--1,,staccato,derive,ne5c7c3e3d7b93297
e93187a3fbd58b135,md-1-15-1-1,wedge,md,1
e1ec74ad3a589644a,md-1-15-1-2,wedge,md,1
n34ab583b605a5c40--tie--1,,tie,derive,n34ab583b605a5c40
n34ab583b605a5c40--tied--stop--1,n236--tied--stop--1,tied,stamp,n34ab583b605a5c40
nb37db974d0c7ea1d--slur--start--1,n238--slur--start--1,slur,stamp,nb37db974d0c7ea1d
n8b4884d1b0ffceda--staccato--1,,staccato,derive,n8b4884d1b0ffceda
ebc508ee5e95e3407,md-1-16-1-1,words,md,1
ncd6490fa874bdb32--tie--1,,tie,derive,ncd6490fa874bdb32
ncd6490fa874bdb32--tied--start--1,n249--tied--start--1,tied,stamp,ncd6490fa874bdb32
nc497b4ad0916b825--tie--1,,tie,derive,nc497b4ad0916b825
nc497b4ad0916b825--tied--start--1,n252--tied--start--1,tied,stamp,nc497b4ad0916b825
e0b425d54579942ec,md-1-17-2-1,pedal,md,2
n3845f343cbea50f3--tie--1,,tie,derive,n3845f343cbea50f3
n3845f343cbea50f3--tied--stop--1,n254--tied--stop--1,tied,stamp,n3845f343cbea50f3
n3845f343cbea50f3--slur--stop--1,n254--slur--stop--1,slur,stamp,n3845f343cbea50f3
naec6a59ce00a9d4e--slur--start--1,n255--slur--start--1,slur,stamp,naec6a59ce00a9d4e
naaae11a16ffdb614--slur--stop--1,n258--slur--stop--1,slur,stamp,naaae11a16ffdb614
nd0808e1cca77a795--tie--1,,tie,derive,nd0808e1cca77a795
nd0808e1cca77a795--tied--stop--1,n259--tied--stop--1,tied,stamp,nd0808e1cca77a795
n38d7e6b2bf7ce7ee--tie--1,,tie,derive,n38d7e6b2bf7ce7ee
n38d7e6b2bf7ce7ee--tied--stop--1,n265--tied--stop--1,tied,stamp,n38d7e6b2bf7ce7ee
n2dfa427874c47378--tie--1,,tie,derive,n2dfa427874c47378
n2dfa427874c47378--tied--start--1,n268--tied--start--1,tied,stamp,n2dfa427874c47378
e2fecb325052018fc,md-1-18-1-1,words,md,1
eb1b227786fb101b7,md-1-18-1-2,pedal,md,1
ef6a1e282672ddfd8,md-1-18-2-1,pedal,md,2
e9a85c041c6a8e4f8,md-1-18-2-2,pedal,md,2
n4b4740cf24599d16--slur--start--1,n270--slur--start--1,slur,stamp,n4b4740cf24599d16
nb4d48fc44a5f045d--tie--1,,tie,derive,nb4d48fc44a5f045d
nb4d48fc44a5f045d--tied--start--1,n277--tied--start--1,tied,stamp,nb4d48fc44a5f045d
n5ed5dc272d18bf42--tie--1,,tie,derive,n5ed5dc272d18bf42
n5ed5dc272d18bf42--tied--start--1,n281--tied--start--1,tied,stamp,n5ed5dc272d18bf42
n7873a38b7dac0dc7--slur--stop--1,n284--slur--stop--1,slur,stamp,n7873a38b7dac0dc7
nd31fc33aa6a63315--slur--start--1,n285--slur--start--1,slur,stamp,nd31fc33aa6a63315
n996b41a146ac6058--slur--stop--1,n286--slur--stop--1,slur,stamp,n996b41a146ac6058
ndf2d245e9aa56df5--tie--1,,tie,derive,ndf2d245e9aa56df5
