note_id,original_id,printed_bar
nc7618f5a5ec2527d,n1,1
n06f34fedf97a8cfc,n2,1
n3bb8d0ec9acde4ec,n3,1
naecfcf696df8f5b7,n4,1
nb7f4757287a420f7,n5,1
n658e9dae0d5dd64f,n6,1
n560dca5308d18be9,n7,1
n14ecb9df1b5002df,n8,1
n305e2c5a98fe8c38,n9,1
n87ccd8dc9a610c87,n10,1
n73dcc0ab01a61810,n11,1
n96055867ad267e62,n12,1
nf172ba07e87c4bd7,n13,2
nacdd960bf9777d40,n14,2
n47bbdd4f15fdf5f8,n15,2
na72df0c06d0337c9,n16,2
n7d2942f2f8c429ed,n17,2
nd2dc8ed934177892,n18,2
n3100a6c2d3e2c25e,n19,2
nd260bb5483a7fee5,n20,2
n12ead37185fe761c,n21,2
n24fac2c9a8890863,n22,2
nddd1a51f1a5e2fc0,n23,2
n2c0a9ffb3aa80acc,n24,2
n3248f91bab1b6855,n25,2
n53a6e0d317d9757f,n26,2
n658fb02f2bd13411,n27,2
nc39e7b814dce727c,n28,3
n434eec59379ae802,n29,3
n1a397151cb5d89f3,n30,3
n9d1e9281c26cac2a,n31,3
ncdf304b4b3a5c889,n32,3
n3977514d99d3e38e,n33,3
nb81cfd31ed846235,n34,3
n242bd5c75fa80f5e,n35,3
n3350c0406196cb54,n36,3
n24390023981ddc31,n37,3
na7ba99bde783ca2a,n38,3
nc8afaba8cf7b54c6,n39,3
na9b3fff5f538b8be,n40,3
n2054e5e235db00e5,n41,3
nf23892b20db27a18,n42,4
n7878c35b70c0d66f,n43,4
n36ba8595624f49ed,n44,4
n33178c321da473cb,n45,4
n4d04e749c95de838,n46,4
nd953877645d6e99d,n47,4
n6ffbf99070734cca,n48,4
nc0ebfcc162469f75,n49,4
nee42ef47425ddb2c,n50,4
necff1b4fbaf526f4,n51,4
n586156aa61a8e9ee,n52,4
n08cfa2738a56174b,n53,4
nfc0ca5e98866555d,n54,4
n16c79a54df616323,n55,4
n3227b8607e4fb535,n56,5
na79718485a5d26a7,n57,5
nee386b4a0d9f81c2,n58,5
n03991c98fda8358e,n59,5
nfa8932ab10d37702,n60,5
n0e4642b0b27949ad,n61,5
n2e7266880edb2054,n62,5
naa668d9e2732538d,n63,5
n17154eaa4e8d1754,n64,5
ncb2b4aeebe570b2f,n65,5
n964082f3f5e1b5f9,n66,5
nef3c842df01ce7a3,n67,5
ne946dcd28d13dd6c,n68,5
n33a45a783856ba1d,n69,5
ne291feb268162aee,n70,5
nd3279233e363e446,n71,6
n1b683824bf93249f,n72,6
nd90ba5f01fdf98d6,n73,6
nefe43b5e2628e339,n74,6
n8f65b83a480f93df,n75,6
n6fea75bbc6534a45,n76,6
nc99b4dcbc8f741e3,n77,6
n0cd4ebc8c4804db9,n78,6
na4f8e97ae7ade265,n79,6
n8eb1b3c26b851aee,n80,6
n14ed14fa3de68211,n81,6
nf6409c87c33f4578,n82,6
nd3efb3a1644322a5,n83,6
nf0da4c3a6d54de54,n84,6
n7f0e8f9b70317432,n85,6
n00e4a6e051563653,n86,7
n701e49c8a2ff9bf3,n87,7
n385f162892996fca,n88,7
nad85ef7de33c8fbd,n89,7
n08d79dee4ee6a3c6,n90,7
n4599adcc68631f64,n91,7
n72e3589e0fecafd0,n92,7
ndb159acde8444768,n93,7
n02a8fb1735f77288,n94,7
nedca7d52d8c31924,n95,7
n570e5fa2519be992,n96,7
nf22152aaceccda8e,n97,7
nbe9574c4faa2c2c5,n98,7
neb17ae19a41d91dc,n99,7
ne8701aae9cf71112,n100,8
n54221e2fec843e7b,n101,8
ncc18744b617deace,n102,8
nf61c891f2f3efcf9,n103,8
n6bf02ca7abd4b63f,n104,8
n1bcfa82c17f33798,n105,8
ned896709ec2a8a43,n106,8
nd32fb92f0b823bc3,n107,8
ncc03b7da602358ce,n108,8
n27f0577f8aeff1d0,n109,8
nfd2fbaf84dd87183,n110,8
n2bc17f85894a2e2b,n111,8
n0a76c01cc412733b,n112,8
n13e8caf3e7b64c93,n113,8
n932952391d9000c8,n114,9
n4795f7216106f574,n115,9
n169dd33ee161d9c9,n116,9
nc4bc315fce8e5701,n117,9
ncc1051e1ef04828f,n118,9
n546dd712cca6863b,n119,9
n6b506dc033ef185e,n120,9
n15617c5cec6c5c7f,n121,9
n48704dbf483bf23c,n122,9
na9a3b73484a47c63,n123,9
n51d3c5bae0e577ed,n124,9
n2e094309eae1eabb,n125,9
na33f8d1f2b65753d,n126,9
n85a502bb0235add5,n127,9
n0ffd69c8e56f9e1d,n128,9
nf238618a2d57cb43,n129,9
na719b07f92358f88,n130,9
n6bc813a47c78bbe1,n131,10
nbb2c1a435bee790d,n132,10
nafee609becb3d080,n133,10
n94cc84b87529526e,n134,10
n42bd4a5621e2ad98,n135,10
n8d1b560aa88d88fb,n136,10
n30d19f6ef4a573a9,n137,10
n981151851afc4e86,n138,10
n5c485e639a798328,n139,10
n831c4a9efc375024,n140,10
n6d2b10d257fcdcc6,n141,10
n29a18d3eefec2c02,n142,10
n725e1bfefb6494ff,n143,10
nf168428e3d814e18,n144,10
n99993f212dfb941d,n145,10
na1d1ffb4ef4b6fd6,n146,11
n03745bd9a2d218a0,n147,11
