element_id,tag,carrier,host_or_staff
n4--tuplet--start--1,tuplet,stamp,n4
n4--slur--stop--1,slur,stamp,n4
n6--tuplet--stop--1,tuplet,stamp,n6
n6--slur--start--1,slur,stamp,n6
n7--tuplet--start--1,tuplet,stamp,n7
n7--slur--stop--1,slur,stamp,n7
n9--tuplet--stop--1,tuplet,stamp,n9
n9--slur--start--1,slur,stamp,n9
n10--tuplet--start--1,tuplet,stamp,n10
n10--slur--stop--1,slur,stamp,n10
n12--tuplet--stop--1,tuplet,stamp,n12
n13--tuplet--start--1,tuplet,stamp,n13
n15--tuplet--stop--1,tuplet,stamp,n15
n15--slur--start--1,slur,stamp,n15
n16--staccato--1,staccato,derive,n16
n18--tie--1,tie,derive,n18
n18--tied--start--1,tied,stamp,n18
n19--tie--1,tie,derive,n19
n19--tied--start--1,tied,stamp,n19
n20--tuplet--start--1,tuplet,stamp,n20
n20--accent--1,accent,derive,n20
n22--tuplet--stop--1,tuplet,stamp,n22
n22--slur--start--1,slur,stamp,n22
n23--tuplet--start--1,tuplet,stamp,n23
n23--slur--stop--1,slur,stamp,n23
n25--tuplet--stop--1,tuplet,stamp,n25
n25--slur--start--1,slur,stamp,n25
n26--tuplet--start--1,tuplet,stamp,n26
n26--slur--stop--1,slur,stamp,n26
n26--accent--1,accent,derive,n26
n28--tuplet--stop--1,tuplet,stamp,n28
n28--slur--start--1,slur,stamp,n28
n29--tuplet--start--1,tuplet,stamp,n29
n29--slur--stop--1,slur,stamp,n29
n31--tuplet--stop--1,tuplet,stamp,n31
n31--slur--start--1,slur,stamp,n31
n32--tie--1,tie,derive,n32
n32--tied--stop--1,tied,stamp,n32
n33--tie--1,tie,derive,n33
n33--tied--stop--1,tied,stamp,n33
n34--staccato--1,staccato,derive,n34
n36--tie--1,tie,derive,n36
n36--tied--start--1,tied,stamp,n36
n36--staccato--1,staccato,derive,n36
n37--tie--1,tie,derive,n37
n37--tied--start--1,tied,stamp,n37
md-1-2-1-1,wedge,md,1
n39--tuplet--start--1,tuplet,stamp,n39
n39--slur--stop--1,slur,stamp,n39
n39--accent--1,accent,derive,n39
n41--tuplet--stop--1,tuplet,stamp,n41
n41--slur--start--1,slur,stamp,n41
n42--tuplet--start--1,tuplet,stamp,n42
n42--slur--stop--1,slur,stamp,n42
n44--tuplet--stop--1,tuplet,stamp,n44
n44--slur--start--1,slur,stamp,n44
n45--tuplet--start--1,tuplet,stamp,n45
n45--slur--stop--1,slur,stamp,n45
n45--accent--1,accent,derive,n45
n47--tuplet--stop--1,tuplet,stamp,n47
n47--slur--start--1,slur,stamp,n47
n48--tuplet--start--1,tuplet,stamp,n48
n48--slur--stop--1,slur,stamp,n48
n48--accent--1,accent,derive,n48
n50--tuplet--stop--1,tuplet,stamp,n50
n51--tie--1,tie,derive,n51
n51--tied--stop--1,tied,stamp,n51
n52--tie--1,tie,derive,n52
n52--tied--stop--1,tied,stamp,n52
n55--tie--1,tie,derive,n55
n55--tied--start--1,tied,stamp,n55
n55--staccato--1,staccato,derive,n55
n56--tie--1,tie,derive,n56
n56--tied--start--1,tied,stamp,n56
md-1-3-1-1,words,md,1
md-1-3-1-2,words,md,1
md-1-3-1-3,words,md,1
md-1-3-1-4,wedge,md,1
n58--tuplet--start--1,tuplet,stamp,n58
n58--accent--1,accent,derive,n58
n60--tuplet--stop--1,tuplet,stamp,n60
n60--slur--start--1,slur,stamp,n60
n61--tuplet--start--1,tuplet,stamp,n61
n61--slur--stop--1,slur,stamp,n61
n63--tuplet--stop--1,tuplet,stamp,n63
n64--tuplet--start--1,tuplet,stamp,n64
n66--tuplet--stop--1,tuplet,stamp,n66
n66--slur--start--1,slur,stamp,n66
n67--tuplet--start--1,tuplet,stamp,n67
n67--slur--stop--1,slur,stamp,n67
n69--tuplet--stop--1,tuplet,stamp,n69
n69--slur--start--1,slur,stamp,n69
n70--tie--1,tie,derive,n70
n70--tied--stop--1,tied,stamp,n70
n71--tie--1,tie,derive,n71
n71--tied--stop--1,tied,stamp,n71
md-1-4-1-1,wedge,md,1
md-1-4-1-2,wedge,md,1
md-1-4-1-3,dynamics,md,1
n74--tuplet--start--1,tuplet,stamp,n74
n74--slur--stop--1,slur,stamp,n74
n74--accent--1,accent,derive,n74
n76--tuplet--stop--1,tuplet,stamp,n76
n76--slur--start--1,slur,stamp,n76
n77--tuplet--start--1,tuplet,stamp,n77
n77--slur--stop--1,slur,stamp,n77
n77--accent--1,accent,derive,n77
n79--tuplet--stop--1,tuplet,stamp,n79
n80--tuplet--start--1,tuplet,stamp,n80
n80--accent--1,accent,derive,n80
n82--tuplet--stop--1,tuplet,stamp,n82
n82--slur--start--1,slur,stamp,n82
n83--tuplet--start--1,tuplet,stamp,n83
n83--slur--stop--1,slur,stamp,n83
n83--accent--1,accent,derive,n83
n85--tuplet--stop--1,tuplet,stamp,n85
n85--slur--start--1,slur,stamp,n85
n87--staccato--1,staccato,derive,n87
n90--tie--1,tie,derive,n90
n90--tied--start--1,tied,stamp,n90
n90--staccato--1,staccato,derive,n90
n91--tie--1,tie,derive,n91
n91--tied--start--1,tied,stamp,n91
n92--tie--1,tie,derive,n92
n92--tied--start--1,tied,stamp,n92
md-1-5-1-1,wedge,md,1
n93--tuplet--start--1,tuplet,stamp,n93
n93--slur--stop--1,slur,stamp,n93
n95--tuplet--stop--1,tuplet,stamp,n95
n95--slur--start--1,slur,stamp,n95
n96--tuplet--start--1,tuplet,stamp,n96
n96--slur--stop--1,slur,stamp,n96
n98--tuplet--stop--1,tuplet,stamp,n98
n98--slur--start--1,slur,stamp,n98
n99--tuplet--start--1,tuplet,stamp,n99
n99--slur--stop--1,slur,stamp,n99
n99--accent--1,accent,derive,n99
n101--tuplet--stop--1,tuplet,stamp,n101
n101--slur--start--1,slur,stamp,n101
n102--tuplet--start--1,tuplet,stamp,n102
n102--slur--stop--1,slur,stamp,n102
n102--accent--1,accent,derive,n102
n104--tie--1,tie,derive,n104
n104--tied--start--1,tied,stamp,n104
n104--tuplet--stop--1,tuplet,stamp,n104
n105--tie--1,tie,derive,n105
n105--tied--stop--1,tied,stamp,n105
n106--tie--1,tie,derive,n106
n106--tied--stop--1,tied,stamp,n106
n107--tie--1,tie,derive,n107
n107--tied--stop--1,tied,stamp,n107
n108--accent--1,accent,derive,n108
n111--tie--1,tie,derive,n111
n111--tied--start--1,tied,stamp,n111
n112--tie--1,tie,derive,n112
n112--tied--start--1,tied,stamp,n112
n113--tie--1,tie,derive,n113
n113--tied--start--1,tied,stamp,n113
n114--tie--1,tie,derive,n114
n114--tied--start--1,tied,stamp,n114
md-1-6-1-1,wedge,md,1
n115--tuplet--start--1,tuplet,stamp,n115
n115--accent--1,accent,derive,n115
n117--tuplet--stop--1,tuplet,stamp,n117
n117--slur--start--1,slur,stamp,n117
n118--tuplet--start--1,tuplet,stamp,n118
n118--slur--stop--1,slur,stamp,n118
n119--tie--1,tie,derive,n119
n119--tied--stop--1,tied,stamp,n119
n120--tuplet--stop--1,tuplet,stamp,n120
n120--slur--start--1,slur,stamp,n120
n121--tuplet--start--1,tuplet,stamp,n121
n121--slur--stop--1,slur,stamp,n121
n121--accent--1,accent,derive,n121
n123--tuplet--stop--1,tuplet,stamp,n123
n123--slur--start--1,slur,stamp,n123
n124--tuplet--start--1,tuplet,stamp,n124
n124--slur--stop--1,slur,stamp,n124
n124--accent--1,accent,derive,n124
n126--tuplet--stop--1,tuplet,stamp,n126
n126--slur--start--1,slur,stamp,n126
n127--tie--1,tie,derive,n127
n127--tied--stop--1,tied,stamp,n127
n128--tie--1,tie,derive,n128
n128--tied--stop--1,tied,stamp,n128
n129--tie--1,tie,derive,n129
n129--tied--stop--1,tied,stamp,n129
n130--tie--1,tie,derive,n130
n130--tied--stop--1,tied,stamp,n130
n131--staccato--1,staccato,derive,n131
n135--staccato--1,staccato,derive,n135
md-1-7-1-1,wedge,md,1
n139--tuplet--start--1,tuplet,stamp,n139
n139--slur--stop--1,slur,stamp,n139
n139--accent--1,accent,derive,n139
n141--tuplet--stop--1,tuplet,stamp,n141
n141--slur--start--1,slur,stamp,n141
n142--tuplet--start--1,tuplet,stamp,n142
n142--slur--stop--1,slur,stamp,n142
n142--accent--1,accent,derive,n142
n144--tuplet--stop--1,tuplet,stamp,n144
n144--slur--start--1,slur,stamp,n144
n145--slur--stop--1,slur,stamp,n145
md-1-8-1-1,wedge,md,1
md-1-8-1-2,dynamics,md,1
md-1-8-2-1,dynamics,md,2
md-1-8-2-2,dynamics,md,2
n156--tuplet--start--1,tuplet,stamp,n156
n156--accent--1,accent,derive,n156
n158--tuplet--stop--1,tuplet,stamp,n158
n159--tuplet--start--1,tuplet,stamp,n159
n159--accent--1,accent,derive,n159
n161--tuplet--stop--1,tuplet,stamp,n161
md-1-8.1-1-1,wedge,md,1
md-1-8.1-1-2,wedge,md,1
md-1-8.1-1-3,dynamics,md,1
md-1-8.1-2-1,dynamics,md,2
md-1-8.1-2-2,dynamics,md,2
n171--tuplet--start--1,tuplet,stamp,n171
n173--tuplet--stop--1,tuplet,stamp,n173
n173--slur--start--1,slur,stamp,n173
md-1-9-1-1,dynamics,md,1
n176--tuplet--start--1,tuplet,stamp,n176
n176--slur--stop--1,slur,stamp,n176
n178--tuplet--stop--1,tuplet,stamp,n178
n178--slur--start--1,slur,stamp,n178
n179--tuplet--start--1,tuplet,stamp,n179
n179--slur--stop--1,slur,stamp,n179
n181--tuplet--stop--1,tuplet,stamp,n181
n181--slur--start--1,slur,stamp,n181
n182--tuplet--start--1,tuplet,stamp,n182
n182--slur--stop--1,slur,stamp,n182
n184--tuplet--stop--1,tuplet,stamp,n184
n184--slur--start--1,slur,stamp,n184
n185--tuplet--start--1,tuplet,stamp,n185
n185--slur--stop--1,slur,stamp,n185
n187--tuplet--stop--1,tuplet,stamp,n187
n187--slur--start--1,slur,stamp,n187
md-1-10-1-1,wedge,md,1
md-1-10-1-2,wedge,md,1
md-1-10-1-3,dynamics,md,1
md-1-10-1-4,wedge,md,1
md-1-10-1-5,wedge,md,1
md-1-10-2-1,dynamics,md,2
n195--tuplet--start--1,tuplet,stamp,n195
n195--slur--stop--1,slur,stamp,n195
n197--tuplet--stop--1,tuplet,stamp,n197
n197--slur--start--1,slur,stamp,n197
n198--tuplet--start--1,tuplet,stamp,n198
n198--slur--stop--1,slur,stamp,n198
n200--tuplet--stop--1,tuplet,stamp,n200
n200--slur--start--1,slur,stamp,n200
n201--tuplet--start--1,tuplet,stamp,n201
n201--slur--stop--1,slur,stamp,n201
n203--tuplet--stop--1,tuplet,stamp,n203
n203--slur--start--1,slur,stamp,n203
n204--tuplet--start--1,tuplet,stamp,n204
n204--slur--stop--1,slur,stamp,n204
n206--tuplet--stop--1,tuplet,stamp,n206
n206--slur--start--1,slur,stamp,n206
n210--tie--1,tie,derive,n210
n210--tied--start--1,tied,stamp,n210
md-1-11-1-1,wedge,md,1
md-1-11-1-2,wedge,md,1
md-1-11-1-3,dynamics,md,1
md-1-11-1-4,wedge,md,1
md-1-11-1-5,wedge,md,1
n214--tuplet--start--1,tuplet,stamp,n214
n214--slur--stop--1,slur,stamp,n214
n216--tuplet--stop--1,tuplet,stamp,n216
n217--tuplet--start--1,tuplet,stamp,n217
n219--tuplet--stop--1,tuplet,stamp,n219
n220--tuplet--start--1,tuplet,stamp,n220
n222--tuplet--stop--1,tuplet,stamp,n222
n223--tuplet--start--1,tuplet,stamp,n223
n225--tuplet--stop--1,tuplet,stamp,n225
n226--tie--1,tie,derive,n226
n226--tied--stop--1,tied,stamp,n226
n227--accent--1,accent,derive,n227
n228--tie--1,tie,derive,n228
n228--tied--start--1,tied,stamp,n228
n228--accent--1,accent,derive,n228
md-1-12-1-1,dynamics,md,1
md-1-12-1-2,dynamics,md,1
n231--tuplet--start--1,tuplet,stamp,n231
n233--tuplet--stop--1,tuplet,stamp,n233
n234--tuplet--start--1,tuplet,stamp,n234
n236--tuplet--stop--1,tuplet,stamp,n236
n237--tuplet--start--1,tuplet,stamp,n237
n239--tuplet--stop--1,tuplet,stamp,n239
n240--tuplet--start--1,tuplet,stamp,n240
n242--tuplet--stop--1,tuplet,stamp,n242
n242--slur--start--1,slur,stamp,n242
n243--tie--1,tie,derive,n243
n243--tied--stop--1,tied,stamp,n243
n244--accent--1,accent,derive,n244
n245--accent--1,accent,derive,n245
md-1-13-1-1,dynamics,md,1
md-1-13-1-2,dynamics,md,1
n248--tuplet--start--1,tuplet,stamp,n248
n248--slur--stop--1,slur,stamp,n248
n250--tuplet--stop--1,tuplet,stamp,n250
n250--slur--start--1,slur,stamp,n250
n251--tuplet--start--1,tuplet,stamp,n251
n251--slur--stop--1,slur,stamp,n251
n253--tuplet--stop--1,tuplet,stamp,n253
n253--slur--start--1,slur,stamp,n253
n254--tuplet--start--1,tuplet,stamp,n254
n254--slur--stop--1,slur,stamp,n254
n256--tuplet--stop--1,tuplet,stamp,n256
n256--slur--start--1,slur,stamp,n256
n257--tuplet--start--1,tuplet,stamp,n257
n257--slur--stop--1,slur,stamp,n257
n259--tuplet--stop--1,tuplet,stamp,n259
n259--slur--start--1,slur,stamp,n259
md-1-14-1-1,wedge,md,1
md-1-14-1-2,wedge,md,1
md-1-14-1-3,dynamics,md,1
md-1-14-1-4,wedge,md,1
md-1-14-1-5,wedge,md,1
md-1-14-2-1,dynamics,md,2
n272--tuplet--start--1,tuplet,stamp,n272
n272--slur--stop--1,slur,stamp,n272
n274--tuplet--stop--1,tuplet,stamp,n274
n274--slur--start--1,slur,stamp,n274
n275--tuplet--start--1,tuplet,stamp,n275
n275--slur--stop--1,slur,stamp,n275
n277--tuplet--stop--1,tuplet,stamp,n277
n277--slur--start--1,slur,stamp,n277
n278--tuplet--start--1,tuplet,stamp,n278
n278--slur--stop--1,slur,stamp,n278
n280--tuplet--stop--1,tuplet,stamp,n280
n280--slur--start--1,slur,stamp,n280
n281--tuplet--start--1,tuplet,stamp,n281
n281--slur--stop--1,slur,stamp,n281
n283--tuplet--stop--1,tuplet,stamp,n283
md-1-15-1-1,wedge,md,1
md-1-15-1-2,wedge,md,1
md-1-15-1-3,dynamics,md,1
md-1-15-1-4,wedge,md,1
md-1-15-1-5,wedge,md,1
md-1-15-2-1,dynamics,md,2
n296--tuplet--start--1,tuplet,stamp,n296
n298--tuplet--stop--1,tuplet,stamp,n298
n299--tuplet--start--1,tuplet,stamp,n299
n301--tuplet--stop--1,tuplet,stamp,n301
n302--tuplet--start--1,tuplet,stamp,n302
n304--tuplet--stop--1,tuplet,stamp,n304
n305--tuplet--start--1,tuplet,stamp,n305
n306--accent--1,accent,derive,n306
n307--tuplet--stop--1,tuplet,stamp,n307
n308--staccato--1,staccato,derive,n308
n311--slur--start--1,slur,stamp,n311
md-1-16-1-1,dynamics,md,1
md-1-16-1-2,dynamics,md,1
md-1-16-1-3,wedge,md,1
md-1-16-1-4,wedge,md,1
n312--tuplet--start--1,tuplet,stamp,n312
n314--tuplet--stop--1,tuplet,stamp,n314
n315--tuplet--start--1,tuplet,stamp,n315
n317--tuplet--stop--1,tuplet,stamp,n317
n318--tuplet--start--1,tuplet,stamp,n318
n320--tuplet--stop--1,tuplet,stamp,n320
n321--tuplet--start--1,tuplet,stamp,n321
