note_id,original_id,bar,voice,staff,ordinal
mn-1-1-1-1,n1,1,1,1,1
mn-1-4-2-1,n2,1,4,2,1
mn-1-5-2-1,r1,1,5,2,1
mn-2-1-1-1,n3,2,1,1,1
mn-2-4-2-1,n4,2,4,2,1
mn-2-4-2-2,n5,2,4,2,2
mn-2-4-2-3,n6,2,4,2,3
mn-2-4-2-4,n7,2,4,2,4
mn-2-4-2-5,n8,2,4,2,5
mn-2-4-2-6,n9,2,4,2,6
mn-2-4-2-7,n10,2,4,2,7
mn-2-4-2-8,n11,2,4,2,8
mn-2-5-2-1,n12,2,5,2,1
mn-2-5-2-2,n13,2,5,2,2
mn-3-1-1-1,n14,3,1,1,1
mn-3-4-2-1,n15,3,4,2,1
mn-3-4-2-2,n16,3,4,2,2
mn-3-4-2-3,n17,3,4,2,3
mn-3-4-2-4,n18,3,4,2,4
mn-3-4-2-5,n19,3,4,2,5
mn-3-4-2-6,n20,3,4,2,6
mn-3-4-2-7,n21,3,4,2,7
mn-3-4-2-8,n22,3,4,2,8
mn-3-5-2-1,n23,3,5,2,1
mn-3-5-2-2,n24,3,5,2,2
mn-3-5-2-3,r2,3,5,2,3
mn-3-5-2-4,n25,3,5,2,4
mn-3-5-2-5,n26,3,5,2,5
mn-4-1-1-1,n27,4,1,1,1
mn-4-4-2-1,n28,4,4,2,1
mn-4-4-2-2,n29,4,4,2,2
mn-4-4-2-3,n30,4,4,2,3
mn-4-4-2-4,n31,4,4,2,4
mn-4-4-2-5,n32,4,4,2,5
mn-4-4-2-6,n33,4,4,2,6
mn-4-4-2-7,n34,4,4,2,7
mn-4-4-2-8,n35,4,4,2,8
mn-4-5-2-1,n36,4,5,2,1
mn-4-5-2-2,n37,4,5,2,2
mn-4-5-2-3,r3,4,5,2,3
mn-4-5-2-4,n38,4,5,2,4
mn-4-5-2-5,n39,4,5,2,5
mn-4-5-2-6,r4,4,5,2,6
mn-5-1-1-1,n40,5,1,1,1
mn-5-4-2-1,n41,5,4,2,1
mn-5-4-2-2,n42,5,4,2,2
mn-5-4-2-3,n43,5,4,2,3
mn-5-4-2-4,n44,5,4,2,4
mn-5-4-2-5,n45,5,4,2,5
mn-5-4-2-6,r5,5,4,2,6
mn-5-4-2-7,n46,5,4,2,7
mn-5-4-2-8,n47,5,4,2,8
mn-5-5-2-1,n48,5,5,2,1
mn-5-5-2-2,n49,5,5,2,2
mn-5-5-2-3,r6,5,5,2,3
mn-5-5-2-4,n50,5,5,2,4
mn-6-1-1-1,n51,6,1,1,1
mn-6-4-2-1,n52,6,4,2,1
mn-6-4-2-2,n53,6,4,2,2
mn-6-4-2-3,n54,6,4,2,3
mn-6-4-2-4,n55,6,4,2,4
mn-6-4-2-5,n56,6,4,2,5
mn-6-4-2-6,n57,6,4,2,6
mn-6-4-2-7,n58,6,4,2,7
mn-6-4-2-8,n59,6,4,2,8
mn-6-5-2-1,n60,6,5,2,1
mn-6-5-2-2,n61,6,5,2,2
mn-7-1-1-1,n62,7,1,1,1
mn-7-4-2-1,n63,7,4,2,1
mn-7-4-2-2,n64,7,4,2,2
mn-7-4-2-3,n65,7,4,2,3
mn-7-4-2-4,n66,7,4,2,4
mn-7-4-2-5,n67,7,4,2,5
mn-7-4-2-6,n68,7,4,2,6
mn-7-4-2-7,n69,7,4,2,7
mn-7-4-2-8,n70,7,4,2,8
mn-7-5-2-1,n71,7,5,2,1
mn-7-5-2-2,n72,7,5,2,2
mn-7-5-2-3,r7,7,5,2,3
mn-7-5-2-4,n73,7,5,2,4
mn-7-5-2-5,n74,7,5,2,5
mn-8-1-1-1,n75,8,1,1,1
mn-8-4-2-1,n76,8,4,2,1
mn-8-4-2-2,n77,8,4,2,2
mn-8-4-2-3,n78,8,4,2,3
mn-8-4-2-4,n79,8,4,2,4
mn-8-4-2-5,n80,8,4,2,5
mn-8-4-2-6,n81,8,4,2,6
mn-8-4-2-7,n82,8,4,2,7
mn-8-4-2-8,n83,8,4,2,8
mn-8-5-2-1,n84,8,5,2,1
mn-8-5-2-2,n85,8,5,2,2
mn-8-5-2-3,n86,8,5,2,3
mn-8-5-2-4,n87,8,5,2,4
mn-9-1-1-1,n88,9,1,1,1
mn-9-4-2-1,n89,9,4,2,1
mn-9-4-2-2,n90,9,4,2,2
mn-9-4-2-3,n91,9,4,2,3
mn-9-4-2-4,n92,9,4,2,4
mn-9-4-2-5,n93,9,4,2,5
mn-9-4-2-6,n94,9,4,2,6
mn-9-4-2-7,n95,9,4,2,7
mn-9-4-2-8,n96,9,4,2,8
mn-9-5-2-1,n97,9,5,2,1
mn-9-5-2-2,n98,9,5,2,2
mn-9-5-2-3,r8,9,5,2,3
mn-9-5-2-4,n99,9,5,2,4
mn-9-5-2-5,n100,9,5,2,5
mn-10-1-1-1,n101,10,1,1,1
mn-10-1-1-2,n102,10,1,1,2
mn-10-1-1-3,n103,10,1,1,3
mn-10-1-1-4,n104,10,1,1,4
mn-10-1-1-5,n105,10,1,1,5
mn-10-1-1-6,n106,10,1,1,6
mn-10-1-1-7,n107,10,1,1,7
mn-10-1-1-8,n108,10,1,1,8
mn-10-4-2-1,n109,10,4,2,1
mn-10-4-2-2,n110,10,4,2,2
mn-10-4-2-3,n111,10,4,2,3
mn-10-4-2-4,n112,10,4,2,4
mn-11-1-1-1,n113,11,1,1,1
