element_id,original_id,tag,carrier,host_or_staff
md-1-0-1-1,,words,md,1
md-1-0-1-2,,dynamics,md,1
n7--slur--start--1,,slur,stamp,n7
n10--slur--stop--1,,slur,stamp,n10
n11--slur--start--1,,slur,stamp,n11
n14--slur--stop--1,,slur,stamp,n14
n16--accent--1,,accent,derive,n16
n20--accent--1,,accent,derive,n20
md-1-1-2-1,,words,md,2
n24--slur--start--1,,slur,stamp,n24
n29--slur--stop--1,,slur,stamp,n29
n36--accent--1,,accent,derive,n36
md-1-2-1-1,,dynamics,md,1
md-1-2-1-2,,words,md,1
md-1-2-1-3,,words,md,1
n53--accent--1,,accent,derive,n53
n57--accent--1,,accent,derive,n57
md-1-3-1-1,,words,md,1
md-1-3-1-2,,words,md,1
md-1-3-1-3,,words,md,1
n73--slur--start--1,,slur,stamp,n73
n73--accent--1,,accent,derive,n73
n80--slur--stop--1,,slur,stamp,n80
n81--slur--start--1,,slur,stamp,n81
n83--slur--stop--1,,slur,stamp,n83
n86--slur--start--1,,slur,stamp,n86
n87--slur--stop--1,,slur,stamp,n87
n90--tie--1,,tie,derive,n90
n90--tied--start--1,,tied,stamp,n90
n91--accent--1,,accent,derive,n91
n93--tie--1,,tie,derive,n93
n93--tied--start--1,,tied,stamp,n93
n94--accent--1,,accent,derive,n94
n108--tie--1,,tie,derive,n108
n108--tied--start--1,,tied,stamp,n108
n111--tuplet--start--1,,tuplet,stamp,n111
n115--tuplet--stop--1,,tuplet,stamp,n115
md-1-6-1-1,,dynamics,md,1
n116--slur--start--1,,slur,stamp,n116
n118--slur--stop--1,,slur,stamp,n118
n119--slur--start--1,,slur,stamp,n119
n123--slur--stop--1,,slur,stamp,n123
n125--accent--1,,accent,derive,n125
n127--accent--1,,accent,derive,n127
n138--tuplet--start--1,,tuplet,stamp,n138
n138--slur--start--1,,slur,stamp,n138
n142--tuplet--stop--1,,tuplet,stamp,n142
n142--slur--stop--1,,slur,stamp,n142
md-1-8-2-1,,dynamics,md,2
md-1-8-2-2,,dynamics,md,2
n149--staccato--1,,staccato,derive,n149
n152--slur--start--1,,slur,stamp,n152
n153--slur--stop--1,,slur,stamp,n153
n154--tuplet--start--1,,tuplet,stamp,n154
n154--slur--start--1,,slur,stamp,n154
n158--tuplet--stop--1,,tuplet,stamp,n158
n158--slur--stop--1,,slur,stamp,n158
md-1-8.1-1-1,,dynamics,md,1
md-1-8.1-1-2,,dynamics,md,1
n163--staccato--1,,staccato,derive,n163
n164--staccato--1,,staccato,derive,n164
n170--slur--start--1,,slur,stamp,n170
n171--slur--stop--1,,slur,stamp,n171
md-1-9-1-1,,dynamics,md,1
n175--staccato--1,,staccato,derive,n175
n176--staccato--1,,staccato,derive,n176
n179--slur--start--1,,slur,stamp,n179
n180--slur--stop--1,,slur,stamp,n180
n182--slur--start--1,,slur,stamp,n182
n183--slur--stop--1,,slur,stamp,n183
md-1-10-1-1,,dynamics,md,1
n187--staccato--1,,staccato,derive,n187
n188--staccato--1,,staccato,derive,n188
n189--slur--start--1,,slur,stamp,n189
n194--slur--stop--1,,slur,stamp,n194
n194--slur--start--2,,slur,stamp,n194
n195--slur--stop--1,,slur,stamp,n195
md-1-11-1-1,,dynamics,md,1
n199--staccato--1,,staccato,derive,n199
n201--slur--start--1,,slur,stamp,n201
n206--slur--stop--1,,slur,stamp,n206
n206--slur--start--2,,slur,stamp,n206
n207--slur--stop--1,,slur,stamp,n207
md-1-12-1-1,,dynamics,md,1
n210--slur--start--1,,slur,stamp,n210
n211--slur--stop--1,,slur,stamp,n211
n218--slur--start--1,,slur,stamp,n218
n219--slur--stop--1,,slur,stamp,n219
n222--slur--start--1,,slur,stamp,n222
n223--slur--stop--1,,slur,stamp,n223
n230--slur--start--1,,slur,stamp,n230
n231--slur--stop--1,,slur,stamp,n231
n234--slur--start--1,,slur,stamp,n234
n235--slur--stop--1,,slur,stamp,n235
n238--slur--start--1,,slur,stamp,n238
n242--slur--stop--1,,slur,stamp,n242
n242--slur--start--2,,slur,stamp,n242
n243--slur--stop--1,,slur,stamp,n243
n246--slur--start--1,,slur,stamp,n246
n247--slur--stop--1,,slur,stamp,n247
n249--slur--start--1,,slur,stamp,n249
n254--slur--stop--1,,slur,stamp,n254
n254--slur--start--2,,slur,stamp,n254
n255--slur--stop--1,,slur,stamp,n255
n258--slur--start--1,,slur,stamp,n258
n259--slur--stop--1,,slur,stamp,n259
n266--slur--start--1,,slur,stamp,n266
n267--slur--stop--1,,slur,stamp,n267
n270--slur--start--1,,slur,stamp,n270
n271--slur--stop--1,,slur,stamp,n271
n273--slur--start--1,,slur,stamp,n273
n274--slur--stop--1,,slur,stamp,n274
n278--slur--start--1,,slur,stamp,n278
n279--slur--stop--1,,slur,stamp,n279
n282--slur--start--1,,slur,stamp,n282
n283--slur--stop--1,,slur,stamp,n283
n294--slur--start--1,,slur,stamp,n294
n295--slur--stop--1,,slur,stamp,n295
n296--staccato--1,,staccato,derive,n296
n302--slur--start--1,,slur,stamp,n302
n303--slur--stop--1,,slur,stamp,n303
n306--staccato--1,,staccato,derive,n306
n307--staccato--1,,staccato,derive,n307
n315--accent--1,,accent,derive,n315
md-1-21-1-1,,dynamics,md,1
n318--staccato--1,,staccato,derive,n318
n319--staccato--1,,staccato,derive,n319
n320--slur--start--1,,slur,stamp,n320
n323--slur--stop--1,,slur,stamp,n323
n325--slur--start--1,,slur,stamp,n325
n326--slur--stop--1,,slur,stamp,n326
n327--accent--1,,accent,derive,n327
md-1-22-1-1,,dynamics,md,1
n330--staccato--1,,staccato,derive,n330
n331--staccato--1,,staccato,derive,n331
n332--slur--start--1,,slur,stamp,n332
n335--slur--stop--1,,slur,stamp,n335
n337--slur--start--1,,slur,stamp,n337
n338--slur--stop--1,,slur,stamp,n338
n339--accent--1,,accent,derive,n339
md-1-23-1-1,,dynamics,md,1
n342--staccato--1,,staccato,derive,n342
n344--slur--start--1,,slur,stamp,n344
n347--slur--stop--1,,slur,stamp,n347
n349--slur--start--1,,slur,stamp,n349
n350--slur--stop--1,,slur,stamp,n350
