note_id,original_id,printed_bar
nc7618f5a5ec2527d,n1,1
ne7af4f36e05d2ab1,n2,1
n7957e56733823b7b,n3,1
na9b90f4e41602fde,n4,1
n16f7b9a52e0acb2d,n5,1
nb7f4757287a420f7,n6,1
n1a1830eed8736a2b,n7,2
n57bd8bf83a406beb,n8,2
nb8a90b900dcccff1,n9,2
n107d0d1bf8be236c,n10,2
neeb13442b64488ee,n11,2
n292bbd8f65ada184,n12,2
n209d48d15d73a45b,n13,2
n0d5265dca2da8623,n14,2
nbbffe3bdb053ef1b,n15,2
n55ad7140b05f5587,n16,2
nbd39e41640e59437,n17,2
n73ab13648df19954,n18,2
n0bc7273135f431a4,n19,2
n4f646f183282500f,n20,2
na2ced6536b093371,n21,2
n44ad3edf36ec628f,n22,2
necbc3c326b153905,n23,2
n434eec59379ae802,n24,3
n98e65f985203ebec,n25,3
n6310fbee8bf15532,n26,3
n197316d9ca7c3d22,n27,3
n0b5c3a59a93cd18d,n28,3
ne99a645ae94e3f8f,n29,3
na9b3fff5f538b8be,n30,3
n898a2bd25b18f236,n31,3
ne7a7c87646daa5be,n32,3
nb482e30cbfb5c020,n33,3
n8f7b923fb643becf,n34,3
nbe0a57491d26d12d,n35,3
n6c4084c6f4b54d11,n36,3
n72d3cc768a2875f7,n37,3
nda66e966a095160d,n38,3
n8d53bfbc7935dfd7,n39,3
n3977514d99d3e38e,n40,3
nd0054b623f3ca66c,n41,3
nbfa73dbff3dcd190,n42,3
n31195fb2e981b73d,n43,3
n33178c321da473cb,n44,4
n26c65e22374ec57d,n45,4
n5e6880f1b15e9021,n46,4
n8a936fa772a1c2d0,n47,4
n7878c35b70c0d66f,n48,4
n778bbcf5c5884757,n49,4
nd4294c67df53cb86,n50,4
n06d40e9689a5e79e,n51,4
n09d9fb1a6e2dd12b,n52,4
n2ffc5fa36abed8b9,n53,4
nf651d163fb972a31,n54,4
n05c3493bbc100e87,n55,4
nf125b7771bf02b0c,n56,4
n79457b17bc22f630,n57,4
na2166cf30c099e70,n58,4
nccdb8a183a701bd9,n59,4
ndb002cc0fcee09c7,n60,4
n9df0f250d3fe9723,n61,5
nf9c2c5c7c07ec178,n62,5
n1b138b26e110cf76,n63,5
n71c66cb27ce85586,n64,5
n2e514af9e832ea4a,n65,5
n6649a94cc00d9fff,n66,5
ne291feb268162aee,n67,5
n45dac2f6513719fa,n68,5
n216a128ff6167bae,n69,5
nf8a327b746caf25d,n70,5
n27ec50a0d98a273b,n71,5
n176e13a4be38bd0b,n72,5
nfd7c2549312f6cf1,n73,5
n7ac71d7413ea2cd0,n74,5
nf2abbcebf96f3711,n75,5
n48b1f48488ba08a7,n76,5
nd8452557ed7bca0f,n77,5
n995628c653dfb9e5,n78,5
n620e282ef42a7cd4,n79,5
