element_id,original_id,tag,carrier,host_or_staff
n6cd9180f4f9614ad--staccato--1,,staccato,derive,n6cd9180f4f9614ad
nae6fec32be5a0499--staccato--1,,staccato,derive,nae6fec32be5a0499
e6afa206903495b76,md-1-1-1-1,words,md,1
e6862ca45a6b63264,md-1-1-2-1,dynamics,md,2
n414c0e4b21460ae2--staccato--1,,staccato,derive,n414c0e4b21460ae2
n55ad7140b05f5587--staccato--1,,staccato,derive,n55ad7140b05f5587
edfd0a4483a8b2d14,md-1-3-1-1,dynamics,md,1
ec5e18948e0fab4c6,md-1-7-2-1,words,md,2
e049230a642e31d8a,md-1-8-1-1,dynamics,md,1
n2feefde724d3fa5b--accent--1,,accent,derive,n2feefde724d3fa5b
nbc5cad2a99ef359c--accent--1,,accent,derive,nbc5cad2a99ef359c
n3488e3266e66e0c5--accent--1,,accent,derive,n3488e3266e66e0c5
e47bf93f6d4fdf978,md-1-10-2-1,words,md,2
ee103ce4400da52f6,md-1-11-1-1,dynamics,md,1
n1d6bee1eb6e307e5--staccato--1,,staccato,derive,n1d6bee1eb6e307e5
n1ed2b23591551731--staccato--1,,staccato,derive,n1ed2b23591551731
n74f07ed6e0297a49--staccato--1,,staccato,derive,n74f07ed6e0297a49
e483a504c005f00e7,md-1-32-1-1,dynamics,md,1
n0ef2d3360693029d--tie--1,,tie,derive,n0ef2d3360693029d
n0ef2d3360693029d--tied--start--1,n954--tied--start--1,tied,stamp,n0ef2d3360693029d
nf324b86b7e1f49d9--tie--1,,tie,derive,nf324b86b7e1f49d9
nf324b86b7e1f49d9--tied--stop--1,n965--tied--stop--1,tied,stamp,nf324b86b7e1f49d9
n0c11055814e98c4c--tie--1,,tie,derive,n0c11055814e98c4c
n0c11055814e98c4c--tied--start--1,n968--tied--start--1,tied,stamp,n0c11055814e98c4c
nf8e7962300db1e24--tie--1,,tie,derive,nf8e7962300db1e24
nf8e7962300db1e24--tied--stop--1,n969--tied--stop--1,tied,stamp,nf8e7962300db1e24
ncfb418b7ec3593e1--tie--1,,tie,derive,ncfb418b7ec3593e1
ncfb418b7ec3593e1--tied--start--1,n971--tied--start--1,tied,stamp,ncfb418b7ec3593e1
e5bd175999bec9ade,md-1-38-1-1,octave-shift,md,1
n73dda9204cba8910--tie--1,,tie,derive,n73dda9204cba8910
n73dda9204cba8910--tied--stop--1,n987--tied--stop--1,tied,stamp,n73dda9204cba8910
e3a5f750bdbd5aa7a,md-1-39-1-1,octave-shift,md,1
necd0b83f445d7723--tie--1,,tie,derive,necd0b83f445d7723
necd0b83f445d7723--tied--start--1,n1123--tied--start--1,tied,stamp,necd0b83f445d7723
n9b2d402fa408b590--tie--1,,tie,derive,n9b2d402fa408b590
n9b2d402fa408b590--tied--stop--1,n1124--tied--stop--1,tied,stamp,n9b2d402fa408b590
na5d02d05035f9c6a--tie--1,,tie,derive,na5d02d05035f9c6a
na5d02d05035f9c6a--tied--start--1,n1154--tied--start--1,tied,stamp,na5d02d05035f9c6a
