note_id,original_id,printed_bar
nce5387cc4dc2e4e6,n1,1
ne86111b84c992e90,n2,1
n2eb89263af438993,n3,1
nb22ddfc2a926e0c2,n4,1
n6cd9180f4f9614ad,n5,1
n6a3220d107a42644,n6,1
naef57158870d4ab9,n7,1
n22d5e0f90690806d,n8,1
n2cdc9dd33b10ff7d,n9,1
n96055867ad267e62,n10,1
n87ccd8dc9a610c87,n11,1
n3dad93b297f94b74,n12,1
nae6fec32be5a0499,n13,1
nb1fe1d841d164a42,n14,1
n7e560098296c1d6d,n15,2
nb5e20d607ebd9d72,n16,2
nbae4d85cbc984d15,n17,2
n23f6630374226aff,n18,2
n391f38c138fb9d81,n19,2
na25672171d738e80,n20,2
n414c0e4b21460ae2,n21,2
n9dc7ea6a12092b33,n22,2
n28197d96aca33b1f,n23,2
n4d31cbb72bb4dea9,n24,2
na2ced6536b093371,n25,2
neeb833b18b1c691f,n26,2
ne8ddad07205df489,n27,2
n658fb02f2bd13411,n28,2
n850e3e414d1561a7,n29,2
n55ad7140b05f5587,n30,2
ncce0f16ed7fddce5,n31,2
n434eec59379ae802,n32,3
nf4ec4b119a810114,n33,3
n9d1e9281c26cac2a,n34,3
n02a96d80aed075e4,n35,3
neb3497b82b5e94ff,n36,3
nc18b04865d1aa550,n37,3
n7ff4825fa7073415,n38,3
n835f2b2e84d11efa,n39,3
n197316d9ca7c3d22,n40,3
na4b51eb1a35860ad,n41,3
n27d8f43e22eb1365,n42,3
n565091c8bf7c0498,n43,3
nb707619aa4eefbe7,n44,3
n5ff994ebd024dd60,n45,3
n3df4bbfdfd0996ca,n46,3
ne99a645ae94e3f8f,n47,3
n3977514d99d3e38e,n48,3
ncdf304b4b3a5c889,n49,3
n7b0944f85b6ae788,n50,3
nd4bab33ccde01131,n51,3
nc5fa9fa239efe62b,n52,3
n4d2c98be2715feb4,n53,3
nb36400a59e4a0309,n54,3
nf025b3d15c3d37a2,n55,3
n1055043a2517ea01,n56,3
na7ba99bde783ca2a,n57,3
nc1baa9ad38094f24,n58,3
n7878c35b70c0d66f,n59,4
n5d9900f51de35fbc,n60,4
n06d40e9689a5e79e,n61,4
n5e6880f1b15e9021,n62,4
n8c73d7b31b048faa,n63,4
n8a463a1434dbdb04,n64,4
n33178c321da473cb,n65,4
nf815d2e7b8c3848f,n66,4
n72c861994f171bba,n67,4
nb7aebd47e44cf06a,n68,4
n939728a6fe83a5f5,n69,4
n712147236f8adfd5,n70,4
n1d4b9ff99b9b0a1e,n71,4
n61bae57e0f53c3ac,n72,4
n469ee3b4ec710c40,n73,4
nd078c6f618390c29,n74,4
nd953877645d6e99d,n75,4
n56f4bafa4d779ee6,n76,4
nca530082e32ca810,n77,4
n4d04e749c95de838,n78,4
n24bca15853343a3c,n79,4
nc0ebfcc162469f75,n80,4
nb5f521402350fd38,n81,4
n204885f279c81fc3,n82,4
nf651d163fb972a31,n83,4
n81ee5798689d7955,n84,4
n072b32894de6c352,n85,4
n1fed805bc3795c4c,n86,5
n1c090eadc68d00c1,n87,5
n9df0f250d3fe9723,n88,5
n0acb166ee29ae1c7,n89,5
n6095f3555155870d,n90,5
n14e0f2363d1310fe,n91,5
n29800e5bc986d9dd,n92,5
ne205a30d6ca1978e,n93,5
n71c66cb27ce85586,n94,5
n2395f923c740d2a1,n95,5
n6649a94cc00d9fff,n96,5
nf458036b2fa34d1a,n97,5
n65b33cc5ab91807e,n98,5
nc596c90c3334c8fc,n99,5
n2993681d4c17b11e,n100,5
n5019d099246ce032,n101,5
nd8452557ed7bca0f,n102,5
n17154eaa4e8d1754,n103,5
n08566bd87f885ce4,n104,5
n353f153e8aedce27,n105,5
nb9fd992ae53d00ae,n106,5
n4c9724fb727e2ede,n107,5
n880280aaebaa7f5b,n108,5
n6e15dd03a2c2b02c,n109,5
n84056ea11c8910ca,n110,5
nd30383f97811cd90,n111,5
n3f1298285cb33e29,n112,5
n6c1f21fcd3a83574,n113,6
n919bc3ec658eb64d,n114,6
n9f9370cb70afb989,n115,6
n23ad65bfb6515253,n116,6
n48e1d633be10dda5,n117,6
ndf8082194b26449a,n118,6
n03c1f4d3b1f69d49,n119,6
na8bc93b770644cbe,n120,6
nd910cd2deec31454,n121,6
nf8b12ec5864fa259,n122,6
n2a4cb79811d4f4b4,n123,6
n1b683824bf93249f,n124,6
n1701acb2ecf5832a,n125,6
n8f65b83a480f93df,n126,6
n13f1e084bd51a147,n127,6
naf16390f728fc916,n128,6
nc99b4dcbc8f741e3,n129,6
na9517d48077b2cd3,n130,6
n08076b4a545e0bbe,n131,6
n6fea75bbc6534a45,n132,6
nec026e1a6689ff27,n133,6
na4f8e97ae7ade265,n134,6
n5937d16c5b5d9bc4,n135,6
n4009f5c77c77b01e,n136,6
n89fb6d63bbad0192,n137,6
n59152f20a7a54c54,n138,6
n7cd33677b4568214,n139,6
nad85ef7de33c8fbd,n140,7
nd13f8d6668718447,n141,7
n742f5ee8527ed80a,n142,7
n701e49c8a2ff9bf3,n143,7
n4506340d9ae3b21d,n144,7
n5083f1f388d32708,n145,7
n769c22c40d767fc2,n146,7
nd98f519f770552a4,n147,7
n3b6de18610c6a88c,n148,7
n32e25d64e1356527,n149,7
nf0f754aaf3f438d8,n150,7
nf7da05e4df78023d,n151,7
n61d7639c3b862932,n152,7
nb4383bc43f3b3fef,n153,7
n23e6150b44e29057,n154,7
nd31df4aa981d39eb,n155,7
n5b72b4d44ea881dd,n156,7
nd700247d6c31c0e0,n157,7
nd6d8ce01dd55fdd2,n158,7
n2916c28629875c53,n159,7
n69923c216acb2753,n160,7
n5aece2655e0c81ef,n161,7
na6969685bbef3fad,n162,7
n4ea731c54a744137,n163,7
nef4f5f399daddebe,n164,7
necb682d6a697ed41,n165,7
nf9e67a009aea953e,n166,7
n5081101ebd064bec,n167,8
n54221e2fec843e7b,n168,8
nf656f365cd3cb597,n169,8
nf61c891f2f3efcf9,n170,8
n866800faedf2089b,n171,8
nb9c355d1fe06d28e,n172,8
necae0bacbad75055,n173,8
na0601e1eae56a2cf,n174,8
na47ad90eef8749aa,n175,8
n29de990d5a30352f,n176,8
n458d96eaa1c3b8e9,n177,8
n294e2d5e9d517d2f,n178,8
nfd6d1e402a31b095,n179,8
n16df772e17632079,n180,8
n34f393242cd7d696,n181,8
na870801436406cd4,n182,8
n40c3b47169c93048,n183,8
nefc3311d620e968e,n184,8
n854568902555de26,n185,8
n453c38661572002f,n186,8
n13700828df740607,n187,8
nb9338c5b9c7e487a,n188,8
ne18cfab5e929935d,n189,8
nac645971e633d1d1,n190,8
n5b16d7fd087a0159,n191,8
n36844cb0ec7cec1c,n192,8
nfe7862701d6557c1,n193,8
n64db0edd13079082,n194,9
n2a011e16476314d9,n195,9
n277821814dda391c,n196,9
n2f3646ca28be0253,n197,9
nb358df9ceb17809f,n198,9
n16dbcbaca82e29fc,n199,9
n50bcf01c7c5d2fac,n200,9
n96906768b8557e03,n201,9
n15617c5cec6c5c7f,n202,9
nd407ff94e1e94e93,n203,9
nc7bee53baa9ce30f,n204,9
n0741ea41f2886b40,n205,9
n9d806cdf285bfdca,n206,9
n6b6d3ba8c470dec3,n207,9
n8466ce8f3cac6930,n208,9
n3b5e7d78a1a0cfc7,n209,9
na096a04eecbb55a0,n210,9
nddf69489b31e4fba,n211,9
n995b9d3e93f5506e,n212,9
n0fb8b56e996e6019,n213,9
nbb72611cefc684a4,n214,9
n8a565ee3cf40faba,n215,9
nd5df40acffd57e23,n216,9
n7f6ee25431e72993,n217,9
n2feefde724d3fa5b,n218,9
nbc5cad2a99ef359c,n219,9
n3488e3266e66e0c5,n220,9
nbb2c1a435bee790d,n221,10
n3dd9563b4deda845,n222,10
n234d92dcc403628a,n223,10
nf3f9c90accca91bf,n224,10
n972b88f75d6183ac,n225,10
n5793849a623878f8,n226,10
na9b414bc4a5d43f1,n227,10
n94cc84b87529526e,n228,10
n6333200c130f5b12,n229,10
nd3d4128c76f4a36c,n230,10
n80d5a7d566acc9f4,n231,10
n4e75f958cdaa251b,n232,10
n8d1b560aa88d88fb,n233,10
n7b373501ceadbaf2,n234,10
nb9079d56d900e6e7,n235,10
na9c0f96575740524,n236,10
n42bd4a5621e2ad98,n237,10
n635d4b24d95e69d7,n238,10
n5c485e639a798328,n239,10
nec0e033f7caffe3b,n240,10
n99ee9c7cde4c4b15,n241,10
na9517a6688982436,n242,10
n3b6d8d5207f4ecd3,n243,10
naab593e6ca3758dd,n244,10
ndce3d5c91589d75c,n245,10
nc278e08d129855d6,n246,10
n776c1c6af3f338a7,n247,10
nac56cf3d12ffbbd6,n248,11
nf79b14da43b32583,n249,11
