element_id,original_id,tag,carrier,host_or_staff
n58e6fd251a562ccf--slur--start--1,n13--slur--start--1,slur,stamp,n58e6fd251a562ccf
n034d474219da7390--tuplet--start--1,n18--tuplet--start--1,tuplet,stamp,n034d474219da7390
nbe4e3251f6aa2087--tuplet--stop--1,n20--tuplet--stop--1,tuplet,stamp,nbe4e3251f6aa2087
n896f41e40bb82fbb--slur--start--1,n33--slur--start--1,slur,stamp,n896f41e40bb82fbb
n4f7e9bf4459148b1--slur--stop--1,n34--slur--stop--1,slur,stamp,n4f7e9bf4459148b1
e4e9d6c3929c92089,md-1-1-1-1,words,md,1
eb062e038137b26ac,md-1-1-1-3,dynamics,md,1
ne1ce7806b6eb793c--slur--start--1,n37--slur--start--1,slur,stamp,ne1ce7806b6eb793c
n18b713c76abff066--slur--stop--1,n39--slur--stop--1,slur,stamp,n18b713c76abff066
n0e110b1c079fbf0a--tuplet--start--1,n50--tuplet--start--1,tuplet,stamp,n0e110b1c079fbf0a
nb8a90b900dcccff1--tuplet--stop--1,n52--tuplet--stop--1,tuplet,stamp,nb8a90b900dcccff1
neeb13442b64488ee--slur--start--1,n54--slur--start--1,slur,stamp,neeb13442b64488ee
n1edf2c6d4bd130ea--slur--stop--1,n55--slur--stop--1,slur,stamp,n1edf2c6d4bd130ea
n1edf2c6d4bd130ea--slur--start--2,n55--slur--start--2,slur,stamp,n1edf2c6d4bd130ea
na28141497c71a380--slur--stop--1,n56--slur--stop--1,slur,stamp,na28141497c71a380
na28141497c71a380--slur--stop--2,n56--slur--stop--2,slur,stamp,na28141497c71a380
nb530ddf93f2d9ae8--slur--start--1,n69--slur--start--1,slur,stamp,nb530ddf93f2d9ae8
n1ae1af9b8f03e461--slur--stop--1,n70--slur--stop--1,slur,stamp,n1ae1af9b8f03e461
e46772cd1efe8e54b,md-1-3-1-1,dynamics,md,1
nbe1dae6f9d20323d--slur--start--1,n273--slur--start--1,slur,stamp,nbe1dae6f9d20323d
n9bba02eb625d7f28--tuplet--start--1,n278--tuplet--start--1,tuplet,stamp,n9bba02eb625d7f28
ne703431e367b73a9--tuplet--stop--1,n280--tuplet--stop--1,tuplet,stamp,ne703431e367b73a9
n7fb301b36868524e--slur--start--1,n297--slur--start--1,slur,stamp,n7fb301b36868524e
nd7f6b7b0e2a29fce--slur--stop--1,n299--slur--stop--1,slur,stamp,nd7f6b7b0e2a29fce
n3dd9563b4deda845--tuplet--start--1,n310--tuplet--start--1,tuplet,stamp,n3dd9563b4deda845
nbb2c1a435bee790d--tuplet--stop--1,n312--tuplet--stop--1,tuplet,stamp,nbb2c1a435bee790d
nf852131942dfa60d--slur--stop--1,n313--slur--stop--1,slur,stamp,nf852131942dfa60d
n8d11a40391e1075a--accent--1,,accent,derive,n8d11a40391e1075a
e4e5b550406e2be68,md-1-10-1-1,wedge,md,1
ea8f1914e86cd207f,md-1-10-1-2,wedge,md,1
n8665800c1af2665c--staccato--1,,staccato,derive,n8665800c1af2665c
n9fe4626074c6ef74--tuplet--start--1,n435--tuplet--start--1,tuplet,stamp,n9fe4626074c6ef74
n98d5fa8fc4fcc7a8--tuplet--stop--1,n437--tuplet--stop--1,tuplet,stamp,n98d5fa8fc4fcc7a8
nae621d9827eede96--tuplet--start--1,n438--tuplet--start--1,tuplet,stamp,nae621d9827eede96
n7455e58a713a3169--tuplet--stop--1,n440--tuplet--stop--1,tuplet,stamp,n7455e58a713a3169
n49a96c9deb8a1307--tuplet--start--1,n441--tuplet--start--1,tuplet,stamp,n49a96c9deb8a1307
nc910e6afac21021c--tuplet--stop--1,n443--tuplet--stop--1,tuplet,stamp,nc910e6afac21021c
n23ef627b6ff79293--tuplet--start--1,n472--tuplet--start--1,tuplet,stamp,n23ef627b6ff79293
n7fe0eb091fca68e9--tuplet--stop--1,n474--tuplet--stop--1,tuplet,stamp,n7fe0eb091fca68e9
n4f3651ed1f0b7cdb--tie--1,,tie,derive,n4f3651ed1f0b7cdb
n4f3651ed1f0b7cdb--tied--start--1,n475--tied--start--1,tied,stamp,n4f3651ed1f0b7cdb
n8e03321ce9891cac--tie--1,,tie,derive,n8e03321ce9891cac
n8e03321ce9891cac--tied--stop--1,n476--tied--stop--1,tied,stamp,n8e03321ce9891cac
n21a3eb5db3895ab9--tie--1,,tie,derive,n21a3eb5db3895ab9
n21a3eb5db3895ab9--tied--start--1,n492--tied--start--1,tied,stamp,n21a3eb5db3895ab9
n21a3eb5db3895ab9--slur--start--1,n492--slur--start--1,slur,stamp,n21a3eb5db3895ab9
nea08ec954af7e06a--tie--1,,tie,derive,nea08ec954af7e06a
nea08ec954af7e06a--tied--stop--1,n493--tied--stop--1,tied,stamp,nea08ec954af7e06a
n1e7064e4ae2a6ac4--tuplet--start--1,n501--tuplet--start--1,tuplet,stamp,n1e7064e4ae2a6ac4
nd4f36fd9ed6ebe8b--tuplet--stop--1,n503--tuplet--stop--1,tuplet,stamp,nd4f36fd9ed6ebe8b
n2658187f129bc8c7--tie--1,,tie,derive,n2658187f129bc8c7
n2658187f129bc8c7--tied--start--1,n506--tied--start--1,tied,stamp,n2658187f129bc8c7
nb968503f714afd03--tie--1,,tie,derive,nb968503f714afd03
nb968503f714afd03--tie--2,,tie,derive,nb968503f714afd03
nb968503f714afd03--tied--stop--1,n507--tied--stop--1,tied,stamp,nb968503f714afd03
nb968503f714afd03--tied--start--2,n507--tied--start--2,tied,stamp,nb968503f714afd03
na7f421761ab103e2--tie--1,,tie,derive,na7f421761ab103e2
na7f421761ab103e2--tied--stop--1,n508--tied--stop--1,tied,stamp,na7f421761ab103e2
ecf80554f17a8ef5c,md-1-15-1-1,dynamics,md,1
n33f63492063f5944--slur--stop--1,n513--slur--stop--1,slur,stamp,n33f63492063f5944
n11cdb0a15ea6fa3e--tuplet--start--1,n522--tuplet--start--1,tuplet,stamp,n11cdb0a15ea6fa3e
n91ce72f578dc1d97--tuplet--stop--1,n527--tuplet--stop--1,tuplet,stamp,n91ce72f578dc1d97
n0f78299af1cd0982--slur--start--1,n528--slur--start--1,slur,stamp,n0f78299af1cd0982
n0f78299af1cd0982--staccato--1,,staccato,derive,n0f78299af1cd0982
n033c704e37eceb9c--staccato--1,,staccato,derive,n033c704e37eceb9c
n1e0ec086f82e3891--staccato--1,,staccato,derive,n1e0ec086f82e3891
n221499bbd9ac3920--staccato--1,,staccato,derive,n221499bbd9ac3920
n7891e2b06b7d6d06--slur--stop--1,n532--slur--stop--1,slur,stamp,n7891e2b06b7d6d06
n7891e2b06b7d6d06--staccato--1,,staccato,derive,n7891e2b06b7d6d06
n7e256d2507e21765--slur--start--1,n533--slur--start--1,slur,stamp,n7e256d2507e21765
n69ef411130692e79--slur--start--1,n539--slur--start--1,slur,stamp,n69ef411130692e79
n69ef411130692e79--staccato--1,,staccato,derive,n69ef411130692e79
n9e3a26bc3fd8bd70--staccato--1,,staccato,derive,n9e3a26bc3fd8bd70
