note_id,original_id,printed_bar
n9712c00b29d7600f,n1,1
n614ff22c485f8bfb,n2,1
nea6c9073854c9d89,n3,1
n63fa876c3bf1d642,n4,1
n56c987df15029392,n5,1
n31c4070c6b27ea1a,n6,1
n2eb1e99ff6e8e4d3,n7,1
n2b0d8c756bc3e894,n8,1
nd74ca5506dac56ab,n9,1
ncb022935534e2f54,n10,1
nd624dc6c9f8e9e09,n11,1
ne037de413e6038ef,n12,1
n58e6fd251a562ccf,n13,1
nb68f32494d8364ce,n14,1
ne6192e69cd1ab63c,n15,1
n0814e5102cafe1e9,n16,1
n5ae0105f0f229bf3,n17,1
n034d474219da7390,n18,1
n07a8401c67a080da,n19,1
nbe4e3251f6aa2087,n20,1
nabfb9ab928e8e951,n21,1
n14ecb9df1b5002df,n22,1
nbd69cf13752e1b22,n23,1
nd3531738cc0bfe3b,n24,1
n81cd9d8696ea79be,n25,1
n66fdd5c5ece941bd,n26,1
nab544d454b4ee8f8,n27,1
nabb4863125afe496,n28,1
nce5387cc4dc2e4e6,n29,1
nd45456c8cdbba521,n30,1
nca45e3531c843630,n31,1
nf2c25f1ec3d6b7c4,n32,1
n896f41e40bb82fbb,n33,1
n4f7e9bf4459148b1,n34,1
n986d5bf8b92643a2,n35,1
n97ddaf964b0bae37,n36,1
ne1ce7806b6eb793c,n37,2
n9dc7ea6a12092b33,n38,2
n18b713c76abff066,n39,2
n89f7bdbe69423181,n40,2
nd483a37da882377e,n41,2
n98816e3509e72fcf,n42,2
nd58ff85ce3af40a2,n43,2
n0b5a7998159eb881,n44,2
n8f70ff2ce66550d6,n45,2
nf9b977c14d30e782,n46,2
n7ef53756534b160a,n47,2
n4ae55b56b998e465,n48,2
n012c19054ec1ce42,n49,2
n0e110b1c079fbf0a,n50,2
n209d48d15d73a45b,n51,2
nb8a90b900dcccff1,n52,2
n1a1830eed8736a2b,n53,2
neeb13442b64488ee,n54,2
n1edf2c6d4bd130ea,n55,2
na28141497c71a380,n56,2
nb7fa49dbb4c4c865,n57,2
nddd1a51f1a5e2fc0,n58,2
n40cc93caf124b911,n59,2
ne4d202453d9fc277,n60,2
n738180552331800e,n61,2
nd6a11238dd07a143,n62,2
