element_id,original_id,tag,carrier,host_or_staff
nd1b44c82c166a84b--accent--1,,accent,derive,nd1b44c82c166a84b
nc1b477611c177112--slur--start--1,n2--slur--start--1,slur,stamp,nc1b477611c177112
nc1b477611c177112--accent--1,,accent,derive,nc1b477611c177112
e3f7bff774e48be3a,md-1-1-1-1,words,md,1
e3d78dba4f393b79e,md-1-1-1-2,words,md,1
ef04ed5e7a4d25afb,md-1-1-1-3,words,md,1
e7b660df857dbf52c,md-1-1-1-4,words,md,1
e7557b614536dc115,md-1-1-1-5,words,md,1
e4969090398833f49,md-1-1-1-6,words,md,1
eb7ecae12e966d562,md-1-1-1-7,words,md,1
ebe9d38d4047f1107,md-1-1-1-8,words,md,1
ef20d6c9fef8cd695,md-1-1-1-9,words,md,1
e7d4e9696535191f8,md-1-1-1-10,words,md,1
ea17a18c38508f18f,md-1-1-1-11,words,md,1
eb15798caa60bf381,md-1-1-1-12,words,md,1
e15eb025834b0b761,md-1-1-1-13,words,md,1
e01640ae7208105c1,md-1-1-1-14,words,md,1
e12d32d2342832b74,md-1-1-1-15,words,md,1
e7fe53561649407c9,md-1-1-2-1,words,md,2
e373c2089b7731a29,md-1-1-2-2,pedal,md,2
e44de8ccbf12ed3cd,md-1-1-2-3,octave-shift,md,2
ne0acf86e0628cffb--slur--stop--1,n18--slur--stop--1,slur,stamp,ne0acf86e0628cffb
nb482e30cbfb5c020--tuplet--start--1,n19--tuplet--start--1,tuplet,stamp,nb482e30cbfb5c020
n147dc26a4022b71e--tuplet--stop--1,n23--tuplet--stop--1,tuplet,stamp,n147dc26a4022b71e
nd38a55d185132695--strong-accent--1,,strong-accent,derive,nd38a55d185132695
n62c34b18101ebf74--slur--start--1,n26--slur--start--1,slur,stamp,n62c34b18101ebf74
e13e68ad17b1274db,md-1-3-1-1,wedge,md,1
eb1686153ece981b5,md-1-3-1-2,wedge,md,1
e7a92dc7d94291c14,md-1-3-1-3,dynamics,md,1
edfd0a4483a8b2d14,md-1-3-1-4,dynamics,md,1
eb9a354a082f9cbc3,md-1-3-2-1,pedal,md,2
e0b103b8213392082,md-1-3-2-2,pedal,md,2
na96304ee2f13bdd0--slur--stop--1,n42--slur--stop--1,slur,stamp,na96304ee2f13bdd0
nf8a327b746caf25d--tuplet--start--1,n43--tuplet--start--1,tuplet,stamp,nf8a327b746caf25d
n0931fff1be788fe1--tuplet--stop--1,n47--tuplet--stop--1,tuplet,stamp,n0931fff1be788fe1
nc8e0927d98738b38--strong-accent--1,,strong-accent,derive,nc8e0927d98738b38
n40b3c1b8fc2d1a5c--slur--start--1,n50--slur--start--1,slur,stamp,n40b3c1b8fc2d1a5c
ef369a6ea671b38ff,md-1-5-1-1,wedge,md,1
e316266d9970e4dd8,md-1-5-1-2,wedge,md,1
e8d1d327b8f22883f,md-1-5-1-3,dynamics,md,1
e2a8adda43247a092,md-1-5-1-4,dynamics,md,1
e0de9772ecac0b398,md-1-5-2-1,pedal,md,2
e99d58643f1d0e0bc,md-1-5-2-2,pedal,md,2
n560120f200dcf5e4--slur--stop--1,n66--slur--stop--1,slur,stamp,n560120f200dcf5e4
n13ed373d413ce6e4--tuplet--start--1,n67--tuplet--start--1,tuplet,stamp,n13ed373d413ce6e4
n152a573d030ddc21--slur--start--1,n68--slur--start--1,slur,stamp,n152a573d030ddc21
n0d3463c8d6e01805--tuplet--stop--1,n71--tuplet--stop--1,tuplet,stamp,n0d3463c8d6e01805
nbd2fda576c68aaa7--slur--stop--1,n72--slur--stop--1,slur,stamp,nbd2fda576c68aaa7
nbd2fda576c68aaa7--strong-accent--1,,strong-accent,derive,nbd2fda576c68aaa7
nd313e969c72bdd28--tuplet--start--1,n73--tuplet--start--1,tuplet,stamp,nd313e969c72bdd28
