note_id,original_id,printed_bar
nd1b44c82c166a84b,n1,1
nc1b477611c177112,n2,1
nf2df4c9428fd1f8b,n3,1
n05ad0d8bb14a8d4d,n4,1
nd3817d935cd5d1d1,n5,1
n22c397f7e0140370,n6,1
n988bfe1b0b129a8c,n7,1
n9cea34cb9401bc02,n8,1
ne06500d19152ca1c,n9,1
n3b93120687798a10,n10,2
nc11560736a86909c,n11,2
n2f9f63bf28ee3cca,n12,2
ne897e6aa85bdadb5,n13,2
n4134a352301b4b76,n14,2
ncdc3dbfc4d7bd276,n15,2
nd5e497cf95d25224,n16,2
nc597c307dc8f01c0,n17,2
ne0acf86e0628cffb,n18,2
nb482e30cbfb5c020,n19,3
ne26f6cca6ed85d96,n20,3
na6f10baa8fd57736,n21,3
n6235794240be740b,n22,3
n147dc26a4022b71e,n23,3
nd38a55d185132695,n24,3
n9f1dfec89de441bb,n25,3
n62c34b18101ebf74,n26,3
n88ddc9c09a029edb,n27,3
n7ff4b1f034f498bd,n28,3
nf244deb7b882d19d,n29,3
nf090d81befba259a,n30,3
n908ae8e00d101a4a,n31,3
ndadf938f6aca09ae,n32,3
n0e7211558584dfc5,n33,3
n7ca87adff328d5e9,n34,4
na5a279fca40966c7,n35,4
n24c6f130bad15332,n36,4
ndd7565849220e299,n37,4
n590e7b31890f8cf2,n38,4
ndafa4444dce07fdd,n39,4
n918bf7fd05c827a0,n40,4
n1e53ed87467a9146,n41,4
na96304ee2f13bdd0,n42,4
nf8a327b746caf25d,n43,5
n744bea05e3192bc3,n44,5
neca1ece5a07285ce,n45,5
n9ecd3e7951749def,n46,5
n0931fff1be788fe1,n47,5
nc8e0927d98738b38,n48,5
n951ec165ce645d7d,n49,5
n40b3c1b8fc2d1a5c,n50,5
n18c04c797f9dfb62,n51,5
n05c76fdcf5a923cc,n52,5
n4227ac2ba0972472,n53,5
n44a662201964a060,n54,5
n92d0a29898e73521,n55,5
n734dea0d88f7763a,n56,5
n088b5fba6f16ee40,n57,5
ndc30598d41c5a999,n58,6
n331dabbbf1d1f1f6,n59,6
n4686f5eb61afa167,n60,6
na036493345815037,n61,6
n1be2bdf2bee12315,n62,6
n3627c2721d0a9d4e,n63,6
n4b90aeaa7b199159,n64,6
nfc36a28aa8736744,n65,6
n560120f200dcf5e4,n66,6
n13ed373d413ce6e4,n67,7
n152a573d030ddc21,n68,7
n7f3151ef9061a655,n69,7
n0a0b7abfea844f74,n70,7
n0d3463c8d6e01805,n71,7
nbd2fda576c68aaa7,n72,7
nd313e969c72bdd28,n73,7
n5aa1c5257d63a8a7,n74,7
nacffc5a07d6a548a,n75,7
n45ca984a06f87ea6,n76,7
na31ed454dab45a30,n77,7
n8532a83baf9fc915,n78,7
n7b4245a9525d0645,n79,7
n492dbd7fde0c2ba9,n80,7
n1fdf000ca297340e,n81,7
nd6033d7ca91b4c06,n82,7
n6a4d5f1e3a90586f,n83,7
nde0f47a7202c265a,n84,7
ne72e6d2cb6625032,n85,7
nc52ce663eebfbefb,n86,8
na5c8453f32875959,n87,8
n8c3aa495ec35bd86,n88,8
n68d9c67508649e2d,n89,8
nd05af4e89618a6cc,n90,8
n25b335f8bc52bd78,n91,8
n71bb036619a50660,n92,8
n958499c3394632fd,n93,8
n1b9b20379327f15c,n94,8
n8ae623823f34915a,n95,8
nbdd82f4255b284b7,n96,8
nc769f35e8aea2cb7,n97,8
nc6f0795c8274a3e2,n98,8
n8c6973aacd8355c7,n99,8
n1fe6fdf370b523a0,n100,8
nb49dc3fcee320164,n101,8
n6041389f7d08a321,n102,8
ne028bb7e76ded26c,n103,8
nd39c8501fbf39301,n104,9
nee865f9b5e76b41f,n105,9
n0a98b85fa2177025,n106,9
n7eafb7d5d49b1d47,n107,9
n2c248a8d73ecdcf9,n108,9
n36c0029ef58c2518,n109,9
n28bdb4f134c1812c,n110,9
nb3cbac7339f1580d,n111,9
nf066b7f6c43df9ac,n112,9
n78437298d11fd7b0,n113,9
na5059a286d5d09b5,n114,9
n932952391d9000c8,n115,9
n999044c9d033d7d8,n116,9
na9067000cc8ef8a4,n117,9
n03b3720e0f69bc1a,n118,9
nc7605855c5a13286,n119,9
n1337d874503761a3,n120,9
nb3c2ab185bdfaf03,n121,9
